@relation train-weka.filters.unsupervised.attribute.NumericToNominal-R61-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute var_0 numeric
@attribute var_1 numeric
@attribute var_2 numeric
@attribute var_3 numeric
@attribute var_4 numeric
@attribute var_5 numeric
@attribute var_6 numeric
@attribute var_7 numeric
@attribute var_8 numeric
@attribute var_9 numeric
@attribute var_10 numeric
@attribute var_11 numeric
@attribute var_12 numeric
@attribute var_13 numeric
@attribute var_14 numeric
@attribute var_15 numeric
@attribute var_16 numeric
@attribute var_17 numeric
@attribute var_18 numeric
@attribute var_19 numeric
@attribute var_20 numeric
@attribute var_21 numeric
@attribute var_22 numeric
@attribute var_23 numeric
@attribute var_24 numeric
@attribute var_25 numeric
@attribute var_26 numeric
@attribute var_27 numeric
@attribute var_28 numeric
@attribute var_29 numeric
@attribute var_30 numeric
@attribute var_31 numeric
@attribute var_32 numeric
@attribute var_33 numeric
@attribute var_34 numeric
@attribute var_35 numeric
@attribute var_36 numeric
@attribute var_37 numeric
@attribute var_38 numeric
@attribute var_39 numeric
@attribute var_40 numeric
@attribute var_41 numeric
@attribute var_42 numeric
@attribute var_43 numeric
@attribute var_44 numeric
@attribute var_45 numeric
@attribute var_46 numeric
@attribute var_47 numeric
@attribute var_48 numeric
@attribute var_49 numeric
@attribute var_50 numeric
@attribute var_51 numeric
@attribute var_52 numeric
@attribute var_53 numeric
@attribute var_54 numeric
@attribute var_55 numeric
@attribute var_56 numeric
@attribute var_57 numeric
@attribute var_58 numeric
@attribute var_59 numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute NewNumeric8 numeric
@attribute NewNumeric9 numeric
@attribute NewNumeric10 numeric
@attribute NewNumeric11 numeric
@attribute NewNumeric12 numeric
@attribute NewNumeric13 numeric
@attribute NewNumeric14 numeric
@attribute NewNumeric15 numeric
@attribute NewNumeric16 numeric
@attribute NewNumeric17 numeric
@attribute NewNumeric18 numeric
@attribute NewNumeric19 numeric
@attribute NewNumeric20 numeric
@attribute NewNumeric21 numeric
@attribute NewNumeric22 numeric
@attribute NewNumeric23 numeric
@attribute NewNumeric24 numeric
@attribute NewNumeric25 numeric
@attribute NewNumeric26 numeric
@attribute NewNumeric27 numeric
@attribute NewNumeric28 numeric
@attribute NewNumeric29 numeric
@attribute label {0,1}

@data
0.547548,0.282898,0.153088,0.079886,0.13264,0.143782,0.299806,0.531863,0.53578,0.621479,0.54526,0.544549,0.582061,0.398268,0.451098,0.525544,0.720858,0.604468,0.161793,0.425942,0.383221,0.386962,0.547526,0.528634,0.271206,0.150237,0.684316,1,0.714554,0.425084,0.503706,0.576791,0.252441,0.081505,0.176741,0.413407,0.465012,0.294686,0.263118,0.251961,0.187493,0.291575,0.238847,0.108348,0.098379,0.072408,0.06465,0.025457,0.116103,0.055758,0.155378,0.025862,0.13764,0.27566,0.227064,0.028205,0.196023,0.096774,0.292011,0.391111,0.175155,0.714479,0.900046,0.710661,0.685454,0.820343,0.692304,0.256161,0.20824,0.132663,0.305881,0.127131,0.149495,0.267201,0.595917,0.29487,0.90657,0.758981,0.441022,0.304246,0.112151,0.08261,0.044385,0.38749,0.356791,0.375236,0.78149,0.509887,0.085908,0.362937,1
0.231055,0.123446,0.151445,0.11436,0.184377,0.185595,0.279522,0.258655,0.178133,0.104247,0.004277,0.066383,0.211223,0.307724,0.458521,0.617036,0.723034,0.775896,0.788344,0.813891,1,0.980024,0.959733,0.959123,0.90601,0.899328,0.782645,0.575648,0.319641,0.371799,0.452474,0.342994,0.249081,0.279279,0.155365,0.047278,0.091953,0.080171,0.051831,0.184532,0.10469,0.09072,0.048881,0.16336,0.159937,0.069254,0.171858,0.202755,0.130742,0.206061,0.032869,0.196839,0.297753,0.061584,0.055046,0.423077,0.380682,0.020737,0.187328,0.2,0.258003,0.005611,0.719262,0.3141,0.970702,0.24922,0.152084,0.103138,0.772333,0.522354,0.778953,0.281911,0.762132,0.184905,0.141823,0.794731,0.080488,0.731508,0.661536,0.601721,0.719418,0.106642,0.919151,0.612487,0.999997,0.132556,0.93132,0.734598,0.411198,0.357964,1
0.199108,0.159451,0.079501,0.000951,0.015978,0.133801,0.212559,0.231974,0.137899,0.091234,0.028653,0.142585,0.219654,0.182118,0.270438,0.219723,0.241115,0.26587,0.294656,0.455265,0.515388,0.598002,0.663664,0.746645,0.84058,0.883027,0.992436,0.910869,0.69558,0.59878,0.615217,0.483113,0.243621,0.159936,0.147489,0.250101,0.26066,0.293855,0.251981,0.192048,0.138043,0.301099,0.274279,0.232028,0.209411,0.09339,0.197573,0.275232,0.200404,0.112727,0.075697,0.074713,0.188202,0.284457,0.091743,0.251282,0.107955,0.112903,0.134986,0.36,0.054973,0.812909,0.258604,0.256771,0.938233,0.570306,0.721771,0.395191,0.145036,0.660746,0.463615,0.371663,0.840098,0.53294,0.693471,0.503685,0.932554,0.538982,0.075821,0.307231,0.453206,0.131464,0.780814,0.515885,0.057876,0.899288,0.53998,0.287591,0.24829,0.518195,1
0.1211,0.156022,0.308147,0.182121,0.046158,0.100351,0.359544,0.422712,0.276106,0.242099,0.258304,0.188599,0.250472,0.471383,0.72896,0.778038,0.783028,0.597091,0.389859,0.230201,0.488617,0.738911,0.851224,1,0.835571,0.647208,0.681794,0.572149,0.454962,0.477062,0.409745,0.135555,0.125066,0.039852,0.38294,0.712399,0.761863,0.325049,0.023345,0.280283,0.444702,0.466178,0.315531,0.257666,0.327978,0.25864,0.354944,0.509434,0.689551,0.482424,0.14243,0.114943,0.078652,0.29912,0.043578,0.135897,0.247159,0.117512,0.184573,0.08,0.091916,0.779779,0.210507,0.901776,0.748999,0.957697,0.219787,0.974813,0.571794,0.341599,0.199806,0.900147,0.494869,0.07922,0.261319,0.064137,0.29106,0.829674,0.810409,0.296853,0.638441,0.082779,0.629443,0.260456,0.148767,0.245352,0.95607,0.687104,0.369234,0.924482,1
0.176077,0.246892,0.35611,0.243699,0.230028,0.58376,0.639344,0.819405,0.848127,0.869584,0.856165,1,0.769298,0.52047,0.646805,0.688887,0.66418,0.745558,0.887334,0.852205,0.786467,0.649554,0.395253,0.349247,0.502451,0.164335,0.482088,0.849012,0.586739,0.838073,0.8753,0.529553,0.145437,0.264653,0.410044,0.29869,0.63033,0.662681,0.535875,0.501307,0.496468,0.309035,0.275314,0.286266,0.300114,0.024136,0.244114,0.222821,0.065623,0.128485,0.032869,0.314655,0.452247,0.246334,0.387615,0.615385,0.889205,0.364055,0.258953,0.32,0.269484,0.287166,0.404098,0.632793,0.546435,0.517011,0.884445,0.482829,0.112006,0.370246,0.491532,0.622292,0.38008,0.020623,0.469687,0.512482,0.898872,0.949155,0.794125,0.409882,0.8591,0.550278,0.427996,0.353469,0.193203,0.334874,0.282479,0.7643,0.846276,0.725095,1
0.084695,0.092585,0.02431,0.011888,0.037535,0.005395,0.146985,0.198236,0.109183,0.128986,0.133143,0.086753,0.035034,0.059297,0.148761,0.125585,0.074293,0.160831,0.262676,0.27729,0.346227,0.53367,0.733284,0.872656,0.898551,0.725851,0.669923,0.695657,0.568807,0.321456,0.187922,0.253765,0.230495,0.285639,0.179912,0.222581,0.309972,0.258709,0.273078,0.292919,0.268906,0.251038,0.195655,0.230482,0.263008,0.235464,0.162622,0.196466,0.224634,0.133333,0.023904,0.070402,0.188202,0.29912,0.002294,0.046154,0.0625,0.12212,0.104683,0.186667,0.627003,0.606022,0.220838,0.525663,0.904014,0.230638,0.985596,0.281862,0.604331,0.742075,0.086168,0.336708,0.109152,0.525273,0.196063,0.909575,0.985427,0.15433,0.365586,0.428283,0.227363,0.802328,0.803394,0.874967,0.243215,0.491211,0.821219,0.931994,0.510286,0.577557,1
0,0.129876,0.051248,0.040418,0.093076,0.298894,0.504862,0.354135,0.198557,0.188331,0.095082,0.295135,0.318651,0.305868,0.301735,0.228781,0.001865,0.134753,0.26762,0.365261,0.326834,0.140157,0.42895,0.677185,0.709292,0.686309,0.695556,0.847262,1,0.748284,0.475147,0.378024,0.590045,0.519131,0.24169,0.084274,0.065165,0.197983,0.332941,0.215468,0.17846,0.352259,0.285917,0.196341,0.106056,0.083105,0.125317,0.133573,0.17365,0.099394,0.10757,0.195402,0.202247,0.073314,0.236239,0.207692,0.278409,0.023041,0.07438,0.035556,0.122935,0.658144,0.865939,0.462987,0.822514,0.405739,0.040228,0.482,0.160945,0.686617,0.815631,0.951775,0.5115,0.7349,0.525795,0.23051,0.779744,0.329993,0.459145,0.620991,0.029537,0.963021,0.440723,0.104736,0.576153,0.824084,0.147924,0.625777,0.210195,0.867987,1
0.130758,0.008573,0.040407,0.000951,0.016739,0.009442,0.114198,0.034179,0.066032,0.140712,0.073272,0.103458,0.138392,0.015159,0,0,0.028494,0.182026,0.309489,0.337864,0.349178,0.437654,0.609304,0.746235,0.858802,0.866505,0.779494,0.830897,0.96153,0.958483,0.954218,0.969763,0.969337,1,0.784392,0.526915,0.258802,0.163253,0.107411,0.32549,0.397221,0.494383,0.433855,0.386241,0.390674,0.277564,0.188881,0.135669,0.170116,0.147879,0.071713,0.136494,0.182584,0.152493,0.043578,0.017949,0.011364,0.041475,0.15427,0.168889,0.016965,0.146022,0.542926,0.762123,0.914344,0.559006,0.538743,0.401669,0.26984,0.622837,0.999446,0.722388,0.614133,0.236822,0.600966,0.56555,0.751518,0.697695,0.213909,0.689231,0.005162,0.252026,0.119684,0.587124,0.574425,0.324477,0.309819,0.117524,0.432067,0.627305,1
0.134473,0.054008,0.170171,0.121493,0.147096,0.355004,0.337316,0.437927,0.22973,0.20878,0.285103,0.226993,0.182439,0.169434,0.203631,0.218298,0.208372,0.096,0.349043,0.556721,0.420004,0.449683,1,0.864256,0.437127,0.486838,0.600483,0.705949,0.541806,0.316552,0.217898,0.173094,0.095453,0.329942,0.272067,0.317339,0.246665,0.172299,0.216856,0.130937,0.037406,0.033944,0.09259,0.125741,0.111885,0.071585,0.090547,0.069182,0.11156,0.174545,0.305777,0.53592,0.398876,0.020528,0.204128,0.235897,0.210227,0.400922,0.297521,0.284444,0.560428,0.68814,0.122034,0.852803,0.725814,0.63141,0.442862,0.199435,0.421605,0.164641,0.894372,0.13243,0.303638,0.668353,0.351881,0.05037,0.748366,0.020736,0.254637,0.092125,0.66661,0.738276,0.885585,0.956067,0.665377,0.470724,0.842638,0.062706,0.398184,0.714523,1
0.284547,0.277325,0.125493,0.129815,0.1088,0.458862,0.291192,0.213671,0.07801,0.295009,0.30392,0.453693,0.412124,0.241312,0.321095,0.36322,0.399337,0.518338,0.690932,0.806935,0.877213,0.817313,0.746636,0.754636,0.82598,0.879392,0.753335,0.577707,0.274083,0,0.251254,0.780123,0.793342,0.830737,0.762299,0.744758,0.645309,0.140064,0.272542,0.532244,0.562826,0.582173,0.517781,0.499485,0.234717,0.060614,0.120065,0.125187,0.239778,0.284848,0.065737,0.070402,0.348315,0.507331,0.133028,0.497436,0.556818,0.221198,0.190083,0.217778,0.460953,0.145129,0.469274,0.754742,0.06196,0.505683,0.659819,0.8545,0.265037,0.164025,0.693587,0.993686,0.280171,0.34714,0.274542,0.493998,0.192267,0.410223,0.681872,0.91225,0.544225,0.393343,0.081431,0.204071,0.07562,0.196182,0.18901,0.611186,0.143472,0.229579,1
0.199108,0.273468,0.123193,0.027342,0.103728,0.188832,0.239789,0.057332,0.101505,0.106821,0.012402,0.034584,0.084751,0.068578,0.143946,0.065846,0.086001,0.187429,0.297917,0.278467,0.168529,0.173236,0.296493,0.411843,0.425512,0.185593,0.041286,0.265336,0.54191,0.819549,0.829954,0.78115,0.795023,0.97753,1,0.895161,0.564728,0.27597,0.210645,0.246732,0.342559,0.459707,0.203673,0.287039,0.224908,0.196517,0.295907,0.339323,0.286219,0.161212,0.169323,0.031609,0.132022,0.211144,0.15367,0.182051,0.289773,0.354839,0.258953,0.022222,0.676047,0.041062,0.326404,0.111834,0.478759,0.839916,0.938824,0.042579,0.514525,0.567358,0.732189,0.676833,0.134038,0.157189,0.253263,0.981918,0.174496,0.897429,0.471008,0.057485,0.207774,0.565477,0.976055,0.781345,0.616253,0.604476,0.349788,0.792698,0.607238,0.155185,1
0.093611,0.134591,0.191853,0.235854,0.277961,0.436472,0.430397,0.23462,0.125,0.156156,0.074127,0.187866,0.298445,0.259874,0.338349,0.44423,0.683971,0.876052,0.911004,0.736943,0.655987,0.693481,0.823567,0.764471,0.679561,0.619231,0.478937,0.477769,0.477898,0.363735,0.125245,0,0.016801,0.291468,0.346323,0.18004,0.013667,0.115837,0.21782,0.202941,0.325999,0.283639,0.221906,0.20085,0.221211,0.057872,0.089279,0.142558,0.11055,0.071515,0.085657,0.068966,0.02809,0.214076,0.268349,0.128205,0.022727,0.029954,0.060606,0.248889,0.873285,0.167296,0.538624,0.428842,0.752162,0.370107,0.304494,0.184328,0.732917,0.569489,0.068623,0.762566,0.301988,0.187471,0.241542,0.922002,0.385262,0.126075,0.927131,0.154159,0.701683,0.84322,0.010609,0.764322,0.086514,0.439123,0.80939,0.336298,0.00313,0.109005,1
0.322437,0.184741,0.109067,0.094627,0,0.208794,0.463462,0.371775,0.233876,0.185185,0.337277,0.442995,0.624073,0.568423,0.445381,0.210564,0.188063,0.29361,0.254681,0.383027,0.416105,0.181613,0.620112,0.894068,0.884697,0.727833,0.667822,0.834294,1,0.82151,0.539023,0.476152,0.797018,0.716587,0.377621,0.148992,0.136344,0.184881,0.514778,0.50817,0.229763,0.432601,0.360145,0.232801,0.050043,0.064866,0.058312,0.122192,0.082282,0.106667,0.120518,0.077586,0.075843,0.28739,0.350917,0.376923,0.190341,0.182028,0.319559,0.222222,0.657837,0.44411,0.724792,0.316422,0.502313,0.757343,0.039838,0.266867,0.170424,0.208864,0.879035,0.876064,0.862046,0.190102,0.395801,0.991097,0.99285,0.550524,0.657517,0.729999,0.394077,0.697874,0.428844,0.942816,0.011935,0.423555,0.717035,0.547995,0.581813,0.561389,1
0.031204,0.038577,0.002957,0,0.03297,0.135419,0.083912,0.197574,0.116861,0.152581,0.092801,0.098623,0.058729,0.033,0.080349,0.11551,0.175008,0.356987,0.416263,0.48887,0.569035,0.631189,0.608774,0.590001,0.462702,0.520542,0.674966,0.846953,1,0.909121,0.784173,0.658717,0.5241,0.562162,0.535952,0.547883,0.460311,0.320578,0.32266,0.298039,0.24806,0.193529,0.207552,0.19209,0.188513,0.094213,0.109018,0.168014,0.154467,0.186667,0.028884,0.050287,0.050562,0.026393,0.066514,0.038462,0.088068,0.064516,0.137741,0.111111,0.869329,0.545893,0.804022,0.91557,0.296259,0.242953,0.082127,0.233671,0.698296,0.48006,0.940964,0.667933,0.841741,0.966949,0.916599,0.19605,0.680415,0.414805,0.211406,0.523134,0.604881,0.143461,0.35413,0.695442,0.33965,0.885465,0.16995,0.349498,0.993341,0.483634,1
0.182021,0.036862,0.042707,0.052306,0.087497,0.172916,0.248958,0.238809,0.110412,0.201201,0.19216,0.166178,0.161215,0.11055,0.211957,0.528394,0.671537,0.542857,0.273406,0.275043,0.412943,0.524541,0.553036,0.60793,0.800938,0.980064,0.981406,0.914162,0.731339,0.753296,0.871049,0.792789,0.650425,0.622258,0.615322,0.593952,0.586486,0.505251,0.273399,0.154575,0.190272,0.241148,0.2854,0.229065,0.192351,0.188289,0.135639,0.14136,0.164059,0.21697,0.044821,0.102011,0.014045,0.020528,0.130734,0.089744,0.332386,0.290323,0.190083,0.364444,0.769326,0.853225,0.434627,0.974471,0.447168,0.355815,0.394029,0.379258,0.603124,0.119907,0.383325,0.24845,0.106061,0.523174,0.473646,0.047444,0.311539,0.09259,0.773964,0.091975,0.094635,0.834245,0.498542,0.903839,0.840483,0.813058,0.096775,0.86758,0.325735,0.728318,1
