@relation blood-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R5-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R5-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 'Recency (months)' numeric
@attribute 'Frequency (times)' numeric
@attribute 'Monetary (c.c. blood)' numeric
@attribute 'Time (months)' numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute 'whether he/she donated blood in March 2007' {0,1}

@data
0.310811,0.040816,0.040816,0.385417,0.402796,0.115052,0
0.216216,0,0,0.145833,0.173433,0.637389,0
0.054054,0.040816,0.040816,0.333333,0.348288,0.707823,0
0.081081,0.040816,0.040816,0.125,0.096048,0.157572,0
0.283784,0,0,0.197917,0.869199,0.945865,0
0.216216,0.020408,0.020408,0.260417,0.574107,0.163064,0
0.148649,0.020408,0.020408,0.229167,0.262443,0.332957,0
0.054054,0,0,0.020833,0.093156,0.056724,0
0.067568,0.122449,0.122449,0.25,0.471142,0.137186,1
0.027027,0.204082,0.204082,0.25,0.728738,0.56828,0
0.054054,0.265306,0.265306,0.875,0.249697,0.621428,0
0.027027,0.22449,0.22449,0.46875,0.391006,0.110919,1
0.310811,0.020408,0.020408,0.25,0.112557,0.38106,0
0.054054,0.102041,0.102041,0.34375,0.633143,0.688178,0
0.310811,0,0,0.21875,0.276554,0.213387,0
0.283784,0,0,0.197917,0.614796,0.653055,0
0.148649,0.020408,0.020408,0.197917,0.045933,0.112172,0
0.189189,0.061224,0.061224,0.375,0.629135,0.243314,0
0.027027,0.081633,0.081633,0.09375,0.734701,0.305913,1
0.027027,0.020408,0.020408,0.09375,0.325752,0.095286,0
0.351351,0.081633,0.081633,0.489583,0.272711,0.739888,1
0.189189,0.040816,0.040816,0.322917,0.39154,0.873047,0
0.027027,0.306122,0.306122,0.645833,0.09985,0.039748,0
0.189189,0,0,0.125,0.987779,0.740642,0
0.027027,0,0,0,0.817021,0.788324,0
0.054054,0.020408,0.020408,0.458333,0.684067,0.652148,0
0.027027,0,0,0,0.333066,0.897572,0
0.189189,0.040816,0.040816,0.34375,0.978372,0.337628,0
0.310811,0,0,0.21875,0.923555,0.96396,0
0.283784,0,0,0.197917,0.747322,0.422652,0
0.216216,0.102041,0.102041,0.34375,0.700383,0.758348,1
0.283784,0.122449,0.122449,0.375,0.132053,0.33484,0
0.027027,0.183673,0.183673,0.645833,0.480356,0.420338,0
0.310811,0.061224,0.061224,0.447917,0.432239,0.522988,0
0.310811,0.061224,0.061224,0.53125,0.936462,0.502254,0
0.283784,0,0,0.197917,0.554624,0.04262,0
0.027027,0.040816,0.040816,0.78125,0.217297,0.739378,0
0.310811,0.040816,0.040816,0.479167,0.442224,0.74642,0
0.283784,0,0,0.197917,0.928088,0.310759,0
0.027027,0,0,0,0.696512,0.158784,0
0.027027,0,0,0,0.48105,0.398836,0
0.148649,0.142857,0.142857,0.40625,0.297278,0.610825,1
0.027027,0.061224,0.061224,0.145833,0.343295,0.05635,0
0.027027,0.040816,0.040816,0.197917,0.923492,0.365466,0
0.027027,0,0,0,0.637295,0.745432,0
0.148649,0.081633,0.081633,0.375,0.883383,0.27185,0
0.283784,0.020408,0.020408,0.197917,0.881872,0.426453,0
0.027027,0.204082,0.204082,0.270833,0.073063,0.954086,0
0.189189,0,0,0.125,0.400986,0.743199,0
0.054054,0,0,0.020833,0.700442,0.661458,0
0.027027,0.387755,0.387755,0.447917,0.073068,0.676077,1
0.054054,0.367347,0.367347,0.697917,0.734767,0.685495,1
0.216216,0.122449,0.122449,0.385417,0.645427,0.016558,0
0.148649,0.204082,0.204082,0.416667,0.172047,0.683925,0
0.148649,0.081633,0.081633,0.322917,0.796245,0.153714,0
0.027027,0.204082,0.204082,0.21875,0.242724,0.342316,0
0.027027,0.122449,0.122449,0.3125,0.490953,0.957673,1
0.027027,0,0,0,0.630351,0.551289,0
0.121622,0.040816,0.040816,0.520833,0.950277,0.995023,0
0.189189,0.081633,0.081633,0.645833,0.618666,0.680522,0
0.094595,0.081633,0.081633,0.34375,0.723995,0.917598,0
0.054054,0.306122,0.306122,0.708333,0.839334,0.590304,1
0.027027,0.020408,0.020408,0.020833,0.947477,0.628832,1
0.148649,0.020408,0.020408,0.09375,0.953757,0.737265,0
0.310811,0.22449,0.22449,0.875,0.847309,0.750763,0
0.081081,0.020408,0.020408,0.09375,0.169746,0.102914,1
0.027027,0.163265,0.163265,0.354167,0.957827,0.989988,0
0.040541,0.020408,0.020408,0.21875,0.967473,0.70201,0
0.27027,0.265306,0.265306,0.697917,0.312151,0.232323,1
0.054054,0.020408,0.020408,0.072917,0.789,0.112294,1
0.027027,0.040816,0.040816,0.125,0.07929,0.583585,0
0.310811,0,0,0.21875,0.73183,0.807986,0
0.283784,0.040816,0.040816,0.34375,0.73318,0.117901,0
0.148649,0.142857,0.142857,0.520833,0.479294,0.076477,1
0.054054,0.081633,0.081633,0.21875,0.859997,0.795104,1
0.148649,0.020408,0.020408,0.708333,0.799226,0.950999,0
0.310811,0.020408,0.020408,0.21875,0.136866,0.865254,0
0.040541,0.183673,0.183673,0.322917,0.94726,0.901604,1
0.310811,0.081633,0.081633,0.583333,0.848076,0.090993,0
0.027027,0.040816,0.040816,0.34375,0.22221,0.992623,0
0.283784,0.040816,0.040816,0.25,0.54419,0.287404,1
0.054054,0.183673,0.183673,0.270833,0.738403,0.836823,1
0.148649,0.102041,0.102041,0.583333,0.094919,0.004226,0
0.027027,0.040816,0.040816,0.375,0.203418,0.954822,1
0.081081,0.040816,0.040816,0.25,0.438419,0.656749,0
0.216216,0.306122,0.306122,0.78125,0.119623,0.08288,0
0.175676,0.122449,0.122449,0.770833,0.787652,0.049358,0
0.054054,0.102041,0.102041,0.520833,0.363991,0.563011,0
0.148649,0.020408,0.020408,0.09375,0.918721,0.029704,0
0.135135,0.081633,0.081633,0.375,0.543089,0.196419,0
0.189189,0.040816,0.040816,0.25,0.436601,0.961621,0
0.040541,0.061224,0.061224,0.28125,0.868741,0.844603,1
0.027027,0,0,0,0.590428,0.811383,0
0.040541,0.306122,0.306122,0.75,0.554768,0.622026,0
0.135135,0.142857,0.142857,0.385417,0.293539,0.904585,0
0.027027,0.102041,0.102041,0.34375,0.896344,0.740067,1
0.054054,0.081633,0.081633,0.21875,0.492701,0.829869,0
0.148649,0.102041,0.102041,0.71875,0.26086,0.934062,0
0.189189,0.061224,0.061224,0.25,0.926473,0.54092,0
0.027027,0.061224,0.061224,0.145833,0.192857,0.933531,0
0.027027,0.122449,0.122449,0.78125,0.614402,0.4396,0
0.027027,0.306122,0.306122,0.822917,0.71545,0.620293,0
0.310811,0.020408,0.020408,0.375,0.126782,0.110783,0
0.148649,0.040816,0.040816,0.135417,0.696811,0.359957,0
0.013514,0.469388,0.469388,0.78125,0.798931,0.423395,0
0,0.020408,0.020408,0.020833,0.842637,0.48937,0
0.040541,0.265306,0.265306,0.34375,0.574467,0.912369,0
0.054054,0.020408,0.020408,0.125,0.474202,0.095923,0
0.013514,0.183673,0.183673,0.427083,0.088833,0.712657,1
0.054054,0.102041,0.102041,0.40625,0.756433,0.034169,1
0.216216,0.020408,0.020408,0.145833,0.937295,0.829151,0
0.027027,0.081633,0.081633,0.145833,0.451618,0.591044,1
0.027027,0.102041,0.102041,0.760417,0.810935,0.195288,0
0.054054,0.122449,0.122449,0.583333,0.591707,0.333049,0
0.094595,0.204082,0.204082,0.90625,0.329632,0.798346,0
0.216216,0.040816,0.040816,0.21875,0.68582,0.44706,0
0.027027,0.408163,0.408163,0.520833,0.952812,0.130837,1
0.054054,0,0,0.020833,0.209458,0.32103,0
0.013514,0.265306,0.265306,0.583333,0.306733,0.365137,0
0.054054,0.183673,0.183673,0.270833,0.158029,0.201622,1
0.189189,0,0,0.125,0.631348,0.942422,0
0.148649,0,0,0.09375,0.389702,0.512945,0
0.054054,0.040816,0.040816,0.145833,0.820274,0.717171,0
0.054054,0.306122,0.306122,1,0.331226,0.823813,1
0.216216,0,0,0.145833,0.704183,0.404952,0
0.027027,0.020408,0.020408,0.083333,0.375242,0.510587,1
0.148649,0,0,0.09375,0.810908,0.843889,0
0.094595,0.020408,0.020408,0.145833,0.958725,0.878426,0
0.054054,0.040816,0.040816,0.270833,0.824829,0.49918,0
0.027027,0.163265,0.163265,0.208333,0.879618,0.875878,1
0.054054,0.081633,0.081633,0.270833,0.363629,0.715188,0
0.189189,0.040816,0.040816,0.25,0.882308,0.56604,0
0.148649,0.081633,0.081633,0.166667,0.492223,0.451123,0
0.283784,0.020408,0.020408,0.239583,0.922506,0.202107,0
0.054054,0.040816,0.040816,0.145833,0.601721,0.623978,1
0.148649,0,0,0.09375,0.808215,0.095922,1
0.189189,0,0,0.125,0.895513,0.726376,0
0.027027,0.142857,0.142857,0.375,0.105856,0.465251,1
0.283784,0,0,0.197917,0.745073,0.087136,0
0.027027,0.122449,0.122449,0.125,0.299248,0.098776,1
0.027027,0.040816,0.040816,0.072917,0.604854,0.998847,1
0.216216,0.142857,0.142857,0.770833,0.194039,0.987419,0
0.216216,0,0,0.145833,0.008642,0.949409,0
0.027027,0.040816,0.040816,0.020833,0.471286,0.03639,1
0.027027,0.244898,0.244898,0.53125,0.408986,0.363459,1
0.189189,0.020408,0.020408,0.125,0.111301,0.59445,1
0.013514,0.163265,0.163265,0.510417,0.266852,0.584793,0
0.148649,0.040816,0.040816,0.364583,0.132488,0.815193,0
0.283784,0,0,0.197917,0.85039,0.312335,0
0.054054,0.020408,0.020408,0.020833,0.719786,0.799697,0
0.189189,0,0,0.125,0.659701,0.339907,0
0.189189,0,0,0.125,0.353468,0.060769,0
0.027027,0.020408,0.020408,0.020833,0.258794,0.243999,1
0.189189,0,0,0.125,0.991427,0.096018,0
0.027027,0.020408,0.020408,0,0.566357,0.613912,0
0.310811,0.020408,0.020408,0.270833,0.706715,0.760347,0
0.054054,0.020408,0.020408,0.020833,0.33381,0.52514,1
0.094595,0.081633,0.081633,0.520833,0.436973,0.688027,0
0.054054,0.020408,0.020408,0.020833,0.622034,0.219491,0
0.216216,0.020408,0.020408,0.145833,0.663549,0.230304,0
0.310811,0,0,0.21875,0.57749,0.374448,0
0.013514,0.22449,0.22449,0.34375,0.90544,0.246609,0
0.216216,0.102041,0.102041,0.822917,0.703918,0.919429,0
0.054054,0.020408,0.020408,0.020833,0.886887,0.615711,0
0.054054,0,0,0.020833,0.127569,0.088067,0
0.054054,0.020408,0.020408,0.291667,0.117264,0.517756,0
0.148649,0.22449,0.22449,0.583333,0.061936,0.283323,0
0.027027,0.061224,0.061224,0.125,0.408106,0.378957,1
0.148649,0.122449,0.122449,0.625,0.7922,0.376193,1
0.175676,0.040816,0.040816,0.125,0.544443,0.867733,1
0.148649,0.020408,0.020408,0.09375,0.020134,0.258953,0
0.148649,0.102041,0.102041,0.40625,0.926282,0.484475,0
0.054054,0.163265,0.163265,0.395833,0.336931,0.830352,0
0.283784,0.040816,0.040816,0.34375,0.500941,0.096622,0
0.054054,0.387755,0.387755,0.697917,0.924464,0.102842,1
0.148649,0.040816,0.040816,0.395833,0.71808,0.236609,1
0.189189,0.122449,0.122449,0.34375,0.324732,0.79088,0
0.094595,0.183673,0.183673,0.46875,0.556642,0.10227,0
0.189189,0.346939,0.346939,0.791667,0.26274,0.564544,0
0.148649,0.102041,0.102041,0.260417,0.896587,0.977644,0
0.054054,0.081633,0.081633,0.145833,0.059841,0.134142,1
0.148649,0.020408,0.020408,0.197917,0.638128,0.226663,0
0.189189,0.081633,0.081633,0.270833,0.132564,0.46918,0
0.040541,0.408163,0.408163,0.416667,0.007367,0.103043,1
0.108108,0.142857,0.142857,0.520833,0.436208,0.749026,1
0.148649,0,0,0.09375,0.429576,0.366774,0
0.054054,0.081633,0.081633,0.125,0.482993,0.092767,1
0.189189,0.142857,0.142857,0.458333,0.200009,0.100905,0
0.121622,0.142857,0.142857,0.375,0.741327,0.722235,1
0.027027,0.020408,0.020408,0.09375,0.937034,0.181906,1
0.189189,0.020408,0.020408,0.34375,0.805726,0.974855,1
0.310811,0,0,0.21875,0.46346,0.572701,0
0.216216,0.040816,0.040816,0.34375,0.716229,0.501909,0
0.189189,0.122449,0.122449,0.46875,0.329381,0.979555,0
0.148649,0.102041,0.102041,0.25,0.201601,0.063024,0
0.054054,0.102041,0.102041,0.291667,0.663424,0.442282,0
0.054054,0.020408,0.020408,0.020833,0.422427,0.559118,0
0.148649,0.061224,0.061224,0.583333,0.419234,0.111845,0
0.121622,0.020408,0.020408,0.520833,0.998176,0.333749,0
0.243243,0.142857,0.142857,0.96875,0.370102,0.810232,0
0.189189,0.142857,0.142857,0.25,0.716578,0.316741,0
0.027027,0.081633,0.081633,0.145833,0.397088,0.964541,1
0.054054,0.142857,0.142857,0.458333,0.344177,0.284179,1
0.189189,0.061224,0.061224,0.572917,0.714555,0.160565,0
0.027027,0.020408,0.020408,0.09375,0.38366,0.365279,1
0.027027,0,0,0,0.68198,0.870693,0
0.162162,0.244898,0.244898,0.59375,0.456596,0.939365,0
0.054054,0.265306,0.265306,0.395833,0.761983,0.876813,0
0.148649,0.081633,0.081633,0.34375,0.229442,0.235119,0
0.189189,0,0,0.125,0.001945,0.530925,0
0.054054,0,0,0.020833,0.446223,0.26945,0
0.013514,0.265306,0.265306,0.96875,0.14018,0.274532,0
0.175676,0.040816,0.040816,0.145833,0.683013,0.244796,0
0.067568,0.918367,0.918367,1,0.067546,0.772417,1
0.283784,0.020408,0.020408,0.21875,0.897378,0.16137,0
0.054054,0.102041,0.102041,0.21875,0.911468,0.607258,1
0.027027,0.102041,0.102041,0.145833,0.710177,0.194763,1
0.027027,0.102041,0.102041,0.25,0.451778,0.72859,1
0.027027,0.163265,0.163265,0.760417,0.627651,0.33959,0
0.148649,0.040816,0.040816,0.25,0.926374,0.752942,0
0.054054,0.204082,0.204082,0.614583,0.088469,0.926221,0
0.189189,0.102041,0.102041,0.510417,0.539596,0.771553,0
0.310811,0,0,0.21875,0.303404,0.880409,0
0.054054,0.081633,0.081633,0.322917,0.147347,0.537901,1
0.054054,0,0,0.020833,0.344596,0.014529,0
0.054054,0.142857,0.142857,0.333333,0.660378,0.779315,1
0.027027,0.102041,0.102041,0.208333,0.836833,0.214354,1
0.283784,0.020408,0.020408,0.197917,0.680778,0.90531,1
0.054054,0.061224,0.061224,0.458333,0.905066,0.116728,0
0.216216,0,0,0.145833,0.76659,0.569809,0
0.054054,0.44898,0.44898,0.583333,0.740366,0.761214,0
0.283784,0.040816,0.040816,0.395833,0.505627,0.385268,0
0.310811,0.061224,0.061224,0.520833,0.260796,0.742708,0
0.216216,0,0,0.145833,0.271925,0.583765,0
0.189189,0.020408,0.020408,0.125,0.864177,0.592232,0
0.027027,0.673469,0.673469,0.78125,0.136908,0.573471,1
0.054054,0,0,0.020833,0.196483,0.469555,0
0.189189,0.020408,0.020408,0.145833,0.912223,0.148439,0
0.027027,0.244898,0.244898,0.770833,0.192605,0.763982,1
0.027027,0.020408,0.020408,0.020833,0.712349,0.575523,0
0.121622,0.040816,0.040816,0.333333,0.385506,0.868602,0
0.027027,0.102041,0.102041,0.46875,0.742432,0.904261,0
0.027027,0.020408,0.020408,0.125,0.625242,0.21848,0
0.027027,0.122449,0.122449,0.270833,0.24048,0.623916,1
0.054054,0.061224,0.061224,0.145833,0.901158,0.664722,0
0.027027,0.183673,0.183673,0.520833,0.632891,0.226405,0
0.189189,0.061224,0.061224,0.645833,0.918495,0.394041,0
0.189189,0.020408,0.020408,0.125,0.998439,0.324703,0
0.054054,0.061224,0.061224,0.125,0.444975,0.897388,1
0.054054,0.163265,0.163265,0.270833,0.878235,0.723331,0
0.027027,0.102041,0.102041,0.145833,0.21338,0.941424,1
0,0.510204,0.510204,0.770833,0.317785,0.240915,1
0.108108,0.163265,0.163265,0.645833,0.342944,0.103034,0
0.216216,0,0,0.145833,0.782183,0.14432,0
0.054054,0.204082,0.204082,0.96875,0.825347,0.189796,0
0.972973,0,0,0.729167,0.246587,0.769725,0
0.216216,0.285714,0.285714,0.885417,0.610389,0.788254,0
0.216216,0,0,0.145833,0.331503,0.27804,0
0.054054,0,0,0.020833,0.221908,0.257042,0
0.054054,0.102041,0.102041,0.125,0.826079,0.52042,0
0.054054,0.163265,0.163265,0.552083,0.636285,0.713357,0
0.148649,0.020408,0.020408,0.520833,0.322422,0.674169,0
0.216216,0.061224,0.061224,0.270833,0.363851,0.948955,0
0.027027,0.061224,0.061224,0.21875,0.970159,0.650183,0
0.189189,0.040816,0.040816,0.40625,0.287817,0.755824,0
0.027027,0.122449,0.122449,0.28125,0.552785,0.270107,0
0.216216,0.183673,0.183673,0.625,0.835818,0.841836,0
0.216216,0.122449,0.122449,0.947917,0.186014,0.864747,0
0.027027,0.122449,0.122449,0.34375,0.485932,0.373185,1
0.054054,0.081633,0.081633,0.34375,0.943215,0.254815,1
0.310811,0.102041,0.102041,0.447917,0.442044,0.193038,0
0.027027,0,0,0,0.624146,0.040921,1
0.054054,0.102041,0.102041,0.375,0.552691,0.934859,1
0.216216,0,0,0.145833,0.700585,0.751798,0
0.054054,0.020408,0.020408,0.072917,0.193009,0.573979,0
0.148649,0.183673,0.183673,0.34375,0.196097,0.678045,0
0.148649,0.040816,0.040816,0.21875,0.881187,0.442482,0
0.027027,0.163265,0.163265,0.75,0.887052,0.153282,0
0.054054,0.122449,0.122449,0.3125,0.858817,0.370164,1
0.027027,0.020408,0.020408,0.322917,0.748132,0.635389,0
0.054054,0.163265,0.163265,0.375,0.728814,0.408247,1
0.054054,0.081633,0.081633,0.25,0.007969,0.1876,1
0.040541,0.081633,0.081633,0.104167,0.515057,0.542742,1
0.054054,0.061224,0.061224,0.020833,0.529179,0.862537,0
0.054054,0.163265,0.163265,0.25,0.184678,0.910809,1
0.148649,0.142857,0.142857,0.458333,0.481925,0.051825,0
0.054054,0.081633,0.081633,0.333333,0.756944,0.296126,0
0.189189,0.040816,0.040816,0.270833,0.441302,0.079779,0
0.027027,0.040816,0.040816,0.760417,0.611905,0.098261,1
0.216216,0,0,0.145833,0.106209,0.191684,0
0.148649,0.061224,0.061224,0.59375,0.507513,0.546213,0
0.054054,0.102041,0.102041,0.427083,0.81098,0.615551,0
0.027027,0,0,0,0.115667,0.65773,0
0.310811,0.040816,0.040816,0.34375,0.880985,0.560775,0
0.216216,0.122449,0.122449,0.270833,0.595649,0.333737,0
0.094595,0.163265,0.163265,0.90625,0.669484,0.857945,1
0.054054,0.081633,0.081633,0.75,0.837666,0.021113,0
0.283784,0,0,0.197917,0.805444,0.441136,0
0.310811,0,0,0.21875,0.529735,0.577279,0
0.148649,0.428571,0.428571,1,0.780636,0.027328,0
0.189189,0.020408,0.020408,0.125,0.127888,0.326497,0
0.189189,0,0,0.125,0.509228,0.157169,0
0.094595,0.265306,0.265306,0.479167,0.1427,0.810468,0
0.189189,0.020408,0.020408,0.125,0.904212,0.2271,0
0.216216,0.265306,0.265306,0.84375,0.89439,0.404778,0
0.148649,0.061224,0.061224,0.333333,0.832392,0.264983,0
0.027027,0.204082,0.204082,0.458333,0.034248,0.797909,0
0.283784,0.040816,0.040816,0.708333,0.033291,0.979614,0
0.283784,0.020408,0.020408,0.21875,0.681915,0.311023,0
0.027027,0,0,0,0.71721,0.049159,0
0.027027,0.081633,0.081633,0.46875,0.986041,0.174361,1
0.027027,0.020408,0.020408,0.09375,0.593826,0.704301,1
0.027027,0.22449,0.22449,0.96875,0.280097,0.170105,0
0.189189,0.122449,0.122449,0.739583,0.025074,0.408991,0
0.054054,0.020408,0.020408,0.020833,0.775637,0.501704,0
0.027027,0.040816,0.040816,0.520833,0.844706,0.845026,0
0.054054,0.061224,0.061224,0.020833,0.912064,0.356131,1
0.189189,0.061224,0.061224,0.25,0.141798,0.46621,0
0.148649,0.040816,0.040816,0.125,0.064943,0.388222,0
0.189189,0.040816,0.040816,0.302083,0.966609,0.603705,0
0.189189,0.020408,0.020408,0.125,0.304194,0.27521,0
0.216216,0.081633,0.081633,0.604167,0.484583,0.476249,0
0.027027,0.102041,0.102041,0.447917,0.288973,0.564734,0
0.189189,0.020408,0.020408,0.125,0.577909,0.487212,0
0.027027,0,0,0,0.187825,0.271083,0
0.216216,0.040816,0.040816,0.458333,0.273946,0.875062,0
0.027027,0.204082,0.204082,0.895833,0.7207,0.062101,0
0.054054,0.326531,0.326531,0.71875,0.665941,0.124617,1
0.189189,0.040816,0.040816,0.802083,0.033681,0.423144,0
0.027027,0.122449,0.122449,0.583333,0.183876,0.54353,1
0.121622,0.204082,0.204082,0.489583,0.137765,0.884654,1
0.243243,0.020408,0.020408,0.21875,0.171873,0.061777,0
0.027027,0.020408,0.020408,0.020833,0.069823,0.256395,0
0.054054,0.122449,0.122449,0.520833,0.733509,0.621494,0
0.148649,0.122449,0.122449,0.645833,0.766847,0.824049,0
0.148649,0.122449,0.122449,0.364583,0.7175,0.490313,0
0.472973,0.040816,0.040816,0.645833,0.883872,0.63285,0
0.148649,0.020408,0.020408,0.15625,0.533603,0.453438,0
0.027027,0.122449,0.122449,0.770833,0.431449,0.308108,0
0.148649,0.142857,0.142857,0.729167,0.212222,0.118006,0
0.189189,0.142857,0.142857,0.5,0.160316,0.343933,0
0.310811,0.040816,0.040816,0.90625,0.751085,0.497856,0
0.189189,0,0,0.125,0.078912,0.429157,0
0.189189,0.020408,0.020408,0.197917,0.328483,0.637645,1
0.216216,0.061224,0.061224,0.395833,0.35366,0.173395,0
0.027027,0.102041,0.102041,0.25,0.404964,0.282334,0
0.054054,0.142857,0.142857,0.395833,0.112406,0.546402,1
0.216216,0.122449,0.122449,0.375,0.083976,0.501354,0
0.189189,0.122449,0.122449,0.25,0.348217,0.450284,0
0.054054,0.102041,0.102041,0.270833,0.356884,0.736382,1
0.054054,0,0,0.020833,0.203703,0.106875,0
0.216216,0.061224,0.061224,0.322917,0.018863,0.957429,0
0.054054,0,0,0.020833,0.405307,0.361489,1
0.054054,0,0,0.020833,0.109596,0.484041,0
0.027027,0.285714,0.285714,0.645833,0.512508,0.57947,0
0.121622,0.061224,0.061224,0.65625,0.70632,0.556726,0
0.189189,0,0,0.125,0.948654,0.543414,0
0.148649,0.163265,0.163265,0.375,0.776639,0.928295,0
0.054054,0.122449,0.122449,0.239583,0.488117,0.646618,0
0.027027,0.040816,0.040816,0.177083,0.584674,0.585613,0
0.054054,0.061224,0.061224,0.427083,0.988764,0.722278,1
0.310811,0.102041,0.102041,0.708333,0.836497,0.209335,0
0.054054,0.061224,0.061224,0.333333,0.679203,0.048115,1
0.148649,0.081633,0.081633,0.40625,0.349408,0.132536,0
0.310811,0.265306,0.265306,0.947917,0.237055,0.422607,0
0.189189,0.102041,0.102041,0.333333,0.534536,0.36868,0
0.189189,0.061224,0.061224,0.291667,0.227491,0.721646,0
0.027027,0.040816,0.040816,0.229167,0.393335,0.745224,0
1,0,0,0.75,0.21053,0.013425,0
0.189189,0.244898,0.244898,0.572917,0.045973,0.301214,0
0.189189,0.306122,0.306122,0.708333,0.971122,0.134532,0
0.283784,0,0,0.197917,0.033197,0.885549,0
0.283784,0,0,0.197917,0.87777,0.611684,0
0.027027,0.22449,0.22449,0.833333,0.763185,0.327147,0
0.054054,0.102041,0.102041,0.46875,0.333474,0.951228,0
0.148649,0,0,0.09375,0.510994,0.639103,0
0.027027,0.061224,0.061224,0.34375,0.647031,0.61247,0
0.189189,0,0,0.125,0.320623,0.465949,0
0.027027,0.020408,0.020408,0.09375,0.423226,0.431113,0
0.027027,0.020408,0.020408,0.208333,0.00831,0.386496,0
0.054054,0.081633,0.081633,0.583333,0.747221,0.865502,0
0.054054,0.122449,0.122449,0.520833,0.220616,0.744274,0
0.067568,0.204082,0.204082,0.760417,0.021443,0.201089,0
0.527027,0,0,0.385417,0.161915,0.393416,0
0.202703,0.081633,0.081633,0.322917,0.302542,0.76747,0
0.189189,0.081633,0.081633,0.75,0.173353,0.119916,0
0.027027,0.142857,0.142857,0.34375,0.381476,0.297535,1
0.216216,0.102041,0.102041,0.395833,0.818938,0.526485,0
0.148649,0.040816,0.040816,0.770833,0.651582,0.789734,0
0.054054,0.142857,0.142857,0.270833,0.514311,0.853825,0
0.148649,0.469388,0.469388,0.645833,0.017436,0.622136,0
0.22973,0.122449,0.122449,0.583333,0.019883,0.551943,1
0.027027,0.020408,0.020408,0.125,0.711629,0.210919,0
0.148649,0.306122,0.306122,0.90625,0.312422,0.412209,0
0.121622,0.163265,0.163265,0.541667,0.907043,0.206125,0
0.027027,0.061224,0.061224,0.145833,0.447764,0.724178,0
