@relation ionosphere-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute att1 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute NewNumeric8 numeric
@attribute NewNumeric9 numeric
@attribute NewNumeric10 numeric
@attribute NewNumeric11 numeric
@attribute NewNumeric12 numeric
@attribute NewNumeric13 numeric
@attribute NewNumeric14 numeric
@attribute NewNumeric15 numeric
@attribute NewNumeric16 numeric
@attribute att35 {g,b}

@data
1,0.899235,0.691325,0.90402,0.41518,1,0.461735,0.990755,0.46301,0.851085,0.603315,0.998725,0.510525,0.99107,0.512435,1,0.43463,0.978315,0.538585,1,0.500955,0.95153,0.65402,1,0.427295,1,0.49803,0.87819,0.53954,1,0.40625,1,0.4713,0.210058,0.947047,0.032525,0.128711,0.707565,0.677394,0.66072,0.313342,0.489062,0.658723,0.890954,0.567744,0.176793,0.218625,0.068028,0.758886,0.399599,g
1,1,0.41842,1,0.449155,0.999995,0.424015,1,0.403615,0.970275,0.324245,0.978675,0.351075,0.968595,0.32794,0.97243,0.35947,0.950685,0.283085,0.930215,0.26346,0.914935,0.2439,0.9204,0.264315,0.88112,0.20815,0.828615,0.15603,0.84357,0.177315,0.823635,0.16387,0.606923,0.452936,0.027642,0.128572,0.30744,0.750745,0.447994,0.106674,0.123295,0.60989,0.216566,0.152403,0.1919,0.246881,0.863304,0.935775,0.227927,g
1,1,0.54901,1,0.625505,0.99195,0.66522,0.901825,0.7651,0.874885,0.801485,0.784685,0.85971,0.776555,0.870395,0.64726,0.910965,0.605685,0.898885,0.548545,0.91081,0.49133,0.89935,0.42428,0.87798,0.385805,0.845935,0.341435,0.80474,0.298545,0.77261,0.285925,0.72267,0.103126,0.324347,0.781619,0.802655,0.483656,0.189428,0.06992,0.000266,0.902177,0.093336,0.262615,0.983992,0.947677,0.064633,0.026218,0.286453,0.98904,g
1,0.924215,0.53397,0.90281,0.488505,0.885155,0.483505,0.833625,0.4669,0.79791,0.46167,0.8363,0.471145,0.8213,0.46781,0.695995,0.52265,0.85627,0.50697,0.77985,0.459805,0.76715,0.457735,0.73519,0.38589,0.743295,0.45436,0.763065,0.457315,0.721385,0.451895,0.711115,0.45096,0.281193,0.573684,0.551605,0.36028,0.880194,0.891544,0.32671,0.552436,0.771812,0.491545,0.796335,0.776196,0.934555,0.021806,0.039179,0.631437,0.757934,g
1,0,0,1,1,1,0.428125,0.5,0.5,0,1,1,1,0.589585,0,0,0,0.54375,0,1,0,0,1,0,0,1,0,0,0,1,1,0.5,0.5,0.189016,0.586091,0.630785,0.013738,0.730972,0.62892,0.877811,0.699549,0.420695,0.041068,0.923723,0.040847,0.26523,0.59501,0.821156,0.155717,0.682243,b
0,0.5,0.5,1,1,1,1,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0.5,0.5,0.5,0.5,1,1,0.5,0.5,1,1,0.5,0.5,0,1,0.5,0.5,0.87009,0.584947,0.485009,0.78502,0.350903,0.200258,0.208964,0.228553,0.455851,0.379527,0.789282,0.46987,0.644707,0.94432,0.894591,0.106126,0.105386,b
1,0.72222,0.72222,0.768475,0.953815,0.38889,1,0.333335,0.944445,0,0.666665,0,0.444445,0,0.38889,0.166665,0.11111,0.77778,0,0.38889,0.11111,0.88889,0.38889,0.666665,0.5,0.9606,0.725095,0.78727,0.921765,0.61111,1,0.22222,1,0.120124,0.038079,0.402705,0.092245,0.50563,0.53063,0.245366,0.841121,0.226135,0.07635,0.158088,0.175758,0.322978,0.009394,0.211965,0.002563,0.020883,g
1,0.93142,0.59655,0.9046,0.705745,0.836015,0.778925,0.772795,0.84981,0.683525,0.907665,0.598085,0.928355,0.479695,0.93142,0.413795,0.878925,0.3295,0.828735,0.259005,0.78046,0.19885,0.70498,0.20383,0.628735,0.18481,0.54409,0.213795,0.46092,0.22567,0.400385,0.28544,0.34023,0.46419,0.852875,0.29531,0.095632,0.40668,0.730665,0.810872,0.439882,0.814327,0.091974,0.465588,0.946296,0.126389,0.879513,0.995191,0.003984,0.654057,g
1,0.811675,0.48255,0.795425,0.502405,0.802045,0.462695,0.815885,0.504815,0.812275,0.462695,0.83514,0.5361,0.81468,0.45788,0.837545,0.54573,0.83574,0.5,0.794825,0.55054,0.7503,0.515645,0.829725,0.570395,0.802315,0.510095,0.75692,0.52226,0.808665,0.495185,0.80686,0.45427,0.598286,0.730465,0.003312,0.592594,0.503474,0.757734,0.709184,0.753826,0.39897,0.731417,0.136347,0.468664,0.225788,0.535472,0.103098,0.597114,0.916472,g
1,0.917395,0.644965,0.84628,0.73851,0.74617,0.841905,0.609955,0.933805,0.45952,0.925055,0.32221,0.888405,0.236325,0.792125,0.14825,0.656455,0.120895,0.519695,0.143875,0.423415,0.208425,0.30416,0.314005,0.23523,0.41525,0.195685,0.542125,0.19256,0.62582,0.25766,0.702955,0.323305,0.964143,0.913062,0.223445,0.588624,0.488524,0.462641,0.614603,0.675475,0.790537,0.244121,0.493166,0.115234,0.313771,0.495422,0.580796,0.470221,0.921627,g
1,0.947525,0.48416,0.937625,0.527725,0.947525,0.50693,0.964355,0.51386,0.956435,0.49505,0.970295,0.49208,0.959405,0.51683,0.968315,0.5,0.971285,0.50693,0.952475,0.50396,0.943565,0.49109,0.946535,0.51188,0.94501,0.508055,0.940595,0.50099,0.936635,0.52079,0.933665,0.51188,0.853822,0.687295,0.370768,0.465721,0.713898,0.168178,0.060997,0.258769,0.855315,0.836288,0.087443,0.520607,0.294189,0.480513,0.391294,0.652027,0.997972,g
1,0.998505,0.608385,0.95983,0.73515,0.88451,0.812075,0.76656,0.8906,0.68387,0.941455,0.550535,0.91656,0.465865,0.94637,0.358655,0.860365,0.281465,0.80844,0.221155,0.7406,0.175,0.67767,0.17671,0.57954,0.166745,0.511385,0.17564,0.43269,0.226925,0.385255,0.263995,0.32484,0.353438,0.047416,0.900001,0.32878,0.999148,0.88404,0.63761,0.037183,0.819802,0.304253,0.456768,0.035469,0.715634,0.719251,0.494002,0.701304,0.392356,g
1,0,0,0.5,0.5,0.75407,0.10749,0.80293,0.664495,0,0.29316,0.5,0.5,0.5,0.5,1,0.36645,0.68241,0.18241,0.98534,0,0,0,1,0.201955,0,0,0,0,1,0,0.5,0.5,0.823384,0.763615,0.704418,0.437301,0.462493,0.140376,0.27273,0.594118,0.824471,0.17444,0.07793,0.085021,0.212508,0.659885,0.194871,0.144739,0.774236,b
1,0.987565,0.50355,0.992895,0.50977,1,0.50977,0.99645,0.507995,0.978685,0.511545,0.98579,0.51776,1,0.51865,0.989345,0.510655,0.992895,0.52842,0.98579,0.52398,0.97247,0.52753,0.992005,0.51776,0.9877,0.532385,0.974245,0.540855,0.99556,0.531085,0.99467,0.549735,0.14664,0.624696,0.909413,0.422369,0.140976,0.005469,0.724648,0.448397,0.472299,0.739149,0.20894,0.234433,0.789174,0.303518,0.551907,0.468886,0.634272,g
1,0.733925,0.55654,0.7949,0.503325,0.77716,0.53437,0.73947,0.430155,0.764965,0.50665,0.81929,0.41907,0.839245,0.48337,0.772725,0.432375,0.764965,0.47672,0.73947,0.40244,0.75388,0.432375,0.707315,0.399115,0.76965,0.442725,0.799335,0.48559,0.768295,0.44124,0.781595,0.477825,0.679383,0.345593,0.109462,0.630326,0.208584,0.140956,0.259106,0.337889,0.057243,0.165877,0.813438,0.94473,0.168669,0.090952,0.116517,0.382599,0.124513,g
1,1,0.61529,1,0.107455,1,0.447995,1,0.57707,1,0.6391,0.9906,0.465695,1,0.53305,0.97901,0.40523,0.91792,0.421835,0.987,0.51864,0.99812,0.54621,1,0.493735,0.98119,0.477015,0.955825,0.519425,1,0.43139,0.982615,0.441415,0.506011,0.391597,0.2976,0.351525,0.426874,0.500086,0.9375,0.871848,0.537076,0.963278,0.925318,0.772936,0.02732,0.778784,0.334973,0.664525,0.848944,g
1,0.995125,0.471075,0.998965,0.434955,0.993315,0.40285,0.99687,0.370785,0.96369,0.34935,0.963255,0.310175,0.94906,0.28102,0.92461,0.23968,0.937165,0.214625,0.89508,0.200805,0.873625,0.176925,0.84141,0.157605,0.826235,0.13413,0.80505,0.123235,0.77376,0.09861,0.745975,0.083775,0.170986,0.657247,0.272819,0.32063,0.449023,0.681953,0.765558,0.784164,0.387914,0.558883,0.345405,0.931226,0.658602,0.078517,0.964601,0.108817,0.267028,g
1,0.941205,0.65317,0.86616,0.78908,0.670545,0.792635,0.528585,1,0.45381,0.96059,0.187985,0.85998,0.151165,0.66279,0.09289,0.705975,0,0.496125,0.105135,0.294575,0.115495,0.27261,0.21379,0.161975,0.34195,0.09062,0.485105,0.065795,0.62696,0.089365,0.50097,0.09157,0.687039,0.191367,0.483049,0.808404,0.258723,0.800669,0.495456,0.189337,0.871542,0.565576,0.016611,0.25152,0.043516,0.593262,0.411898,0.9581,0.213885,g
1,0.998225,0.53234,1,0.49382,0.989055,0.51249,0.98056,0.51156,0.99637,0.53904,0.946615,0.55173,0.97106,0.526345,0.944045,0.5556,0.93052,0.543155,0.908165,0.55915,0.91834,0.57221,0.906645,0.56706,0.89738,0.56819,0.89555,0.576895,0.88561,0.57965,0.854705,0.560075,0.7639,0.373012,0.871205,0.907613,0.884545,0.682335,0.276553,0.632179,0.937438,0.8118,0.964948,0.085401,0.109659,0.226376,0.192653,0.611585,0.985921,g
1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0.814632,0.323641,0.547616,0.661206,0.704071,0.422466,0.514468,0.783484,0.083015,0.505601,0.92398,0.305325,0.675727,0.69616,0.149,0.120992,0.474288,b
1,1,0.5,1,0.5,0.75,0.75,0.875,0.5,0.956005,0.56047,0.945335,0.57105,0.93461,0.58114,0.875,0.625,0.875,0.75,0.875,0.5,1,0.375,0.75,0.75,0.86972,0.63194,0.875,0.625,0.848175,0.64537,0.837465,0.651465,0.208955,0.63377,0.671116,0.091717,0.618864,0.3379,0.219634,0.58258,0.724859,0.739415,0.649381,0.820095,0.092039,0.095168,0.060871,0.462112,0.291085,g
1,0.84074,0.55185,0.885185,0.517285,0.825925,0.54074,0.80494,0.49753,0.89506,0.55926,0.798765,0.52469,0.812345,0.54815,0.89136,0.412345,0.869135,0.44568,0.74321,0.50494,0.80494,0.54074,0.833335,0.4358,0.818865,0.487745,0.882715,0.51111,0.806175,0.4642,0.75679,0.476545,0.159926,0.963017,0.151273,0.777292,0.716,0.127128,0.048621,0.498009,0.596277,0.85506,0.681143,0.396259,0.791994,0.012852,0.698461,0.90938,0.250266,g
1,0.947945,0.69643,0.830645,0.85902,0.647605,0.95412,0.476065,0.972075,0.271375,0.923025,0.1117,0.792555,0.035905,0.625665,0.03859,0.423425,0.11968,0.25798,0.245345,0.119015,0.425525,0.057045,0.607905,0.071485,0.766145,0.157035,0.87423,0.29672,0.91571,0.464855,0.88431,0.63963,0.651453,0.703333,0.357766,0.200301,0.400797,0.736511,0.13259,0.669776,0.659325,0.050786,0.028391,0.577306,0.639793,0.499019,0.603885,0.025843,0.942277,g
1,0.920885,0.7173,0.75,0.8808,0.54958,0.9673,0.31118,0.94093,0.138185,0.805905,0.03059,0.597045,0.066455,0.372365,0.185655,0.17194,0.374475,0.07173,0.581225,0.06751,0.757385,0.16561,0.874475,0.355485,0.889685,0.539665,0.820675,0.714135,0.657175,0.812235,0.49789,0.847045,0.189282,0.073423,0.238148,0.692014,0.486056,0.242613,0.900982,0.403203,0.687184,0.747398,0.556211,0.342539,0.700668,0.815792,0.45644,0.685065,0.929662,g
1,0.922785,0.4571,0.341275,0.097235,0.455195,0.217825,0.90324,0.52288,0.94757,0.496185,0.40753,0.81983,0.399905,0.159675,0.928505,0.44328,0.889895,0.421355,0.465205,0.75405,0.32936,0.90467,0.89466,0.48141,0.85441,0.37356,0.88942,0.429455,0.39323,0.10915,0.40753,0.200665,0.016097,0.114257,0.999686,0.122878,0.681644,0.207519,0.932798,0.765936,0.305534,0.035483,0.11747,0.092563,0.176564,0.055241,0.160529,0.824664,0.065122,b
1,0.67347,0.60204,0.734695,0.62245,0.70408,0.60204,0.734695,0.72449,0.65306,0.79592,0.561225,0.77551,0.5,0.7551,0.46939,0.77551,0.39796,0.77551,0.357145,0.72449,0.357145,0.663265,0.19388,0.612245,0.267105,0.574475,0.20408,0.591835,0.32653,0.5,0.367345,0.37755,0.501625,0.017397,0.635795,0.144114,0.548082,0.026906,0.542463,0.349248,0.124574,0.60155,0.132948,0.812581,0.690583,0.623434,0.117165,0.050976,0.999239,g
1,0.92067,0.40819,0.71822,0.514595,0.967105,0.498665,0.939735,0.568975,0.905605,0.491055,0.942795,0.774955,0.95857,0.21257,0.875,0.3524,0.93338,0.39948,1,1,0.73305,0.41855,0.95033,0.48611,0.96679,0.49421,0.80791,0.33851,0.922315,0.37147,0.966615,0.492875,0.296077,0.670757,0.269374,0.386502,0.767369,0.543362,0.124235,0.495752,0.768479,0.985444,0.764931,0.654593,0.146976,0.038336,0.817074,0.688859,0.927084,g
1,0.923565,0.483015,0.93206,0.457535,0.909765,0.5,0.868365,0.461785,0.859875,0.43206,0.874735,0.441615,0.887475,0.40658,0.89066,0.393845,0.80998,0.449045,0.895965,0.421445,0.94692,0.483015,0.92463,0.369425,0.870575,0.38344,0.83121,0.388535,0.863055,0.31104,0.829085,0.375795,0.120558,0.318792,0.655384,0.476435,0.268401,0.258359,0.660132,0.422609,0.610919,0.348445,0.601891,0.316915,0.543557,0.996538,0.51359,0.653956,0.366464,g
1,0.96154,0.577255,0.931995,0.648785,0.86291,0.68395,0.85294,0.78415,0.787245,0.813595,0.71635,0.87338,0.658525,0.838485,0.59564,0.88409,0.52343,0.880855,0.43968,0.884845,0.407605,0.856635,0.353545,0.82854,0.30601,0.792765,0.266005,0.750655,0.23427,0.70366,0.218845,0.675475,0.747326,0.490159,0.478044,0.207189,0.399686,0.009243,0.172718,0.83017,0.924431,0.045026,0.443396,0.052284,0.681678,0.760765,0.296255,0.14198,0.409221,g
0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0.429456,0.627229,0.890003,0.829019,0.774693,0.679109,0.207088,0.228318,0.899946,0.330946,0.506804,0.250747,0.871035,0.061239,0.272876,0.244722,0.980946,b
1,0.980435,0.5431,0.9838,0.596395,0.98013,0.637255,0.99022,0.67526,0.964335,0.731405,0.931325,0.762585,0.9141,0.79397,0.86621,0.845325,0.845015,0.8657,0.772365,0.8441,0.741695,0.880985,0.703075,0.873445,0.667005,0.91898,0.62472,0.930305,0.56878,0.934175,0.54524,0.931425,0.376509,0.963513,0.602101,0.531112,0.331708,0.39794,0.42526,0.363175,0.757818,0.340741,0.33219,0.558074,0.290001,0.230383,0.829901,0.778505,0.715666,g
1,0.8,0.516665,0.816665,0.533335,0.85,0.533335,0.85,0.5,0.816665,0.5,0.9,0.5,0.866665,0.5,0.85,0.55,0.833335,0.55,0.866665,0.483335,0.883335,0.5,0.816665,0.566665,0.82966,0.55084,0.8,0.566665,0.8,0.583335,0.816665,0.583335,0.74992,0.013959,0.797438,0.013567,0.454632,0.76536,0.903958,0.080514,0.40307,0.118241,0.634538,0.541466,0.778454,0.213687,0.172976,0.948224,0.672739,g
1,0.99083,0.50437,0.990515,0.48091,0.987825,0.471505,0.979735,0.465145,0.99502,0.477465,0.973565,0.44449,0.966845,0.43605,0.971085,0.442085,0.89841,0.404,0.94137,0.413065,0.931285,0.406305,0.942435,0.401555,0.909065,0.39432,0.89273,0.38068,0.884555,0.384525,0.871615,0.38049,0.627912,0.144717,0.566637,0.970937,0.58049,0.178964,0.724976,0.903009,0.049825,0.186097,0.557575,0.8357,0.574357,0.293341,0.450336,0.395226,0.896525,g
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,1,0,0.5,0.5,1,1,1,0,1,1,1,0.5,1,1,1,0,0.5,0.5,0.288745,0.040847,0.011479,0.364726,0.361951,0.882267,0.460165,0.199831,0.085618,0.601033,0.503046,0.038421,0.808426,0.772265,0.165176,0.179488,0.08144,b
1,1,0.534215,1,0.571055,1,0.61054,1,0.4375,1,0.697475,1,0.744905,1,0.79493,0.3125,1,1,0.5,1,0.960005,1,1,1,1,1,1,1,0.625,1,1,1,1,0.762752,0.382785,0.471245,0.441868,0.07666,0.12528,0.236678,0.665642,0.234026,0.320375,0.534688,0.062171,0.518655,0.639991,0.070484,0.147994,0.138727,g
1,0.52933,0.49581,0.53352,0.50419,0.5,0.494415,0.502795,0.480445,0.50838,0.46229,0.497205,0.526535,0.532125,0.48324,0.5,0.547485,0.467875,0.53771,0.476255,0.51257,0.513965,0.497205,0.50419,0.502795,0.551675,0.49581,0.515365,0.498605,0.522345,0.5,0.523745,0.48324,0.990931,0.154479,0.024198,0.704101,0.120771,0.86284,0.057,0.472247,0.261114,0.16907,0.052532,0.123413,0.963457,0.189135,0.729765,0.510805,0.305251,b
1,0.9421,0.68362,0.835615,0.83691,0.698065,0.931995,0.51212,0.96591,0.32426,0.918565,0.19842,0.79421,0.10671,0.69389,0.083575,0.49679,0.15341,0.335185,0.23748,0.23038,0.363115,0.15937,0.50403,0.15113,0.63014,0.19661,0.722845,0.283085,0.771045,0.39229,0.78143,0.514115,0.104739,0.693942,0.388163,0.205886,0.004646,0.220499,0.236383,0.384651,0.095147,0.910867,0.968501,0.503371,0.820798,0.16118,0.168431,0.054012,0.898651,g
1,0.905715,0.51857,0.925715,0.499285,0.895,0.50357,0.897855,0.47857,0.937855,0.5,0.927855,0.46643,0.932145,0.50143,0.914285,0.472855,0.905,0.440715,0.884285,0.457855,0.92143,0.475,0.885,0.465715,0.90799,0.456655,0.912855,0.447855,0.907145,0.475,0.910715,0.424285,0.014745,0.511284,0.245784,0.644573,0.841051,0.669036,0.03326,0.130903,0.483208,0.35063,0.691285,0.124527,0.170359,0.239826,0.414742,0.154589,0.106477,g
1,1,0.48135,1,0.463085,0.998005,0.444805,0.99919,0.450345,0.994705,0.43093,0.98337,0.391525,0.97644,0.374505,0.95618,0.328,0.952905,0.33924,0.949955,0.326545,0.93937,0.311785,0.931065,0.28505,0.91586,0.28439,0.907165,0.287035,0.889595,0.260115,0.875575,0.24924,0.446867,0.332389,0.102723,0.891505,0.678175,0.402022,0.594579,0.841922,0.675318,0.016839,0.678991,0.917661,0.646707,0.128078,0.900824,0.227786,0.533929,g
1,0.7947,0.195365,0.92715,0.77649,0.90563,0.536425,0.783115,0.581125,0.663905,0.62086,0.751655,0.56126,0.819535,0.59934,0.85927,0.713575,0.771525,0.569535,0.82616,0.639075,0.84437,0.536425,0.75936,0.633265,0.745065,0.638435,0.73108,0.64287,0.71742,0.64662,0.704105,0.64971,0.820788,0.310775,0.006892,0.700978,0.723933,0.116362,0.109862,0.36948,0.529047,0.175694,0.00644,0.066063,0.084293,0.632661,0.629944,0.248951,0.275599,g
1,0.5,0.5,1,0.564445,0.94222,0.49,0.5,0.5,1,0.28778,1,0.59778,1,0.473335,1,0.09222,0.5,0.5,1,0.48,1,0.406665,0.5,0.5,1,0,0.5,0.5,1,0.55889,0.953335,0.45222,0.403034,0.617243,0.299871,0.023359,0.845246,0.981194,0.09071,0.174753,0.382128,0.424214,0.80412,0.322949,0.788241,0.417857,0.920807,0.5107,0.441218,b
1,0.961385,0.53902,0.963395,0.581255,0.94851,0.62309,0.920555,0.675985,0.894005,0.71098,0.85358,0.734915,0.85398,0.78238,0.802295,0.821,0.756235,0.82462,0.699515,0.834875,0.67116,0.841715,0.618465,0.88073,0.593825,0.869425,0.54847,0.85519,0.513675,0.88536,0.479885,0.847545,0.674947,0.654289,0.802379,0.282137,0.224002,0.816318,0.707509,0.700263,0.587165,0.449911,0.889622,0.494609,0.106446,0.05204,0.544064,0.325136,0.889696,g
1,0.366665,0.7,0.363485,0.560795,0.41111,0.47778,0.53096,0.465605,0.522305,0.512875,0.495575,0.51363,0.49207,0.49917,0.499535,0.495585,0.50235,0.499235,0.50069,0.50119,0.49943,0.50051,0.499655,0.49975,0.500095,0.499785,0.50013,0.500025,0.5,0.500075,0.49996,0.50001,0.099017,0.367974,0.404964,0.277659,0.713272,0.803413,0.305441,0.277269,0.806855,0.959805,0.467561,0.143971,0.546038,0.611032,0.028183,0.767602,0.952015,b
