@relation anneal-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute family=- numeric
@attribute family=GB numeric
@attribute family=GK numeric
@attribute family=GS numeric
@attribute family=TN numeric
@attribute family=ZA numeric
@attribute family=ZF numeric
@attribute family=ZH numeric
@attribute family=ZM numeric
@attribute family=ZS numeric
@attribute product-type=C numeric
@attribute product-type=H numeric
@attribute product-type=G numeric
@attribute steel=- numeric
@attribute steel=R numeric
@attribute steel=A numeric
@attribute steel=U numeric
@attribute steel=K numeric
@attribute steel=M numeric
@attribute steel=S numeric
@attribute steel=W numeric
@attribute steel=V numeric
@attribute carbon numeric
@attribute hardness numeric
@attribute temper_rolling=T numeric
@attribute condition=- numeric
@attribute condition=S numeric
@attribute condition=A numeric
@attribute condition=X numeric
@attribute formability=- numeric
@attribute formability=1 numeric
@attribute formability=2 numeric
@attribute formability=3 numeric
@attribute formability=4 numeric
@attribute formability=5 numeric
@attribute strength numeric
@attribute non-ageing=N numeric
@attribute surface-finish=- numeric
@attribute surface-finish=P numeric
@attribute surface-finish=M numeric
@attribute surface-quality=- numeric
@attribute surface-quality=D numeric
@attribute surface-quality=E numeric
@attribute surface-quality=F numeric
@attribute surface-quality=G numeric
@attribute enamelability=- numeric
@attribute enamelability=1 numeric
@attribute enamelability=2 numeric
@attribute enamelability=3 numeric
@attribute enamelability=4 numeric
@attribute enamelability=5 numeric
@attribute bc=Y numeric
@attribute bf=Y numeric
@attribute bt=Y numeric
@attribute bw/me=- numeric
@attribute bw/me=B numeric
@attribute bw/me=M numeric
@attribute bl=Y numeric
@attribute m=Y numeric
@attribute chrom=C numeric
@attribute phos=P numeric
@attribute cbond=Y numeric
@attribute marvi=Y numeric
@attribute exptl=Y numeric
@attribute ferro=Y numeric
@attribute corr=Y numeric
@attribute blue/bright/varn/clean=- numeric
@attribute blue/bright/varn/clean=B numeric
@attribute blue/bright/varn/clean=R numeric
@attribute blue/bright/varn/clean=V numeric
@attribute blue/bright/varn/clean=C numeric
@attribute lustre=Y numeric
@attribute jurofm=Y numeric
@attribute s=Y numeric
@attribute p=Y numeric
@attribute shape=SHEET numeric
@attribute thick numeric
@attribute width numeric
@attribute len numeric
@attribute oil=- numeric
@attribute oil=Y numeric
@attribute oil=N numeric
@attribute bore=0 numeric
@attribute bore=500 numeric
@attribute bore=600 numeric
@attribute bore=760 numeric
@attribute packing=- numeric
@attribute packing=1 numeric
@attribute packing=2 numeric
@attribute packing=3 numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute NewNumeric8 numeric
@attribute NewNumeric9 numeric
@attribute NewNumeric10 numeric
@attribute NewNumeric11 numeric
@attribute NewNumeric12 numeric
@attribute NewNumeric13 numeric
@attribute NewNumeric14 numeric
@attribute NewNumeric15 numeric
@attribute NewNumeric16 numeric
@attribute NewNumeric17 numeric
@attribute NewNumeric18 numeric
@attribute NewNumeric19 numeric
@attribute NewNumeric20 numeric
@attribute NewNumeric21 numeric
@attribute NewNumeric22 numeric
@attribute NewNumeric23 numeric
@attribute NewNumeric24 numeric
@attribute NewNumeric25 numeric
@attribute NewNumeric26 numeric
@attribute NewNumeric27 numeric
@attribute NewNumeric28 numeric
@attribute NewNumeric29 numeric
@attribute NewNumeric30 numeric
@attribute NewNumeric31 numeric
@attribute NewNumeric32 numeric
@attribute NewNumeric33 numeric
@attribute NewNumeric34 numeric
@attribute NewNumeric35 numeric
@attribute NewNumeric36 numeric
@attribute NewNumeric37 numeric
@attribute NewNumeric38 numeric
@attribute NewNumeric39 numeric
@attribute NewNumeric40 numeric
@attribute NewNumeric41 numeric
@attribute NewNumeric42 numeric
@attribute NewNumeric43 numeric
@attribute NewNumeric44 numeric
@attribute class {1,2,3,4,5,U}

@data
?,?,?,?,?,?,?,?,?,?,0,0,0,?,?,?,?,?,?,?,?,?,0,0,?,0,1,0,0,0,1,0,0,0,0,0,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.042553,0.4,0.156148,?,?,?,1,0,0,0,?,?,?,?,0.888134,0.272418,0.931098,0.007055,0.376445,0.608536,0.454983,0.763203,0.114623,0.757426,0.708872,0.421151,0.034318,0.330507,0.251437,0.20306,0.835206,0.245816,0.123006,0.2815,0.660287,0.553574,0.839841,0.1372,0.035215,0.226187,0.836814,0.261079,0.201366,0.86886,0.459397,0.030193,0.625713,0.327457,0.306076,0.779705,0.467621,0.784521,0.266267,0.379046,0.123508,0.142387,0.986476,0.000359,0.65487,3
?,?,?,?,?,?,?,?,?,?,0,0,0,?,?,?,?,?,?,?,?,?,0,0,?,0,1,0,0,0,1,0,0,0,0,0,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.122074,0.4,0.12541,?,?,?,1,0,0,0,?,?,?,?,0.197837,0.745598,0.269854,0.079641,0.695634,0.364077,0.756226,0.043589,0.629914,0.780479,0.542736,0.703129,0.850265,0.227516,0.78903,0.787342,0.814215,0.292448,0.573299,0.414392,0.470442,0.494504,0.693034,0.152214,0.410936,0.50593,0.453639,0.317851,0.12568,0.647367,0.362968,0.601704,0.260838,0.160348,0.139094,0.521923,0.942541,0.9755,0.521644,0.476842,0.483261,0.254621,0.05378,0.269829,0.136395,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.361702,0.4,0,?,?,?,1,0,0,0,0,0,1,0,0.769589,0.960451,0.269806,0.703809,0.58459,0.550958,0.738619,0.792247,0.879322,0.054247,0.252422,0.670463,0.640829,0.828401,0.436212,0.203566,0.088148,0.387044,0.676378,0.716145,0.821227,0.913255,0.926499,0.934575,0.72595,0.507731,0.463135,0.297031,0.506684,0.45106,0.317049,0.35494,0.011738,0.796129,0.196107,0.947603,0.654787,0.73655,0.15068,0.383469,0.216802,0.420639,0.010705,0.007068,0.138162,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0.705882,0,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,?,?,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.681117,0.232787,0,?,?,?,1,0,0,0,?,?,?,?,0.430512,0.006826,0.135832,0.178597,0.338809,0.409209,0.188909,0.224831,0.998165,0.7725,0.11,0.741586,0.968543,0.448844,0.871117,0.638281,0.388182,0.516089,0.999696,0.577504,0.707775,0.649337,0.997469,0.328616,0.707277,0.250752,0.987211,0.773228,0.335471,0.163177,0.657257,0.976445,0.745433,0.305768,0.578606,0.04738,0.325784,0.426331,0.068032,0.165718,0.548147,0.865216,0.963015,0.148214,0.065457,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,0,?,0,1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.12234,0.4,0.156148,?,?,?,1,0,0,0,?,?,?,?,0.769489,0.117948,0.325053,0.171084,0.357603,0.858946,0.455059,0.235831,0.121724,0.757415,0.676662,0.321821,0.268395,0.534764,0.49937,0.840788,0.760034,0.400373,0.441923,0.551809,0.666255,0.429001,0.510831,0.53538,0.221621,0.4454,0.88174,0.136051,0.101397,0.980678,0.656983,0.077319,0.611436,0.166722,0.30417,0.926126,0.016665,0.330477,0.955827,0.151667,0.104678,0.539166,0.169045,0.184378,0.296812,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,1,0,0,0,0,0.928571,0,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.787234,0.590164,0,?,?,?,0,1,0,0,?,?,?,?,0.549124,0.134567,0.473865,0.659008,0.975658,0.40036,0.777718,0.442145,0.487651,0.676234,0.184407,0.874425,0.231203,0.564343,0.575822,0.41763,0.918456,0.348511,0.214552,0.272821,0.634378,0.64479,0.842978,0.671537,0.986009,0.000367,0.1831,0.725485,0.426766,0.609614,0.269801,0.349721,0.43707,0.719378,0.820772,0.224491,0.184905,0.04272,0.210562,0.054861,0.326083,0.591086,0.574248,0.524953,0.733846,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0.823529,0,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.095745,0.4,0,?,?,?,1,0,0,0,?,?,?,?,0.523809,0.370038,0.603768,0.371962,0.136153,0.451523,0.602769,0.276746,0.54289,0.700812,0.866888,0.052467,0.504174,0.091689,0.750561,0.381007,0.150412,0.715,0.89223,0.175527,0.587893,0.905494,0.317559,0.808807,0.873329,0.749673,0.940918,0.023543,0.28247,0.659791,0.884895,0.669219,0.123111,0.516538,0.65969,0.649426,0.51179,0.794069,0.210044,0.296533,0.546129,0.085941,0.146931,0.817337,0.161273,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,0,0.015957,0.4,0,?,?,?,1,0,0,0,?,?,?,?,0.197531,0.931835,0.166623,0.350085,0.109039,0.369199,0.551513,0.221903,0.335397,0.478872,0.068921,0.072539,0.946129,0.660935,0.795056,0.902027,0.138245,0.521984,0.389987,0.501791,0.940665,0.069745,0.325651,0.063327,0.402234,0.250453,0.092966,0.311848,0.849339,0.864498,0.269516,0.42936,0.913443,0.939774,0.115343,0.872497,0.736806,0.529852,0.244334,0.375005,0.066462,0.635571,0.892275,0.953068,0.841996,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,0,1,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.361702,0.399934,0.12541,?,?,?,1,0,0,0,?,?,?,?,0.730571,0.020946,0.052134,0.319853,0.1475,0.661586,0.286481,0.408037,0.431296,0.752603,0.958239,0.350194,0.067037,0.396291,0.317511,0.135145,0.91584,0.726986,0.36035,0.745224,0.315047,0.639962,0.620754,0.798769,0.988386,0.286132,0.502907,0.548156,0.753262,0.849204,0.393275,0.654868,0.728153,0.705026,0.554818,0.917947,0.802658,0.239565,0.412081,0.980832,0.536047,0.37248,0.286077,0.983958,0.397257,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0.361702,0.865574,0,?,?,?,1,0,0,0,0,0,0,1,0.165426,0.306301,0.158303,0.939072,0.085524,0.221705,0.080551,0.522605,0.8605,0.245592,0.370163,0.219394,0.490616,0.965318,0.058497,0.043384,0.48963,0.630305,0.517948,0.852031,0.327398,0.86363,0.472502,0.471608,0.926148,0.256557,0.756478,0.752628,0.8858,0.646647,0.112545,0.09282,0.743618,0.814643,0.371879,0.446554,0.297078,0.613649,0.004854,0.164801,0.836243,0.166191,0.269863,0.178652,0.043055,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,0,?,?,?,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.122074,0.865574,1,0,1,0,1,0,0,0,?,?,?,?,0.497935,0.155373,0.247484,0.24834,0.307688,0.532881,0.91675,0.384339,0.154505,0.464657,0.747078,0.983599,0.052979,0.436404,0.149666,0.765139,0.949076,0.942392,0.888656,0.573959,0.07748,0.61034,0.728435,0.915774,0.22743,0.710494,0.526106,0.641271,0.489675,0.983089,0.976998,0.689139,0.413576,0.316997,0.374366,0.317664,0.703602,0.50475,0.241549,0.36892,0.628414,0.085257,0.535638,0.817601,0.203412,3
?,?,?,?,?,?,?,?,?,?,0,0,0,0,1,0,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.361702,0.983607,0.854508,?,?,?,1,0,0,0,?,?,?,?,0.701652,0.844485,0.699223,0.980066,0.679219,0.344434,0.779518,0.717153,0.361894,0.049465,0.790748,0.224888,0.072105,0.999407,0.646721,0.827014,0.521611,0.452642,0.780315,0.207041,0.479173,0.691955,0.33231,0.121242,0.151107,0.65318,0.145781,0.077054,0.250368,0.715811,0.102775,0.185709,0.125359,0.070014,0.907347,0.77001,0.308925,0.993355,0.080202,0.023971,0.430954,0.133295,0.685043,0.080605,0.614813,2
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,?,?,?,?,?,?,?,?,?,?,0,?,?,?,?,0,0,0,0,1,?,?,?,?,?,?,?,?,?,0,0,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,?,?,0,1,0.655738,0,?,?,?,0,0,1,0,?,?,?,?,0.699896,0.786332,0.750278,0.477614,0.878225,0.256005,0.7167,0.942673,0.318306,0.218198,0.291888,0.509656,0.334772,0.593428,0.463115,0.603732,0.708941,0.224453,0.352611,0.178181,0.89098,0.325673,0.4481,0.037348,0.557979,0.203953,0.575282,0.696081,0.084413,0.063463,0.811806,0.258668,0.72857,0.571394,0.336243,0.336385,0.929307,0.319397,0.843238,0.652702,0.042084,0.367359,0.637507,0.708766,0.121558,U
?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,1,0,0,0,0,0,0,0,0,?,0,1,0,0,0,0,1,0,0,0,0,?,?,?,?,0,0,1,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1,0.015957,0.865574,0.156148,0,1,0,1,0,0,0,?,?,?,?,0.578475,0.986626,0.56167,0.766434,0.749932,0.296744,0.812003,0.517382,0.794431,0.810099,0.983795,0.074515,0.427464,0.103114,0.672489,0.247412,0.371978,0.365612,0.056308,0.29819,0.734007,0.847841,0.157003,0.706679,0.812127,0.53617,0.662033,0.570329,0.702648,0.583693,0.801441,0.792514,0.473585,0.487754,0.105679,0.725564,0.185323,0.816009,0.797417,0.291343,0.634542,0.435952,0.090857,0.802348,0.39034,3
