@relation Glass-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute Type {'build wind float','build wind non-float','vehic wind float','vehic wind non-float',containers,tableware,headlamps}

@data
0.224759,0.341353,0.797327,0.389408,0.539286,0.225926,0.242565,0,0,0.428978,0.135953,0.44703,0.956989,0.25982,'build wind non-float'
0.440737,0.336842,0.073497,0.380062,0.639286,0.048148,0.542751,0,0.756757,0.611136,0.251536,0.61423,0.076194,0.535654,containers
0.208516,0.377444,0.743875,0.367601,0.5875,0.144444,0.259294,0,0,0.800259,0.828644,0.69513,0.708043,0.28525,'build wind non-float'
0.308604,0.449624,0,0.084112,0.828571,0,0.516729,0,0,0.383156,0.023528,0.404438,0.296555,0.839296,'build wind non-float'
0.199298,0.377444,0.777283,0.367601,0.614286,0.140741,0.241636,0,0,0.462255,0.532004,0.111452,0.220065,0.590517,'build wind non-float'
0.278753,0.314286,0.790646,0.373832,0.525,0.2,0.287175,0,0.513514,0.178537,0.864823,0.366268,0.494819,0.971921,'build wind float'
0.418349,0.42406,0.465479,0.429907,0.423214,0.196296,0.384758,0.085714,0.459459,0.935145,0.360685,0.846762,0.108867,0.234091,'build wind non-float'
0.277436,0.317293,0.77951,0.264798,0.617857,0.207407,0.289963,0,0,0.397454,0.69022,0.378338,0.246997,0.005796,'build wind float'
0.397278,0.488722,0.300668,0.417445,0.348214,0.144444,0.476766,0,0.486486,0.067363,0.323655,0.654341,0.733725,0.731183,'build wind non-float'
0.318701,0.330827,0.832962,0.255452,0.441071,0.237037,0.328067,0,0.594595,0.722001,0.668671,0.439798,0.419234,0.631158,'build wind non-float'
0.236172,0.183459,0,0.280374,0.958929,1,0.325279,0,0,0.052112,0.757117,0.466957,0.112529,0.304754,headlamps
0.235733,0.425564,0.7951,0.367601,0.471429,0.237037,0.23513,0,0,0.307364,0.173695,0.819289,0.123595,0.310277,'build wind non-float'
0.220808,0.421053,0.790646,0.389408,0.567857,0.144444,0.218401,0,0,0.524106,0.279983,0.391023,0.414593,0.432354,'build wind float'
0.28446,0.282707,0.799555,0.317757,0.621429,0.214815,0.285316,0,0,0.158376,0.144286,0.588122,0.175406,0.464364,'build wind float'
0.303336,0.341353,0.846325,0.246106,0.582143,0.207407,0.274164,0,0.324324,0.468341,0.705013,0.841372,0.909622,0.395107,'build wind non-float'
0.346795,0.431579,0.806236,0.255452,0.505357,0.051852,0.30948,0,0,0.902977,0.223191,0.245688,0.378322,0.420838,'build wind float'
0.223881,0.395489,0.797327,0.373832,0.519643,0.166667,0.258364,0,0,0.945884,0.993989,0.873522,0.58844,0.058766,'build wind non-float'
0.240562,0.330827,0.788419,0.41433,0.5625,0.237037,0.241636,0,0.567568,0.672576,0.144294,0.802952,0.134243,0.959596,'build wind non-float'
0.291484,0.372932,0.755011,0.323988,0.526786,0.218519,0.29368,0,0,0.296328,0.469357,0.4139,0.757232,0.519776,'build wind float'
0.268657,0.596992,0,0.638629,0.619643,0,0.327138,0.209524,0,0.519519,0.39161,0.302833,0.389533,0.86225,headlamps
0.277875,0.320301,0.792873,0.305296,0.607143,0.2,0.274164,0,0.459459,0.22837,0.670689,0.804851,0.497212,0.591354,'build wind float'
0.298946,0.416541,0.74833,0.417445,0.380357,0.211111,0.314126,0,0.243243,0.311178,0.521033,0.313634,0.705522,0.548831,'vehic wind float'
0.280509,0.4,0.815145,0.280374,0.532143,0.211111,0.263941,0,0.297297,0.290521,0.94563,0.898817,0.37122,0.46088,'build wind float'
0.220808,0.342857,0.77951,0.370717,0.55,0.222222,0.25,0,0,0.546641,0.11031,0.813351,0.964733,0.484183,'build wind non-float'
0.208516,0.314286,0.783964,0.501558,0.544643,0.255556,0.236059,0,0,0.620223,0.706057,0.398642,0.433992,0.561192,'build wind non-float'
0.482002,0.523308,0.85078,0.056075,0.35,0.040741,0.384758,0,0,0.14422,0.73593,0.109073,0.594671,0.743269,'build wind float'
0.432836,0.437594,1,0.252336,0.351786,0.022222,0.30855,0,0,0.614341,0.265849,0.55824,0.890418,0.621231,'build wind float'
0.287094,0.439098,0.815145,0.255452,0.528571,0.040741,0.29461,0,0,0.185217,0.83679,0.918087,0.174329,0.774206,'vehic wind float'
0.474539,0.545865,0.857461,0.186916,0.276786,0.055556,0.345725,0,0,0.525487,0.952357,0.054962,0.463444,0.617794,'build wind float'
0.279192,0.312782,0.7951,0.330218,0.573214,0.22963,0.29368,0,0,0.501544,0.748069,0.527297,0.366155,0.713397,'build wind float'
0.455224,0.348872,0.812918,0.180685,0.448214,0.07037,0.410781,0,0.459459,0.760792,0.285708,0.412739,0.138366,0.577829,'build wind float'
0.261633,0.526316,0,0.557632,0.633929,0,0.296468,0.530159,0,0.132366,0.525037,0.487651,0.535201,0.453094,headlamps
0.286655,0.288722,0.792873,0.314642,0.583929,0.225926,0.302974,0,0.378378,0.402207,0.124979,0.899994,0.791742,0.782843,'build wind float'
0.290167,0.421053,0.759465,0.383178,0.398214,0.214815,0.312268,0,0,0.209027,0.641229,0.673453,0.440175,0.29286,'vehic wind float'
0.260755,0.341353,0.772829,0.46729,0.519643,0.244444,0.255576,0,0,0.755326,0.855688,0.220361,0.78027,0.322755,'build wind non-float'
0.294557,0.300752,0.76392,0.280374,0.560714,0.22963,0.30948,0,0.810811,0.059939,0.970111,0.716284,0.536563,0.318295,'build wind float'
0.486392,0.372932,0.839644,0.155763,0.389286,0.048148,0.42658,0,0,0.407932,0.6467,0.445185,0.737661,0.320281,'build wind float'
0.482002,0.523308,0.85078,0.056075,0.35,0.040741,0.384758,0,0,0.95021,0.14102,0.924052,0.763715,0.429107,'build wind float'
0.080773,0.55188,0.387528,0.389408,0.846429,0,0.200743,0,0,0.696442,0.135453,0.657915,0.126186,0.69905,tableware
0.480685,0.451128,0.855234,0.133956,0.348214,0.062963,0.400558,0,0,0.217574,0.911482,0.322396,0.005442,0.110976,'build wind float'
0.284899,0.338346,0.788419,0.286604,0.569643,0.240741,0.288104,0,0,0.76015,0.347372,0.360803,0.925487,0.564824,'build wind float'
0.251975,0.291729,0.641425,0.442368,0.607143,0.27037,0.289033,0,0,0.860301,0.397406,0.553648,0.542408,0.929003,'build wind non-float'
0.23705,0.303759,0.634744,0.358255,0.617857,0.211111,0.312268,0.034921,0.594595,0.647456,0.348519,0.268275,0.766016,0.090933,'build wind non-float'
0.729587,0.287218,0,0.11838,0.394643,0.022222,0.833643,0,0,0.238475,0.143959,0.074047,0.845268,0.272891,'build wind non-float'
0.280948,0.297744,0.761693,0.283489,0.605357,0.218519,0.298327,0,0,0.628335,0.840362,0.12929,0.770551,0.993374,'build wind float'
0.272169,0.344361,0.788419,0.436137,0.521429,0.2,0.27974,0,0.189189,0.222192,0.162746,0.579675,0.59651,0.954011,'build wind float'
0.249342,0.57594,0,0.52648,0.621429,0,0.287175,0.498413,0.189189,0.882162,0.293159,0.398589,0.937708,0.010743,headlamps
0.218613,0.473684,0.396437,0.46729,0.5875,0,0.301115,0.24127,0,0.25437,0.280516,0.43288,0.24843,0.83138,headlamps
0.220369,0.634586,0,0.616822,0.623214,0,0.304833,0.212698,0,0.754174,0.081624,0.145586,0.559688,0.297395,headlamps
0.444249,0.53985,0.868597,0.168224,0.301786,0,0.377323,0,0,0.678114,0.781685,0.262001,0.112232,0.107273,'vehic wind float'
0.23705,0.403008,0.755011,0.308411,0.505357,0.192593,0.299257,0,0,0.507619,0.62568,0.546656,0.527128,0.839202,'vehic wind float'
0.373573,0.607519,0.835189,0,0.394643,0.011111,0.331784,0,0,0.73572,0.23809,0.966427,0.582285,0.304133,'build wind float'
0.287094,0.258647,0.603563,0.311526,0.694643,0.207407,0.337361,0,0.648649,0.907661,0.583121,0.664611,0.441576,0.219236,'build wind float'
0.23266,0.401504,0.777283,0.383178,0.507143,0.248148,0.246283,0,0.27027,0.695718,0.226517,0.31581,0.798976,0.123839,'build wind non-float'
0.320018,0.378947,0.837416,0.320872,0.4625,0.214815,0.277881,0,0,0.539034,0.413669,0.256373,0.87639,0.621146,'build wind non-float'
0.260316,0.449624,0.819599,0.47352,0.401786,0.237037,0.227695,0,0,0.064035,0.975435,0.816424,0.778008,0.449927,'build wind non-float'
0.300702,0.44812,0.875278,0.389408,0.357143,0.2,0.258364,0,0.405405,0.729155,0.999375,0.860322,0.435883,0.451506,'build wind non-float'
0.297629,0.372932,0.775056,0.34891,0.505357,0.218519,0.27881,0,0,0.13383,0.760379,0.799778,0.733499,0.125516,'build wind float'
0.882353,0,0,0.563863,0,0.214815,0.731413,1,0.756757,0.584733,0.719474,0.958032,0.137015,0.495607,'build wind non-float'
0.351185,0.300752,0.412027,0.489097,0.514286,0.222222,0.433086,0,0,0.715222,0.501376,0.929695,0.212788,0.907341,containers
0.550483,0.407519,0,0.401869,0.430357,0.118519,0.6329,0,0,0.481091,0.334246,0.156303,0.14533,0.965973,containers
0.568481,0.466165,0.64588,0.274143,0.239286,0.02963,0.498141,0,0,0.640829,0.690415,0.82604,0.473804,0.133216,'build wind non-float'
0.70676,0.461654,0.701559,0.115265,0.135714,0.02963,0.577138,0,0,0.413468,0.018175,0.93539,0.745076,0.047139,'build wind non-float'
0.32309,0.371429,0.808463,0.242991,0.539286,0.211111,0.276952,0.028571,0.459459,0.086247,0.692309,0.958394,0.768252,0.260568,'build wind non-float'
0.182616,0.548872,0,0.738318,0.5875,0.014815,0.339219,0.203175,0,0.73796,0.824607,0.914584,0.21122,0.737116,headlamps
0.295874,0.369925,0.868597,0.314642,0.45,0.203704,0.27974,0,0.756757,0.287516,0.084274,0.704291,0.358564,0.042424,'build wind non-float'
0.209833,0.354887,0.799555,0.383178,0.5875,0.248148,0.223048,0,0,0.821824,0.079453,0.918796,0.717603,0.604546,'build wind non-float'
0.343723,0.428571,0.746102,0.292835,0.405357,0.218519,0.32342,0,0,0.431913,0.009559,0.717798,0.971655,0.849711,'build wind float'
0.209833,0.378947,0.768374,0.35514,0.6,0.225926,0.225836,0,0,0.079273,0.648419,0.52739,0.690705,0.955331,'build wind non-float'
0.31475,0.390977,0.743875,0.389408,0.416071,0.207407,0.330855,0,0,0.286577,0.265614,0.879424,0.27213,0.561315,'vehic wind float'
0.283582,0.475188,0.801782,0.333333,0.521429,0.177778,0.223048,0,0,0.396217,0.549228,0.65232,0.872798,0.283673,'build wind float'
0.213784,0.619549,0,0.65109,0.619643,0,0.30948,0.203175,0.243243,0.094418,0.790198,0.852577,0.881242,0.702569,headlamps
0.21115,0.344361,0.792873,0.389408,0.589286,0.266667,0.229554,0,0,0.417621,0.976748,0.945799,0.452976,0.485921,'build wind non-float'
0.359526,0.437594,0.788419,0.143302,0.507143,0.059259,0.321561,0.047619,0.648649,0.882147,0.377969,0.050434,0.550695,0.686254,'vehic wind float'
0.175154,0.493233,0.596882,1,0.014286,0.622222,0.040892,0.698413,0,0.972029,0.854642,0.162688,0.761211,0.37267,containers
0.464004,0.418045,0.859688,0.183801,0.353571,0.085185,0.38197,0,0.297297,0.205411,0.399209,0.906388,0.663311,0.305699,'build wind float'
0.28007,0.276692,0.772829,0.339564,0.639286,0.222222,0.289963,0,0.162162,0.692587,0.542628,0.69977,0.391763,0.52239,'build wind float'
0.441615,0.496241,0.837416,0.090343,0.353571,0.040741,0.392193,0,0,0.50571,0.311195,0.167881,0.131942,0.145874,'vehic wind float'
0.25417,0.320301,0.797327,0.317757,0.5,0.225926,0.312268,0,0,0.831642,0.224887,0.368981,0.060831,0.491176,'vehic wind float'
0.175154,0.619549,0,0.663551,0.698214,0,0.275093,0.177778,0,0.318568,0.176373,0.314837,0.625912,0.554644,headlamps
0.385865,0.381955,0,0.457944,0.575,0.174074,0.547398,0,0,0.29111,0.834201,0.515781,0.733011,0.106183,containers
0.217296,0.404511,0.757238,0.28972,0.514286,0.218519,0.268587,0,0,0.088499,0.820833,0.59803,0.508508,0.882604,'vehic wind float'
0.344601,0.415038,0.775056,0.330218,0.382143,0.203704,0.331784,0,0,0.953664,0.570592,0.114407,0.436131,0.819087,'build wind float'
0.321335,0.356391,0.884187,0.280374,0.469643,0.222222,0.27881,0,0,0.990317,0.788007,0.948325,0.822731,0.126503,'build wind non-float'
0.208077,0.323308,0.76392,0.345794,0.619643,0.255556,0.243494,0,0.648649,0.716092,0.23543,0.721317,0.97923,0.439922,'build wind float'
0.043898,0.33985,0.772829,0.258567,0.566071,0.22963,0.271375,0,0.837838,0.995753,0.738156,0.613851,0.53485,0.059462,'build wind float'
0.37489,0.287218,0,0.423676,0.703571,0.140741,0.566914,0,0,0.927386,0.695913,0.675136,0.389403,0.586107,containers
0.225637,0.297744,0.741648,0.373832,0.619643,0.248148,0.261152,0,0,0.167132,0.301713,0.718942,0.220606,0.702633,'build wind non-float'
0.239245,0.33985,0.708241,0.292835,0.564286,0.214815,0.314126,0,0.648649,0.717365,0.9347,0.739698,0.076031,0.70728,'build wind non-float'
0.320896,0.403008,0.86637,0.323988,0.458929,0.188889,0.26487,0,0,0.40465,0.767229,0.526397,0.657619,0.280152,'build wind non-float'
0.23266,0.633083,0,0.492212,0.589286,0,0.301115,0.438095,0,0.479532,0.830183,0.306012,0.442322,0.940043,headlamps
0.464004,0.413534,0.832962,0.190031,0.392857,0.066667,0.388476,0,0.189189,0.359889,0.041533,0.434568,0.835233,0.935039,'build wind float'
0.209394,0.320301,0.783964,0.570093,0.508929,0.255556,0.236059,0,0,0.322802,0.200001,0.124256,0.211508,0.430063,'build wind non-float'
0.193591,0.47218,0,0.700935,0.610714,0.051852,0.369888,0.257143,0.027027,0.085403,0.495268,0.20462,0.691395,0.69191,headlamps
0.316945,0.362406,0.632517,0.308411,0.542857,0.203704,0.33829,0,0,0.924598,0.759902,0.41915,0.076467,0.269787,'build wind float'
0.297629,0.309774,0.77951,0.258567,0.575,0.237037,0.310409,0,0,0.989118,0.05142,0.533492,0.18203,0.797134,'build wind float'
