@relation iris-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.305556,0.583333,0.118644,0.041667,0.135034,0.918198,Iris-setosa
0.194444,0.625,0.101695,0.208333,0.464735,0.035729,Iris-setosa
0.611111,0.5,0.694915,0.791667,0.438137,0.26165,Iris-virginica
0.722222,0.458333,0.745763,0.833333,0.733909,0.924014,Iris-virginica
0.722222,0.5,0.79661,0.916667,0.137268,0.14523,Iris-virginica
0.666667,0.458333,0.576271,0.541667,0.954869,0.623096,Iris-versicolor
0.611111,0.416667,0.813559,0.875,0.896507,0.474951,Iris-virginica
0.944444,0.25,1,0.916667,0.330837,0.095589,Iris-virginica
0.222222,0.75,0.152542,0.125,0.183134,0.250228,Iris-setosa
0.361111,0.416667,0.59322,0.583333,0.481141,0.150188,Iris-versicolor
0.583333,0.291667,0.728814,0.75,0.628408,0.178671,Iris-virginica
0.555556,0.583333,0.779661,0.958333,0.929231,0.337937,Iris-virginica
0.222222,0.75,0.101695,0.041667,0.069672,0.671245,Iris-setosa
0.5,0.333333,0.508475,0.5,0.117571,0.620176,Iris-versicolor
0.5,0.416667,0.610169,0.541667,0.911417,0.960629,Iris-versicolor
0.75,0.5,0.627119,0.541667,0.312102,0.022184,Iris-versicolor
0.444444,0.416667,0.542373,0.583333,0.86964,0.942043,Iris-versicolor
0.555556,0.333333,0.694915,0.583333,0.763872,0.796119,Iris-virginica
0.583333,0.333333,0.779661,0.833333,0.996881,0.348514,Iris-virginica
0.916667,0.416667,0.949153,0.833333,0.406542,0.582653,Iris-virginica
0.555556,0.291667,0.661017,0.708333,0.124565,0.041503,Iris-virginica
0.138889,0.416667,0.067797,0,0.185868,0.682785,Iris-setosa
0.083333,0.5,0.067797,0.041667,0.504777,0.52298,Iris-setosa
0.361111,0.291667,0.542373,0.5,0.840897,0.829647,Iris-versicolor
0.5,0.375,0.627119,0.541667,0.485369,0.256534,Iris-versicolor
0.166667,0.458333,0.084746,0,0.586489,0.784648,Iris-setosa
0.388889,0.375,0.542373,0.5,0.510295,0.022741,Iris-versicolor
0.638889,0.416667,0.576271,0.541667,0.682908,0.673177,Iris-versicolor
0.222222,0.625,0.067797,0.041667,0.60134,0.327996,Iris-setosa
0.805556,0.416667,0.813559,0.625,0.320627,0.222103,Iris-virginica
0.472222,0.375,0.59322,0.583333,0.747898,0.836209,Iris-versicolor
0.611111,0.333333,0.610169,0.583333,0.597098,0.964671,Iris-versicolor
0.361111,0.333333,0.661017,0.791667,0.308238,0.899178,Iris-virginica
0.083333,0.458333,0.084746,0.041667,0.617136,0.037932,Iris-setosa
0.416667,0.25,0.508475,0.458333,0.60867,0.524194,Iris-versicolor
0.694444,0.333333,0.644068,0.541667,0.909703,0.413696,Iris-versicolor
1,0.75,0.915254,0.791667,0.416323,0.536349,Iris-virginica
0.722222,0.458333,0.661017,0.583333,0.421249,0.276039,Iris-versicolor
0.388889,0.333333,0.59322,0.5,0.856711,0.268201,Iris-versicolor
0.805556,0.666667,0.864407,1,0.319403,0.786727,Iris-virginica
0.194444,0.125,0.389831,0.375,0.649065,0.840941,Iris-versicolor
0.583333,0.458333,0.762712,0.708333,0.720701,0.664504,Iris-virginica
0.666667,0.208333,0.813559,0.708333,0.24037,0.988857,Iris-virginica
0.222222,0.708333,0.084746,0.125,0.242151,0.844983,Iris-setosa
0.555556,0.375,0.779661,0.708333,0.533346,0.422857,Iris-virginica
0.527778,0.083333,0.59322,0.583333,0.968838,0.984971,Iris-versicolor
0.222222,0.541667,0.118644,0.166667,0.424098,0.929005,Iris-setosa
0.694444,0.416667,0.762712,0.833333,0.028386,0.728376,Iris-virginica
0.194444,0.583333,0.101695,0.125,0.29191,0.75447,Iris-setosa
0.222222,0.75,0.084746,0.083333,0.467994,0.460407,Iris-setosa
0.5,0.416667,0.661017,0.708333,0.916697,0.345979,Iris-virginica
0.638889,0.375,0.610169,0.5,0.540888,0.742596,Iris-versicolor
0.666667,0.541667,0.79661,0.833333,0.038853,0.17482,Iris-virginica
0.166667,0.458333,0.084746,0,0.826407,0.743268,Iris-setosa
0.083333,0.666667,0,0.041667,0.921753,0.207613,Iris-setosa
0.666667,0.541667,0.79661,1,0.831584,0.756359,Iris-virginica
0.361111,0.208333,0.491525,0.416667,0.828942,0.563557,Iris-versicolor
0.805556,0.5,0.847458,0.708333,0.851972,0.336098,Iris-virginica
0.666667,0.416667,0.711864,0.916667,0.286022,0.036495,Iris-virginica
0.305556,0.708333,0.084746,0.041667,0.905566,0.665862,Iris-setosa
0.944444,0.75,0.966102,0.875,0.361527,0.454149,Iris-virginica
0.194444,0.583333,0.084746,0.041667,0.496103,0.526589,Iris-setosa
0.333333,0.208333,0.508475,0.5,0.971574,0.297013,Iris-versicolor
0.166667,0.208333,0.59322,0.666667,0.81061,0.633464,Iris-virginica
0.361111,0.416667,0.525424,0.5,0.389843,0.605893,Iris-versicolor
0.194444,0.541667,0.067797,0.041667,0.710981,0.169145,Iris-setosa
0.527778,0.333333,0.644068,0.708333,0.727442,0.969718,Iris-virginica
0.472222,0.083333,0.508475,0.375,0.540482,0.057635,Iris-versicolor
0.166667,0.166667,0.389831,0.375,0.136467,0.304259,Iris-versicolor
0.527778,0.583333,0.745763,0.916667,0.333479,0.894966,Iris-virginica
0.305556,0.416667,0.59322,0.583333,0.88659,0.207527,Iris-versicolor
0.527778,0.375,0.559322,0.5,0.4903,0.481186,Iris-versicolor
0.333333,0.25,0.576271,0.458333,0.265737,0.909098,Iris-versicolor
0.027778,0.375,0.067797,0.041667,0.35904,0.582697,Iris-setosa
0.611111,0.416667,0.711864,0.791667,0.463966,0.218317,Iris-virginica
0.416667,0.291667,0.491525,0.458333,0.452244,0.894842,Iris-versicolor
0.166667,0.458333,0.084746,0,0.213878,0.420242,Iris-setosa
0.416667,0.291667,0.694915,0.75,0.218785,0.171666,Iris-virginica
0.361111,0.375,0.440678,0.5,0.981413,0.768424,Iris-versicolor
0.194444,0,0.423729,0.375,0.389891,0.143153,Iris-versicolor
0.25,0.875,0.084746,0,0.927654,0.080035,Iris-setosa
0.111111,0.5,0.050847,0.041667,0.923147,0.149741,Iris-setosa
0.861111,0.333333,0.864407,0.75,0.695242,0.951577,Iris-virginica
0.305556,0.791667,0.050847,0.125,0.479458,0.389807,Iris-setosa
0.222222,0.625,0.067797,0.083333,0.312299,0.282317,Iris-setosa
