@relation vote-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute handicapped-infants=y numeric
@attribute water-project-cost-sharing=y numeric
@attribute adoption-of-the-budget-resolution=y numeric
@attribute physician-fee-freeze=y numeric
@attribute el-salvador-aid=y numeric
@attribute religious-groups-in-schools=y numeric
@attribute anti-satellite-test-ban=y numeric
@attribute aid-to-nicaraguan-contras=y numeric
@attribute mx-missile=y numeric
@attribute immigration=y numeric
@attribute synfuels-corporation-cutback=y numeric
@attribute education-spending=y numeric
@attribute superfund-right-to-sue=y numeric
@attribute crime=y numeric
@attribute duty-free-exports=y numeric
@attribute export-administration-act-south-africa=y numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute Class {democrat,republican}

@data
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.09095,0.757021,0.761225,0.198526,0.191703,0.572951,0.639939,0.506903,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.916902,0.293105,0.596648,0.497778,0.490566,0.204722,0.130683,0.050942,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.232034,0.830058,0.765592,0.807098,0.734442,0.638669,0.40941,0.974592,democrat
1,0,1,0,0,0,1,1,1,0,0,0,1,0,1,?,0.521031,0.779441,0.344302,0.949125,0.190626,0.323043,0.577748,0.95275,democrat
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.54174,0.010533,0.185661,0.663503,0.979211,0.292728,0.210822,0.505528,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.263908,0.184257,0.297551,0.428405,0.755569,0.637793,0.001332,0.347468,republican
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.772589,0.684108,0.407554,0.733544,0.753979,0.106136,0.642703,0.131585,republican
0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.780732,0.007335,0.04603,0.855435,0.211938,0.078498,0.658351,0.014031,democrat
1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.645499,0.729678,0.729587,0.435706,0.444668,0.404144,0.13407,0.715157,democrat
0,1,0,1,0,1,1,1,1,0,1,0,1,0,1,?,0.032837,0.40693,0.076996,0.41322,0.089376,0.835472,0.560604,0.00276,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.624834,0.026606,0.939566,0.110802,0.288767,0.049847,0.243409,0.773281,republican
1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0.514392,0.873014,0.878016,0.527355,0.833377,0.496935,0.986645,0.15676,democrat
0,1,1,0,0,1,1,1,?,1,0,0,0,0,0,1,0.181747,0.918984,0.567875,0.13613,0.532221,0.559816,0.008438,0.321299,democrat
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.197372,0.107561,0.965444,0.739955,0.331319,0.76816,0.29443,0.902845,republican
1,1,1,0,0,0,1,1,1,0,1,?,0,0,0,1,0.04579,0.136929,0.316339,0.184177,0.949604,0.051753,0.846652,0.236046,democrat
1,?,1,0,?,?,1,1,1,0,0,0,0,0,1,?,0.714823,0.611853,0.338671,0.978123,0.051772,0.272645,0.534759,0.811989,democrat
1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0.944822,0.674912,0.162864,0.125843,0.227572,0.524196,0.506645,0.638571,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,0.282395,0.480824,0.860165,0.716935,0.297097,0.93533,0.365484,0.429316,democrat
1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0.333178,0.127114,0.641868,0.078204,0.711595,0.968235,0.570215,0.79639,democrat
0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0.858165,0.904435,0.061283,0.536975,0.069321,0.447833,0.76651,0.873618,republican
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.608141,0.979811,0.800486,0.096802,0.01598,0.81127,0.005255,0.045269,republican
0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0.040741,0.876076,0.873873,0.576388,0.049288,0.315723,0.055571,0.706401,democrat
0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0.314675,0.360803,0.330559,0.012469,0.997161,0.192801,0.269417,0.230537,democrat
1,?,1,0,0,0,1,1,1,0,0,?,0,0,1,1,0.20564,0.608001,0.787649,0.377467,0.189102,0.987822,0.704788,0.570467,democrat
0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0.838456,0.745856,0.376405,0.912676,0.590279,0.572246,0.464563,0.167937,republican
0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0.379958,0.1538,0.933356,0.627774,0.417848,0.567542,0.458009,0.098028,democrat
1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0.087172,0.122192,0.518366,0.767427,0.009045,0.168787,0.041996,0.623995,republican
1,1,1,0,0,0,1,1,?,0,1,0,0,0,1,?,0.355311,0.73789,0.591707,0.295791,0.960583,0.606246,0.248933,0.588345,democrat
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.660113,0.108997,0.432147,0.699665,0.808876,0.733255,0.558473,0.315939,republican
1,1,0,0,1,?,0,0,0,0,1,0,1,1,0,1,0.539066,0.292052,0.628111,0.6611,0.770629,0.478649,0.420009,0.954903,democrat
1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0.006035,0.534971,0.723922,0.400228,0.313322,0.152043,0.982995,0.431127,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.043843,0.698987,0.353171,0.7391,0.575125,0.840242,0.742123,0.44212,republican
1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,?,0.069311,0.972901,0.441234,0.18732,0.903764,0.383046,0.054385,0.166028,democrat
0,?,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.515312,0.242908,0.308976,0.600245,0.03388,0.666756,0.73506,0.611576,republican
1,?,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0.924358,0.731273,0.75967,0.21053,0.672404,0.223639,0.189642,0.784719,democrat
?,?,1,0,0,0,1,1,?,0,?,?,?,?,?,?,0.198256,0.767166,0.481162,0.083825,0.511492,0.375649,0.788754,0.09779,democrat
0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0.898354,0.802904,0.345316,0.299365,0.938528,0.410679,0.443076,0.69692,democrat
1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0.740929,0.038904,0.436764,0.406273,0.962757,0.529627,0.585312,0.633512,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0.682224,0.270618,0.892999,0.956327,0.128052,0.552549,0.016232,0.055555,democrat
0,1,0,1,1,1,0,0,0,0,0,?,1,1,0,0,0.237685,0.82074,0.887841,0.163998,0.431359,0.6222,0.321825,0.844555,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.929917,0.669947,0.340303,0.994516,0.516354,0.393221,0.818583,0.373856,democrat
1,1,1,0,0,0,1,1,1,0,0,0,?,?,1,1,0.009895,0.149487,0.180892,0.230761,0.661833,0.445266,0.233958,0.314159,democrat
0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0.845961,0.80886,0.257375,0.319763,0.334379,0.908357,0.579015,0.661983,republican
1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,?,0.625139,0.321901,0.212042,0.04957,0.324822,0.538724,0.92032,0.416883,democrat
0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0.261297,0.54453,0.9125,0.357299,0.738035,0.733441,0.008086,0.583184,republican
1,1,1,0,?,0,1,1,1,1,0,0,0,0,1,?,0.654688,0.087459,0.268019,0.819116,0.355602,0.22212,0.967617,0.422025,democrat
1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0.697401,0.017129,0.513474,0.622953,0.140862,0.423943,0.511072,0.129486,republican
1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0.669257,0.54817,0.292906,0.074733,0.9059,0.708331,0.376588,0.366584,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.918676,0.840652,0.124738,0.938878,0.409983,0.047509,0.95179,0.316917,democrat
1,1,1,?,0,1,1,1,1,0,1,0,1,0,?,1,0.973048,0.265418,0.080676,0.163894,0.408987,0.799267,0.288717,0.197741,democrat
1,0,0,1,1,1,0,0,0,1,0,?,1,1,0,0,0.473139,0.750778,0.760315,0.79381,0.425345,0.608187,0.967203,0.400254,republican
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.576067,0.073837,0.893511,0.116238,0.258049,0.663617,0.513731,0.684879,republican
0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,?,0.721375,0.209757,0.152509,0.347865,0.50223,0.802685,0.332808,0.107312,democrat
0,?,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.90473,0.102211,0.005897,0.408124,0.597851,0.196616,0.357877,0.601134,republican
?,?,?,0,0,0,1,1,1,1,0,0,1,0,1,1,0.853787,0.46833,0.696395,0.581855,0.177053,0.608656,0.878806,0.392754,democrat
0,0,1,0,0,0,1,1,1,1,1,0,?,0,1,?,0.750743,0.501412,0.674508,0.121719,0.729667,0.461854,0.252982,0.674472,democrat
1,0,1,0,0,1,0,1,?,1,1,1,?,0,0,1,0.396113,0.584681,0.070093,0.091148,0.856441,0.205018,0.457047,0.211439,democrat
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.958266,0.379371,0.033858,0.998622,0.629504,0.715102,0.686292,0.8083,democrat
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0.703236,0.900421,0.030816,0.024047,0.829594,0.724305,0.458764,0.811298,democrat
0,1,0,1,1,1,0,0,0,0,1,?,1,1,?,?,0.349362,0.443067,0.417752,0.88801,0.0796,0.510185,0.931092,0.071615,republican
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,?,0.941266,0.473598,0.886701,0.664709,0.143923,0.337044,0.383085,0.045746,republican
1,?,1,0,0,0,1,1,1,0,?,0,0,0,1,?,0.38772,0.847568,0.606502,0.08932,0.913208,0.386877,0.078112,0.958671,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.057911,0.968746,0.144425,0.160595,0.843972,0.168171,0.956324,0.205617,republican
1,0,1,0,0,0,1,1,?,0,1,0,0,0,1,1,0.080664,0.752081,0.499935,0.089466,0.872654,0.640824,0.867709,0.418187,democrat
1,1,1,0,0,0,1,1,0,1,1,0,0,?,1,1,0.241123,0.50396,0.832598,0.894443,0.073625,0.545474,0.302058,0.870638,democrat
0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0.619446,0.083052,0.716177,0.194579,0.580687,0.675511,0.82283,0.152085,democrat
0,1,1,1,1,1,1,?,0,0,0,0,?,?,1,?,0.36603,0.955005,0.00094,0.000785,0.541589,0.080067,0.661981,0.280428,republican
1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0.257809,0.004286,0.616219,0.556285,0.125099,0.436247,0.182763,0.683756,republican
1,?,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.930145,0.21645,0.89524,0.526981,0.850157,0.078897,0.167543,0.725037,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.928848,0.594101,0.254268,0.092512,0.756636,0.426186,0.13766,0.695859,republican
0,0,0,1,1,1,0,0,0,1,?,1,1,1,0,1,0.976861,0.919847,0.30809,0.738797,0.187258,0.789279,0.162364,0.455006,republican
1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0.100134,0.229515,0.75387,0.802827,0.20018,0.804386,0.863849,0.137653,democrat
1,0,0,0,1,1,?,0,?,0,0,0,0,1,?,0,0.507223,0.108922,0.605408,0.070506,0.881787,0.975469,0.575438,0.610963,democrat
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.367137,0.177462,0.609828,0.978305,0.079226,0.065888,0.859922,0.601857,republican
0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.879982,0.371816,0.928739,0.219525,0.322209,0.32726,0.845111,0.672753,democrat
0,?,0,1,1,1,0,0,0,0,0,1,1,1,0,?,0.284912,0.893042,0.415887,0.805933,0.953622,0.803831,0.083608,0.471043,republican
0,1,0,1,1,1,?,0,0,0,0,?,1,1,0,0,0.699933,0.930346,0.073337,0.885579,0.738456,0.200614,0.893846,0.928096,republican
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0.938086,0.524799,0.518213,0.867538,0.470612,0.053604,0.389424,0.333562,democrat
0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0.694534,0.186298,0.542028,0.654399,0.347096,0.190326,0.653762,0.460772,democrat
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0.749107,0.127032,0.09464,0.03325,0.12914,0.719018,0.767112,0.168995,republican
0,1,1,0,0,0,1,1,?,1,0,0,1,0,1,1,0.0788,0.224757,0.274855,0.525954,0.359784,0.034715,0.64296,0.15835,democrat
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.024791,0.079138,0.159714,0.2495,0.157445,0.58052,0.880848,0.803145,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.908487,0.774462,0.554502,0.587205,0.355004,0.352351,0.092632,0.239432,democrat
0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,?,0.741137,0.211984,0.9955,0.721544,0.003943,0.385429,0.409244,0.13255,democrat
0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0.921549,0.125197,0.587507,0.329402,0.513076,0.71081,0.124943,0.800443,republican
1,0,1,0,0,0,?,1,1,?,0,0,0,0,1,?,0.06643,0.141312,0.508188,0.990517,0.941375,0.520213,0.686126,0.618535,democrat
0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0.367887,0.50221,0.261245,0.109903,0.21446,0.527462,0.481703,0.881941,democrat
1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0.122626,0.308176,0.010469,0.405027,0.28425,0.764786,0.142086,0.550793,democrat
0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0.327367,0.397664,0.576698,0.25853,0.501331,0.302289,0.303812,0.554467,republican
0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,?,0.485015,0.226407,0.929695,0.487267,0.719561,0.628847,0.04683,0.580492,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.016125,0.359121,0.257009,0.328451,0.902439,0.682735,0.461497,0.523918,democrat
0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0.920167,0.437112,0.94182,0.693674,0.250787,0.770244,0.052295,0.022924,republican
1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0.581157,0.735053,0.031815,0.9916,0.121251,0.860588,0.935319,0.756459,democrat
1,1,1,0,0,1,1,1,?,1,1,?,0,0,1,?,0.862157,0.670206,0.031126,0.070102,0.255176,0.99537,0.036552,0.429675,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.883185,0.877392,0.097356,0.078622,0.087372,0.800892,0.747968,0.62296,republican
1,1,1,0,1,1,0,0,0,0,1,?,1,1,1,1,0.127075,0.712968,0.975724,0.301544,0.154304,0.341591,0.748491,0.930329,democrat
1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0.767803,0.301103,0.252371,0.263353,0.871247,0.802887,0.946838,0.062969,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.365817,0.485636,0.75884,0.656368,0.197921,0.741707,0.753285,0.843711,democrat
1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0.32491,0.300791,0.209778,0.891827,0.962151,0.892991,0.13738,0.268214,republican
1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0.75515,0.824032,0.405883,0.3251,0.861078,0.77044,0.178637,0.058647,democrat
0,1,1,1,1,1,0,0,0,0,1,1,?,1,0,0,0.636419,0.524343,0.584128,0.455824,0.409449,0.549799,0.067243,0.385634,democrat
1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0.42707,0.469212,0.747293,0.653726,0.354528,0.972956,0.761808,0.684268,democrat
0,?,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.512252,0.003596,0.054843,0.210934,0.327144,0.261127,0.761189,0.739948,republican
1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0.136429,0.764156,0.607168,0.771532,0.74842,0.275423,0.697424,0.469841,democrat
0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0.714613,0.142038,0.205236,0.439167,0.261709,0.413073,0.706795,0.075746,democrat
1,1,?,1,1,1,0,0,1,0,1,?,1,1,0,0,0.666857,0.557482,0.917674,0.113471,0.209266,0.977586,0.786068,0.494127,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0.170539,0.159543,0.537315,0.856086,0.923194,0.011125,0.59093,0.319119,democrat
0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0.47495,0.814197,0.259243,0.33707,0.850189,0.827391,0.383652,0.624274,democrat
0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0.672742,0.494132,0.162363,0.662473,0.779616,0.733284,0.087021,0.35882,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0,0,?,?,0.07275,0.433475,0.326537,0.133855,0.694455,0.677627,0.651565,0.244245,democrat
1,1,1,?,0,0,0,1,0,0,1,?,0,0,1,1,0.568723,0.660771,0.6673,0.740527,0.014634,0.815234,0.193095,0.346947,democrat
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.648503,0.773466,0.820208,0.435315,0.252291,0.224605,0.607613,0.75277,democrat
0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0.938171,0.067194,0.65683,0.494592,0.348498,0.267529,0.620601,0.019171,democrat
1,1,1,0,0,1,?,1,1,0,1,0,1,0,1,1,0.4257,0.383141,0.264431,0.513402,0.21097,0.328869,0.47773,0.330833,democrat
1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0.758645,0.286766,0.471366,0.836418,0.22229,0.924824,0.734019,0.534481,democrat
1,?,1,0,0,1,1,1,1,1,0,0,0,0,1,?,0.260395,0.441167,0.250223,0.475549,0.738194,0.417935,0.848475,0.478692,democrat
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.559531,0.288366,0.58074,0.814951,0.845432,0.827126,0.541245,0.334476,democrat
0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,?,0.976806,0.401804,0.604538,0.654234,0.898747,0.471059,0.120311,0.822423,democrat
0,0,1,0,0,1,1,?,1,1,1,0,0,0,1,1,0.064289,0.123311,0.153686,0.390656,0.606491,0.433083,0.234761,0.522172,democrat
0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0.941201,0.347849,0.985147,0.391063,0.684432,0.08605,0.761664,0.690008,republican
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,?,0.320974,0.569304,0.303116,0.854374,0.347252,0.165303,0.783583,0.260353,republican
1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,?,0.374062,0.550599,0.4013,0.71539,0.157295,0.128092,0.863759,0.956939,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.821042,0.231423,0.507165,0.3907,0.000079,0.787707,0.075991,0.689444,democrat
1,?,0,1,1,1,0,0,0,1,0,1,?,1,0,1,0.900529,0.736849,0.160167,0.417472,0.206116,0.460619,0.496247,0.661365,republican
0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0.106436,0.600127,0.706028,0.285907,0.088556,0.114901,0.113042,0.864923,democrat
1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,?,0.839125,0.562924,0.739059,0.016144,0.416201,0.258207,0.363603,0.888765,democrat
1,?,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.364952,0.566306,0.574574,0.280386,0.591411,0.5536,0.752864,0.21426,democrat
1,1,1,0,0,1,?,1,0,0,1,1,0,1,0,?,0.728769,0.795736,0.083433,0.121038,0.552437,0.401504,0.262314,0.426154,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.51389,0.893359,0.470733,0.565632,0.669715,0.976063,0.505731,0.013386,republican
0,1,0,1,1,1,0,0,0,0,0,0,1,1,?,1,0.594063,0.70088,0.830681,0.689326,0.15564,0.454187,0.838839,0.685819,republican
1,1,1,0,?,1,1,1,0,1,?,?,0,0,1,1,0.271983,0.146295,0.559684,0.925749,0.757371,0.42557,0.879914,0.382698,democrat
0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,?,0.448861,0.137756,0.95969,0.676992,0.752179,0.721954,0.148362,0.398587,democrat
0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0.719606,0.577877,0.613801,0.523494,0.514879,0.15393,0.778324,0.30259,democrat
1,?,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.538122,0.861723,0.366196,0.584644,0.176881,0.893547,0.514312,0.576622,democrat
1,1,1,0,0,?,1,1,0,0,1,0,0,0,1,1,0.847274,0.471795,0.988398,0.830846,0.146379,0.491019,0.445926,0.148518,democrat
1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0.818044,0.533282,0.86391,0.397849,0.509222,0.763803,0.188677,0.24576,democrat
1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0.592409,0.442857,0.273249,0.204114,0.579986,0.046342,0.467942,0.245599,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.174476,0.9343,0.111428,0.422003,0.122794,0.538737,0.313095,0.447366,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0.864399,0.194234,0.119885,0.60357,0.011395,0.742642,0.318829,0.942733,democrat
0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0.879617,0.891252,0.964925,0.511733,0.348055,0.222661,0.680719,0.009729,republican
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.057935,0.231715,0.74468,0.957615,0.310772,0.181525,0.962039,0.706267,democrat
0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0.78699,0.405504,0.756627,0.194826,0.24836,0.58733,0.798876,0.588987,republican
0,0,0,1,1,1,?,?,?,?,0,1,1,1,0,1,0.554624,0.035007,0.60771,0.671477,0.792928,0.841124,0.000569,0.733179,republican
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,?,0.7647,0.490621,0.999064,0.190696,0.009278,0.223116,0.7525,0.479579,democrat
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.712891,0.186057,0.767406,0.78044,0.850772,0.605792,0.878279,0.583805,democrat
1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0.866975,0.216713,0.015105,0.823374,0.441179,0.172222,0.368342,0.694235,republican
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.84616,0.954416,0.41097,0.247603,0.952045,0.12783,0.632,0.334086,democrat
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,?,0.743986,0.461803,0.993778,0.829037,0.095116,0.643922,0.179971,0.813492,democrat
1,0,1,0,?,1,?,1,1,1,0,0,1,1,0,1,0.689313,0.839621,0.060589,0.906173,0.499337,0.521239,0.694422,0.747354,democrat
0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0.789948,0.870236,0.971864,0.058065,0.491975,0.311829,0.693554,0.104744,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.85343,0.570621,0.955423,0.546285,0.05338,0.887508,0.247762,0.965647,democrat
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.529504,0.518114,0.241279,0.571626,0.964921,0.6932,0.454406,0.41082,democrat
1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0.76882,0.062224,0.109371,0.646358,0.419633,0.173434,0.62821,0.220553,democrat
0,0,0,1,1,1,0,0,0,1,?,1,1,1,0,0,0.742388,0.785762,0.682233,0.632797,0.615107,0.110274,0.414338,0.308101,republican
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.616318,0.828583,0.544626,0.24898,0.098138,0.860974,0.281165,0.06359,republican
0,1,0,1,?,1,0,0,0,1,0,1,1,1,0,0,0.826374,0.937225,0.522171,0.092217,0.880684,0.733631,0.099777,0.034155,republican
0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0.746877,0.353708,0.201005,0.481321,0.596657,0.98912,0.767243,0.616111,republican
0,0,0,0,1,1,1,0,0,0,0,?,0,1,1,1,0.898496,0.906801,0.020498,0.668266,0.219075,0.207593,0.080666,0.684918,republican
0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0.089432,0.919011,0.021063,0.220087,0.107104,0.007817,0.319072,0.338747,democrat
0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0.134564,0.792598,0.579082,0.621778,0.402541,0.35765,0.240148,0.181397,republican
1,0,1,0,?,0,1,1,1,1,0,1,0,?,1,1,0.04705,0.387883,0.71099,0.40099,0.045238,0.963905,0.448867,0.820376,democrat
