@relation planning-weka.filters.unsupervised.attribute.NumericToNominal-R13-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute '  Delta' numeric
@attribute ' Theta' numeric
@attribute ' Alpha' numeric
@attribute ' Beta' numeric
@attribute ' Gamma' numeric
@attribute ' C3' numeric
@attribute ' C4' numeric
@attribute ' P3' numeric
@attribute ' P4' numeric
@attribute ' F3' numeric
@attribute ' F4' numeric
@attribute ' T3' numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute ' T4' {1,2}

@data
0.76442,0.668377,0.524389,0.381717,0.477509,0.623031,0.731958,0.51825,0.788871,0.651885,0.38003,0.316618,0.693729,0.497349,0.10709,0.191836,0.279949,0.939716,1
0.622161,0.418954,0.71806,0.490374,0.756914,0.442168,0.513802,0.753311,0.634894,0.570868,0.459567,0.484419,0.771677,0.087321,0.428995,0.179628,0.716357,0.645726,1
0.817403,0.692967,0.655582,0.828481,0.38635,0.716344,0.694251,1,0.925289,0.841872,0.161278,0.411047,0.682795,0.765647,0.631993,0.501426,0.612426,0.022181,2
0.567198,0.499395,0.616637,0.559521,0.54112,0.537151,0.493621,0.590863,0.609589,0.370488,0.595591,0.221861,0.980528,0.598456,0.419759,0.498668,0.668113,0.625408,1
0.660917,0.572936,0.876281,0.825325,0.7215,0.595986,0.621524,0.450845,0.726124,0.374254,0.626763,0.188342,0.504886,0.25806,0.595151,0.030158,0.603191,0.587808,2
0.768922,0.411632,0.583952,0.098885,0.778746,0.343027,0.689891,0.858297,0.616528,0.362057,0.599967,0.232377,0.612749,0.168518,0.458377,0.973758,0.65373,0.319359,2
0.740753,0.498781,0.367425,0.421681,0.355335,0.515966,0.63314,0.572544,0.577578,0.422703,0.598645,0.42421,0.053451,0.820024,0.617983,0.759292,0.952837,0.462087,1
0.854498,0.560856,0.783806,0.819859,0.595519,0.598476,0.727088,0.776853,0.560806,0.380163,0.654291,0.408391,0.552932,0.443331,0.463355,0.650397,0.031394,0.981839,2
0.940275,0.667011,0.196486,0.162394,0.204428,0.581388,0.89771,0.729536,0.73882,0.493228,0.523978,0.264355,0.773463,0.861534,0.501826,0.720427,0.211184,0.58394,1
0.91507,0.742057,0.46124,0.651049,0.282278,0.67571,0.890049,0.918512,0.873101,0.835113,0.161756,0.470457,0.037204,0.531925,0.422517,0.874512,0.600299,0.465971,1
0.61504,0.420919,0.583425,0.544574,0.582947,0.459815,0.512252,0.656978,0.477609,0.348354,0.682489,0.475153,0.436335,0.630493,0.679896,0.228575,0.728283,0.690759,1
0.611362,0.397975,0.434049,0.47933,0.461323,0.43402,0.516877,0.616115,0.796997,0.533053,0.470664,0.262719,0.07987,0.200576,0.394646,0.897965,0.049727,0.204283,1
0.757754,0.384887,0.428141,0.313367,0.557237,0.366028,0.668484,0.663481,0.769983,0.537254,0.473532,0.186568,0.862013,0.428995,0.733756,0.114128,0.808043,0.123977,1
0.881919,0.476761,0.479267,0.423764,0.50238,0.451754,0.796024,0.739494,0.48511,0.350863,0.655635,0.510568,0.377471,0.681284,0.676467,0.277752,0.278212,0.380192,2
0.606192,0.690149,0.505161,0.582832,0.305708,0.712437,0.667695,0.383618,0.886608,1,0.141855,0.757483,0.288629,0.034738,0.202556,0.380459,0.625247,0.963628,2
0.580208,0.000499,0.224907,0.010202,0.621225,0.063129,0.368069,0.826156,0.390474,0.3608,0.65649,0.665926,0.385307,0.316337,0.693762,0.353516,0.435071,0.880246,1
0.795403,0.477998,0.487412,0.495132,0.465837,0.495478,0.669483,0.751058,0.426766,0.438386,0.56112,0.718532,0.821589,0.563362,0.441582,0.609377,0.041908,0.76775,2
0.536585,0.558596,0.608966,0.558729,0.503817,0.590935,0.550577,0.219001,0.615096,0.617428,0.40144,0.549409,0.102273,0.96862,0.063133,0.967904,0.72112,0.918697,1
0.412117,0.628211,0.130449,0.38352,0.105583,0.619133,0.42284,0.762082,0.544928,0.55697,0.457759,0.8143,0.594131,0.699914,0.783772,0.550944,0.502874,0.978605,1
0.707342,1,0.410356,0.574741,0,0.989869,0.725922,0.499456,0,0.216849,0.84261,0.92039,0.909445,0.054079,0.62736,0.192917,0.138731,0.746487,1
0.573904,0.37969,0.622854,0.504012,0.681364,0.396054,0.502576,0.417291,0.714537,0.597699,0.422104,0.449172,0.940364,0.63876,0.723621,0.667135,0.703264,0.562589,1
0.721509,0.6002,0.471517,0.535207,0.436704,0.537394,0.773682,0.493464,0.884558,0.789625,0.216187,0.38905,0.586159,0.198277,0.092487,0.142789,0.503466,0.595972,1
0.794922,0.364208,0.475046,0.364217,0.596751,0.351035,0.714485,0.585852,0.914076,0.68561,0.322206,0.264531,0.019457,0.201143,0.277525,0.950623,0.701795,0.674319,1
0.627813,0.355404,0.524836,0.417206,0.601401,0.38037,0.557748,0.546998,0.364361,0.382003,0.6518,0.621438,0.374402,0.883198,0.188736,0.990065,0.12033,0.970741,1
0.632703,0.720914,0.478945,0.609927,0.216504,0.76062,0.6085,0.436277,0.729486,0.548688,0.456912,0.350568,0.93613,0.448252,0.077888,0.110436,0.604222,0.07779,1
0.629269,0.058287,0.588442,0.182281,0.902426,0.101698,0.497009,0.70848,0.56603,0.60448,0.433367,0.580928,0.678164,0.033513,0.040031,0.056434,0.587245,0.566624,1
0.821565,0.504559,0.876064,0.654973,0.762463,0.546281,0.702591,0.648715,0.442896,0.392821,0.635346,0.552962,0.477776,0.674997,0.130416,0.20552,0.860085,0.7186,1
0.641995,0.444122,0.464003,0.260681,0.579684,0.423793,0.613868,0.442049,0.577784,0.584925,0.45109,0.54579,0.668943,0.293239,0.658352,0.323483,0.21671,0.505508,2
0.759692,0.727508,0.380298,0.423636,0.229071,0.699812,0.760324,0.457311,0.846828,0.726533,0.273804,0.385607,0.132482,0.955869,0.50482,0.015238,0.603627,0.221144,2
0.849746,0.605935,0.764105,0.461213,0.700611,0.556329,0.914542,0.396294,0.732549,0.717378,0.351296,0.519846,0.721953,0.76424,0.179358,0.900967,0.563617,0.177815,1
0.554604,0.364736,0.348404,0.147471,0.441994,0.42523,0.425077,0.576651,0.798816,0.635552,0.38309,0.339113,0.064924,0.419106,0.538746,0.862591,0.326218,0.183312,2
0.564246,0.592099,0.609933,0.464667,0.562917,0.577133,0.563248,0.585605,0.727639,0.58075,0.441694,0.374583,0.229617,0.217306,0.624634,0.901273,0.513086,0.822532,1
0.541669,0.678682,0.451309,0.51226,0.286538,0.704925,0.489106,0.592276,0.883144,0.654344,0.360777,0.256127,0.208562,0.149053,0.413037,0.25147,0.492805,0.958588,1
0.586295,0.476453,0.609935,0.537834,0.612042,0.47157,0.632641,0.175163,0.522848,0.542454,0.464427,0.629108,0.929782,0.244495,0.613645,0.798669,0.31669,0.02542,2
0.835039,0.461113,0.75787,0.578333,0.775983,0.424999,0.852169,0.307175,0.629244,0.508262,0.505215,0.430636,0.58273,0.058956,0.203545,0.543476,0.508836,0.151608,1
0.661787,0.632096,0.925663,0.784801,0.769668,0.620618,0.717488,0.184463,0.744774,0.529009,0.496869,0.221148,0.44563,0.498251,0.554881,0.700551,0.868801,0.586541,2
0.652112,0.374492,0.56585,0.428485,0.575771,0.435284,0.56215,0.45251,0.825202,0.7275,0.270033,0.42769,0.36219,0.237591,0.730482,0.98289,0.70683,0.308094,1
0.674631,0.542852,0.932121,1,0.700862,0.587872,0.704677,0.231093,0.837647,0.727654,0.265396,0.369704,0.26262,0.058252,0.420934,0.025293,0.386836,0.697507,1
0.76592,0.493408,0.102226,0.415417,0.041661,0.527167,0.712169,0.275756,0.73132,0.728006,0.278239,0.522747,0.114408,0.152984,0.710916,0.680102,0.753201,0.253723,2
0.81704,0.409003,0.237384,0.457028,0.232396,0.447243,0.682818,0.652263,0.674119,0.636496,0.378506,0.53917,0.864808,0.081251,0.256121,0.867423,0.500024,0.076856,1
0.788569,0.674592,0.590404,0.559123,0.429528,0.666771,0.783195,0.365383,1,0.934141,0.067576,0.374075,0.976226,0.695141,0.873299,0.684332,0.076117,0.228884,1
0.778923,0.427812,0.324593,0.409913,0.382562,0.415843,0.703776,0.608129,0.734745,0.535342,0.484796,0.302367,0.218789,0.222155,0.078033,0.835741,0.560862,0.63872,1
0.500768,0.544526,0.323369,0.220442,0.333099,0.561756,0.434892,0.637399,0.541202,0.40297,0.605666,0.486054,0.36686,0.357058,0.815021,0.015729,0.58416,0.377381,1
0.731243,0.241952,0.654902,0.36536,0.849054,0.218853,0.756058,0.302871,0.309481,0.539726,0.494052,0.846808,0.22799,0.866349,0.815772,0.373632,0.77175,0.415455,1
0.805925,0.720305,0.778918,0.780953,0.50017,0.718341,0.837627,0.397954,0.550683,0.496058,0.511787,0.543021,0.128019,0.889442,0.474768,0.484945,0.083215,0.277058,2
0.516628,0.470281,0.340809,0.400826,0.325456,0.519322,0.468427,0.309671,0.554328,0.581443,0.443593,0.582807,0.183446,0.983777,0.377889,0.513189,0.466407,0.81917,2
0.638766,0.145169,0.740418,0.435503,0.975261,0.169342,0.561237,0.499551,0.588277,0.487039,0.540039,0.44867,0.744724,0.519439,0.151062,0.305029,0.40547,0.048921,1
0.757365,0.839892,0.543147,0.859329,0.014535,0.987264,0.537488,0.746264,0.764696,0.725886,0.319147,0.440479,0.609192,0.40457,0.861938,0.675935,0.601414,0.910086,1
0.582877,0.790907,0.721045,0.705338,0.440198,0.785108,0.703504,0.069604,0.397021,0.649168,0.372796,0.843846,0.531768,0.297301,0.026664,0.896012,0.339628,0.148739,1
0.622197,0.44907,0.73084,0.726307,0.621577,0.491927,0.593144,0.368348,0.735255,0.63429,0.401334,0.391117,0.24127,0.523983,0.305277,0.512753,0.197883,0.141426,2
0.661948,0.481238,0.415121,0.305447,0.469909,0.471063,0.625003,0.455139,0.642161,0.467984,0.545553,0.39658,0.371018,0.327319,0.155599,0.896793,0.995325,0.231231,1
0.742272,0.536882,0.584182,0.471999,0.553864,0.536563,0.634958,0.780535,0.601502,0.416519,0.621212,0.35127,0.188896,0.871194,0.233197,0.874336,0.126501,0.071034,1
0.67368,0.284039,0.540175,0.378742,0.680555,0.31714,0.584987,0.370147,0.416594,0.400891,0.637295,0.587681,0.753662,0.550455,0.835375,0.23195,0.24751,0.481821,1
0.82112,0.45887,0.730123,0.414036,0.788218,0.405466,0.85226,0.397727,0.827367,0.674534,0.368091,0.338091,0.604676,0.62201,0.585637,0.820796,0.251321,0.769195,2
0.856077,0.525355,0.61978,0.626322,0.581398,0.485063,0.84132,0.591411,0.850134,0.603011,0.396634,0.267013,0.519224,0.376026,0.221551,0.132868,0.387929,0.534589,1
0.67147,0.447972,0.360998,0.375724,0.440184,0.42676,0.644253,0.56608,0.342637,0.502518,0.533129,0.802104,0.437789,0.999782,0.397707,0.115237,0.538463,0.110113,2
0.665637,0.23671,0.539156,0.123883,0.845916,0.199768,0.631108,0.498811,0.626302,0.593721,0.433801,0.485909,0.789614,0.80839,0.945114,0.283071,0.061083,0.537421,1
0.523957,0.10829,0.569539,0.275434,0.838081,0.158006,0.439913,0.468653,0.490781,0.38311,0.619582,0.542739,0.059928,0.591844,0.871921,0.900962,0.295457,0.811288,1
0.455866,0.386483,0.695732,1,0.495014,0.515841,0.313591,0.451211,0.394395,0.521944,0.496293,0.916068,0.171649,0.781991,0.365212,0.746903,0.98097,0.086493,2
0.798738,0.613068,0,0,0.131376,0.497313,0.816352,0.607462,0.85869,0.763843,0.257907,0.381176,0.738317,0.910553,0.211497,0.23563,0.235309,0.980507,2
0.770652,0.366766,0.502827,0.400081,0.743798,0.221414,1,0,0.666165,0.704476,0.355136,0.55562,0.345466,0.204233,0.930584,0.04872,0.812612,0.632116,2
0.446675,0.800713,0.971894,0.915156,0.57851,0.88284,0.408461,0.494536,0.801592,0.656429,0.358164,0.379336,0.083466,0.048493,0.784278,0.848042,0.556403,0.044468,1
0.647818,0.736286,0.386459,0.520106,0.129735,0.78314,0.549163,0.72116,0.80411,0.607477,0.409901,0.304212,0.668915,0.710571,0.932644,0.696509,0.958813,0.556586,1
0.713537,0.514682,0.710403,0.47644,0.756587,0.466226,0.727412,0.387236,0.924723,0.648458,0.362662,0.168388,0.721386,0.016701,0.855761,0.894405,0.6952,0.266018,1
0.397805,0.384752,0.468353,0.394064,0.474294,0.485562,0.307431,0.253187,0.756507,0.634693,0.378209,0.401276,0.409475,0.359781,0.711431,0.589354,0.817794,0.442079,1
0.608383,0.228331,0.519896,0.385409,0.635539,0.310517,0.43937,0.728281,0.599867,0.566296,0.445694,0.548464,0.530812,0.312745,0.26743,0.620749,0.843255,0.608767,1
0.821808,0.206399,0.719852,0.399568,1,0.150654,0.831433,0.308134,0.352725,0.442509,0.589483,0.702921,0.665422,0.439824,0.122779,0.112425,0.371288,0.082765,1
0.545864,0.240426,0.696764,0.409894,0.825692,0.280134,0.431562,0.378281,0.535919,0.530236,0.4729,0.710464,0.84555,0.442251,0.043025,0.686872,0.723394,0.478353,1
0.743439,0.053958,0.544885,0.170494,0.96679,0,0.663919,0.340873,0.769054,0.995515,0.146731,1,0.956952,0.215788,0.790825,0.306189,0.725392,0.550184,1
0.628264,0.513528,0.60747,0.623432,0.468239,0.60015,0.507812,0.489167,0.732587,0.632292,0.382022,0.445018,0.050384,0.513016,0.980581,0.474509,0.491966,0.858873,2
0.361405,0.555958,0.947015,0.685261,0.842022,0.594496,0.337227,0.61184,0.845207,0.500145,0.495577,0.20619,0.855612,0.831324,0.354571,0.29828,0.457887,0.094569,1
0.231299,0.73891,0.72309,0.675885,0.444241,0.823952,0.257793,0.15295,0.867671,0.836062,0.189641,0.381706,0.996044,0.635037,0.832008,0.988596,0.974893,0.571013,1
0.728442,0.506285,0.482833,0.538112,0.425057,0.515131,0.671316,0.626996,0.669712,0.54128,0.493798,0.368605,0.87688,0.673588,0.57053,0.206982,0.325966,0.857194,1
0.876313,0.523721,0.404751,0.533758,0.388319,0.479665,0.841516,0.668526,0.678259,0.536507,0.474665,0.415505,0.624575,0.692868,0.684695,0.965364,0.754842,0.805176,2
0.848306,0.84704,0.646461,0.869061,0.188622,0.917353,0.765273,0.376329,0.729217,0.497156,0.509838,0.311744,0.185904,0.329115,0.755556,0.964546,0.057233,0.279932,1
0.706469,0.637069,0.334258,0.671477,0.093709,0.704047,0.595258,0.573261,0.690079,0.593861,0.427355,0.451677,0.130989,0.108412,0.641033,0.524633,0.90512,0.728391,2
0.508621,0.57366,0.401717,0.598534,0.238494,0.658305,0.429261,0.443526,0.685481,0.58862,0.440221,0.430015,0.460365,0.794152,0.64478,0.96655,0.58454,0.728115,2
0.608383,0.228331,0.519896,0.385409,0.635539,0.310517,0.43937,0.728281,0.599867,0.566296,0.445694,0.548464,0.890428,0.482801,0.842,0.146065,0.413,0.828072,1
0.832113,0.325428,0.434871,0.466309,0.561661,0.316277,0.762418,0.348844,0.870842,0.608752,0.417637,0.157032,0.517121,0.857895,0.299143,0.130282,0.191664,0.191411,1
0.519637,0.3815,0.35535,0.377161,0.363758,0.465729,0.391215,0.539166,0.372434,0.148418,0.862575,0.459154,0.252126,0.495268,0.29983,0.91026,0.550991,0.738677,2
0.603958,0.569629,0.492275,0.37094,0.517913,0.509575,0.655812,0.500156,0.668129,0.390497,0.616167,0.267212,0.040749,0.550673,0.225332,0.840633,0.612052,0.994811,1
0.849568,0.698444,0.593451,0.448956,0.380353,0.753244,0.694134,0.803766,0.824692,0.458472,0.528647,0,0.142264,0.144904,0.892553,0.825464,0.639128,0.599107,1
0.779134,0.445234,0.610304,0.782803,0.529245,0.475806,0.691162,0.646106,0.523299,0.60472,0.421033,0.682227,0.952261,0.24153,0.368006,0.376247,0.166757,0.237965,1
0.991719,0.897207,0.439413,0.690111,0.083684,0.865367,1,0.347584,0.496875,0.646745,0.389219,0.706569,0.227419,0.347973,0.229575,0.659298,0.794703,0.509149,1
0.635319,0.958931,0.711571,0.808446,0.306897,0.934406,0.73599,0.313822,0.725163,0.629037,0.401579,0.356089,0.625257,0.380776,0.100019,0.741667,0.540431,0.185975,2
0.593689,0.437812,0.820879,0.619792,0.815503,0.451522,0.559325,0.558831,0.847072,0.597825,0.415415,0.22111,0.168587,0.048966,0.922712,0.01229,0.387895,0.392573,2
0.536769,0.339797,0.640602,0.455272,0.704827,0.380158,0.509815,0.396017,0.717617,0.865827,0.156907,0.623648,0.294459,0.012974,0.770892,0.382999,0.775663,0.058393,1
0.421977,0.083091,0.15277,0.069147,0.557422,0.075517,0.384323,0.612073,0.578542,0.481121,0.527255,0.503644,0.242861,0.367804,0.091004,0.406123,0.012603,0.532462,1
0.860449,0.157205,0.564487,0.377973,0.850845,0.106228,0.87198,0.299664,0.56184,0.442012,0.58211,0.409,0.607985,0.034436,0.777159,0.035095,0.516141,0.605554,2
0.453111,0.601337,0.81371,0.66667,0.632685,0.658864,0.465579,0.226216,0.641281,0.518046,0.487157,0.432692,0.325641,0.888645,0.690354,0.914413,0.841355,0.221133,1
0.575812,0.707123,0.154513,0.142982,0.093064,0.67271,0.598387,0.489086,0.770046,0.706722,0.317495,0.426349,0.349982,0.736717,0.490212,0.937551,0.448078,0.522511,1
0.752267,0.660212,0.46514,0.590695,0.205323,0.741034,0.677337,0.14029,0.518902,0.547496,0.469786,0.601899,0.910849,0.997487,0.490454,0.337445,0.261461,0.362513,1
0.624534,0.683131,0.640312,0.891283,0.310935,0.769757,0.505737,0.726003,0.444743,0.168052,0.851102,0.408454,0.904104,0.46371,0.718161,0.864776,0.277036,0.13071,2
0.121136,0,0.508037,0.266603,0.824219,0.109885,0,0.722514,0.597664,0.584375,0.451743,0.525764,0.499923,0.196267,0.221695,0.114674,0.686686,0.479077,1
0.707892,0.475708,1,0.877242,0.856269,0.533228,0.624409,0.533692,0.742459,0.770493,0.251226,0.5284,0.041095,0.214825,0.687745,0.842193,0.433695,0.85618,1
0.601397,0.55008,0.379093,0.524862,0.288381,0.566033,0.580257,0.529513,0.507864,0.206365,0.794935,0.337445,0.31244,0.560423,0.583664,0.079967,0.404509,0.408487,1
0.489208,0.639029,0.394789,0.579192,0.144737,0.769724,0.301916,0.723285,0.722006,0.541382,0.470075,0.391896,0.095108,0.750377,0.810666,0.06611,0.027377,0.850423,2
0.670606,0.321672,0.606994,0.704214,0.612471,0.360447,0.609618,0.588619,0.645184,0.537109,0.481523,0.430607,0.862036,0.96488,0.444544,0.794387,0.253611,0.026802,1
0.689434,0.534375,0.874538,0.678215,0.788444,0.527522,0.706318,0.430604,0.418899,0.523642,0.501906,0.693738,0.54365,0.197692,0.745807,0.409064,0.35999,0.636257,1
0.653693,0.458148,0.603393,0.458352,0.55998,0.52646,0.512063,0.552275,0.758767,0.479693,0.528827,0.27886,0.500869,0.380202,0.667193,0.540008,0.82958,0.605665,1
0.571146,0.434451,0.380223,0.277588,0.490712,0.390921,0.638316,0.403252,0.721926,0.644548,0.360979,0.437051,0.424948,0.317561,0.484575,0.975463,0.575847,0.915828,1
0.529721,0.272348,0.418266,0.581707,0.419396,0.386449,0.354911,0.759295,0.44065,0.497532,0.54816,0.642895,0.564191,0.436127,0.572836,0.125604,0.78884,0.900105,2
0.858393,0.341708,0.725778,0.447091,0.883631,0.283304,0.826763,0.684493,0.761365,0.54811,0.456455,0.338489,0.914234,0.470572,0.371224,0.474078,0.754178,0.65158,1
0.989702,0.544237,0.489358,0.649535,0.424301,0.512835,0.922512,0.628978,0.742309,0.756026,0.256255,0.558913,0.243639,0.563995,0.097287,0.441181,0.661694,0.771609,1
0.42747,0.27358,0.237514,0.298183,0.422443,0.291273,0.435032,0.236069,0.54879,0.380895,0.621489,0.406175,0.736911,0.921457,0.123303,0.694486,0.951409,0.223369,1
0.802808,0.760921,0.351599,0.586737,0.064658,0.805953,0.693734,0.466407,0.389004,0,1,0.307312,0.783729,0.362556,0.207294,0.203236,0.394882,0.077896,1
0.635072,0.380438,0.575278,0.603696,0.590855,0.405345,0.57573,0.64364,0.555931,0.564494,0.465702,0.564622,0.92173,0.437012,0.039452,0.113784,0.369186,0.876074,1
0.689555,0.381884,0.628008,0.516487,0.728763,0.348541,0.724644,0.352753,0.813863,0.851976,0.134281,0.59035,0.030545,0.383423,0.126043,0.556225,0.622427,0.706292,2
0.913102,0.331837,0.433265,0.548713,0.491406,0.330315,0.846914,0.4768,0.600527,0.450249,0.565656,0.399555,0.691071,0.169235,0.672603,0.617924,0.961852,0.801876,1
0.696961,0.186623,0.466864,0.441231,0.671902,0.214911,0.563297,0.68223,0.708838,0.454855,0.546827,0.329576,0.764987,0.302942,0.367063,0.138124,0.410567,0.991905,2
0.44682,0.482875,0.448695,0.591321,0.333864,0.580684,0.369261,0.287937,0.505416,0.445217,0.580549,0.528074,0.048121,0.570255,0.306189,0.498773,0.403486,0.050074,1
0.424204,0.161883,0.47237,0.52586,0.619858,0.246196,0.355696,0.324036,0.403775,0.502057,0.523505,0.731645,0.624977,0.436486,0.494717,0.879092,0.938425,0.344782,1
0.728442,0.506285,0.482833,0.538112,0.425057,0.515131,0.671316,0.626996,0.669712,0.54128,0.493798,0.368605,0.85216,0.559221,0.599307,0.283506,0.409871,0.024653,1
0.67509,0.603796,0.686067,0.525592,0.525053,0.655058,0.600906,0.435807,0.568509,0.673156,0.344514,0.69954,0.761866,0.759227,0.917148,0.182148,0.260625,0.71199,2
0.595275,0.480197,0.911438,0.663652,0.832497,0.51045,0.592584,0.346778,0.574309,0.329955,0.688204,0.292188,0.873397,0.353724,0.763831,0.567201,0.954629,0.615951,1
0,0.314584,0.539839,0.624343,0.560787,0.4181,0.061109,0.029487,0.483581,0.261985,0.748902,0.370301,0.685836,0.024158,0.874014,0.233359,0.951382,0.52108,1
0.674524,0.229059,0.255478,0.598315,0.350691,0.304371,0.448167,0.591495,0.531194,0.53972,0.476513,0.685642,0.487712,0.289456,0.602321,0.85251,0.931523,0.017677,1
0.862311,0.47877,0.445074,0.51941,0.337031,0.538038,0.733708,0.514237,0.751741,0.772459,0.236322,0.538689,0.033431,0.213669,0.106519,0.006484,0.051664,0.990644,2
0.859606,0.488262,0.56731,0.448192,0.677432,0.378291,0.919378,0.529913,0.951901,0.725312,0.27697,0.229476,0.309387,0.581674,0.670097,0.452045,0.29633,0.004146,1
0.592668,0.402708,0.337892,0.329283,0.431208,0.408235,0.54249,0.520887,0.722073,0.667731,0.361526,0.448035,0.237407,0.425237,0.491212,0.063088,0.331851,0.151684,1
0.767155,0.994952,0.816905,0.918487,0.31699,1,0.779498,0.530342,0.890236,0.728892,0.279126,0.302146,0.166311,0.330712,0.728226,0.779605,0.671897,0.884986,1
0.46014,0.689411,0.133329,0.284849,0.049646,0.691973,0.529687,0.433999,0.540682,0.481144,0.521706,0.462943,0.294905,0.374785,0.181709,0.50408,0.441884,0.600275,2
0.752017,0.529487,0.93814,0.740994,0.835198,0.527175,0.706137,0.758391,0.581877,0.477581,0.543072,0.483986,0.397389,0.141103,0.526186,0.845672,0.818942,0.515701,1
0.901315,0.378927,0.65028,0.517339,0.746638,0.329278,0.887273,0.513194,0.497245,0.330014,0.67354,0.482141,0.014552,0.003038,0.533947,0.402206,0.049207,0.897495,1
0.739435,0.324121,0.755503,0.61117,0.837474,0.333784,0.615454,0.858623,0.521678,0.1242,0.882014,0.259475,0.495796,0.510074,0.793826,0.480546,0.262852,0.622371,1
0.50897,0.788962,0.675815,0.620442,0.422717,0.781456,0.629588,0.111929,0.156685,0.53598,0.510067,1,0.276377,0.190699,0.29076,0.737466,0.561891,0.64688,1
