@relation titanic-train-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute passengerId numeric
@attribute pclass=1 numeric
@attribute pclass=2 numeric
@attribute pclass=3 numeric
@attribute sex=female numeric
@attribute age numeric
@attribute sibsp numeric
@attribute parch numeric
@attribute fare numeric
@attribute embarked=C numeric
@attribute embarked=Q numeric
@attribute embarked=S numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute survival {0,1}

@data
0.022472,0,1,0,0,0.434531,0,0,0.050749,0,0,1,0.662026,0.567293,0.586321,0.061902,0.999183,0.4277,0
0.023596,0,1,0,0,0.421965,0,0,0.025374,0,0,1,0.607335,0.337721,0.706858,0.248489,0.246486,0.907281,1
0.024719,0,0,1,1,0.183212,0,0,0.015672,0,1,0,0.177243,0.463838,0.369134,0.451009,0.024472,0.315423,1
0.025843,1,0,0,0,0.346569,0,0,0.069291,0,0,1,0.644012,0.589894,0.929103,0.74337,0.715572,0.676123,1
0.026966,0,0,1,1,0.09525,0.375,0.166667,0.041136,0,0,1,0.928894,0.630401,0.880599,0.306483,0.774604,0.11049,0
0.02809,0,0,1,1,0.472229,0.125,0.833333,0.061264,0,0,1,0.786609,0.378623,0.042179,0.157631,0.754646,0.196689,1
0.029213,0,0,1,0,?,0,0,0.014102,1,0,0,0.667073,0.316631,0.030069,0.762133,0.110274,0.712752,0
0.030337,1,0,0,0,0.233476,0.375,0.333333,0.513342,0,0,1,0.322669,0.763755,0.365306,0.743762,0.400557,0.426443,0
0.031461,0,0,1,1,?,0,0,0.015379,0,1,0,0.691521,0.444457,0.031796,0.131169,0.478676,0.512719,1
0.032584,0,0,1,0,?,0,0,0.015412,0,0,1,0.996523,0.966254,0.781355,0.288101,0.77795,0.719076,0
0.033708,1,0,0,0,0.497361,0,0,0.054107,1,0,0,0.57223,0.656082,0.234474,0.130222,0.445181,0.239106,0
0.034831,1,0,0,1,?,0.125,0,0.28599,1,0,0,0.242276,0.776991,0.723751,0.920281,0.250296,0.555967,1
0.035955,0,0,1,1,?,0,0,0.015127,0,1,0,0.303367,0.637947,0.601915,0.829691,0.444794,0.175702,1
0.037079,0,1,0,0,0.824076,0,0,0.020495,0,0,1,0.371941,0.303976,0.229171,0.266417,0.938031,0.065397,0
0.038202,1,0,0,0,0.346569,0.125,0,0.160387,1,0,0,0.669785,0.032373,0.265246,0.388729,0.807076,0.857127,0
0.039326,1,0,0,0,0.522493,0.125,0,0.101497,0,0,1,0.277778,0.708154,0.029633,0.178662,0.609141,0.074361,0
0.040449,0,0,1,0,?,0,0,0.01411,1,0,0,0.594631,0.1676,0.228136,0.349011,0.691226,0.115788,1
0.041573,0,0,1,0,0.258608,0,0,0.015713,0,0,1,0.681526,0.60619,0.053093,0.348981,0.514929,0.80989,0
0.042697,0,0,1,1,0.22091,0.25,0,0.035134,0,0,1,0.444599,0.224574,0.686431,0.945992,0.369752,0.583743,0
0.04382,0,0,1,1,0.170646,0.125,0,0.021942,1,0,0,0.155579,0.81577,0.315918,0.658894,0.029798,0.707614,1
0.044944,0,0,1,1,0.497361,0.125,0,0.018494,0,0,1,0.696113,0.315315,0.522259,0.549693,0.319708,0.453404,0
0.046067,0,1,0,1,0.334004,0.125,0,0.040989,0,0,1,0.052321,0.084721,0.023599,0.129678,0.958808,0.094877,0
0.047191,0,0,1,0,?,0,0,0.015412,1,0,0,0.011229,0.272886,0.349986,0.969097,0.819682,0.469954,0
0.048315,0,1,0,1,0.03242,0.125,0.333333,0.081157,1,0,0,0.107704,0.379863,0.74786,0.818942,0.100375,0.794023,1
0.049438,0,0,1,1,0.233476,0,0,0.015379,0,1,0,0.636326,0.746923,0.027574,0.945102,0.208782,0.766033,1
0.050562,0,0,1,0,?,0,0,0.015713,0,0,1,0.833772,0.21481,0.81878,0.959682,0.093859,0.938539,0
0.051685,0,0,1,0,?,0.125,0,0.030254,0,1,0,0.11964,0.461383,0.801783,0.716492,0.64057,0.255716,0
0.052809,0,0,1,1,?,0,0,0.015127,0,1,0,0.882235,0.367996,0.559841,0.05687,0.742931,0.510583,1
0.053933,0,0,1,0,?,0.25,0,0.042315,1,0,0,0.645459,0.222621,0.229253,0.071766,0.06046,0.879977,0
0.055056,0,0,1,1,0.22091,0.125,0,0.034743,0,0,1,0.347333,0.183051,0.701811,0.544344,0.885505,0.292982,0
0.05618,0,0,1,0,0.082684,0.5,0.166667,0.077465,0,0,1,0.80332,0.466092,0.707927,0.796681,0.249285,0.039794,0
0.057303,0,0,1,0,0.258608,0,0,0.015225,0,0,1,0.481088,0.453188,0.238113,0.961182,0.479606,0.082084,0
0.058427,1,0,0,1,0.610455,0.125,0,0.149765,1,0,0,0.349781,0.798918,0.864376,0.893238,0.108823,0.065748,1
0.059551,0,1,0,1,0.359135,0.125,0,0.050749,0,0,1,0.517706,0.669616,0.129873,0.431965,0.891994,0.129969,1
0.060674,1,0,0,0,0.81151,0,0.166667,0.120975,1,0,0,0.478372,0.133272,0.172498,0.380352,0.916763,0.554398,0
0.061798,1,0,0,0,?,0,0,0.069291,0,0,1,0.24625,0.161035,0.633051,0.529256,0.412441,0.87529,1
0.062921,0,1,0,1,0.258608,0,0,0.020495,0,0,1,0.290077,0.611949,0.027663,0.889826,0.049134,0.851922,1
0.064045,0,0,1,0,0.352852,0,0,0.01411,1,0,0,0.631842,0.367112,0.603125,0.359339,0.771469,0.081628,0
0.065169,0,1,0,1,0.057552,0.125,0.333333,0.054164,0,0,1,0.552196,0.60272,0.067801,0.643277,0.657482,0.884465,1
0.066292,0,0,1,0,0.132948,0.625,0.333333,0.091543,0,0,1,0.165558,0.173391,0.934496,0.943693,0.912981,0.530531,0
0.067416,0,0,1,0,0.271174,0,0,0.01411,1,0,0,0.447722,0.581983,0.819015,0.7365,0.996062,0.922308,0
0.068539,1,0,0,1,0.472229,0,0,0.15615,?,?,?,0.721769,0.88842,0.312331,0.668876,0.465612,0.413509,1
0.069663,1,0,0,0,0.560191,0.125,0,0.162932,0,0,1,0.850344,0.740945,0.748228,0.967329,0.521094,0.721435,0
0.070787,0,0,1,0,0.044986,0.375,0.333333,0.054457,0,0,1,0.519111,0.065947,0.693804,0.746436,0.267735,0.53305,0
0.07191,1,0,0,0,?,0,0,0.054107,1,0,0,0.711968,0.628985,0.528968,0.721356,0.529625,0.811278,0
0.073034,0,0,1,0,?,0.125,0.166667,0.029758,1,0,0,0.317363,0.96585,0.393711,0.262171,0.930963,0.357314,1
0.074157,0,1,0,1,0.359135,0,0,0.020495,0,0,1,0.420145,0.099076,0.768814,0.676968,0.96981,0.491337,1
0.075281,0,0,1,0,0.233476,0,0,0.015924,0,0,1,0.237418,0.00705,0.326165,0.500493,0.775617,0.876458,0
0.076404,0,0,1,1,0.208344,0.5,0.333333,0.015469,0,0,1,0.472055,0.239067,0.608128,0.306951,0.137419,0.362094,1
0.077528,0,0,1,0,0.321438,0.25,0,0.016908,0,0,1,0.565148,0.093962,0.849638,0.804852,0.538994,0.080653,0
0.078652,0,1,0,0,0.396833,0,0,0.020495,0,0,1,0.5197,0.860321,0.479592,0.338515,0.275139,0.947068,0
0.079775,0,0,1,1,0.195778,0.625,0.333333,0.091543,0,0,1,0.592368,0.195114,0.776811,0.279124,0.043435,0.720625,0
0.080899,0,1,0,0,0.258608,0,0,0.143462,0,0,1,0.767731,0.471673,0.916713,0.486869,0.611757,0.163075,0
0.082022,0,0,1,0,0.321438,0.125,0,0.028213,1,0,0,0.959208,0.018396,0.443755,0.147554,0.516041,0.821168,0
0.083146,0,0,1,0,0.396833,0,0,0.110272,0,0,1,0.850822,0.491836,0.616826,0.899597,0.11756,0.064669,1
0.08427,0,0,1,0,0.308872,0,0,0.014932,0,0,1,0.092116,0.061952,0.284694,0.572311,0.47554,0.196371,0
0.085393,0,0,1,0,?,0,0,0.015412,0,0,1,0.681773,0.747347,0.000263,0.839862,0.210285,0.426465,0
0.086517,0,0,1,0,?,0,0,0.015713,0,0,1,0.180322,0.723056,0.129111,0.177861,0.044189,0.962371,0
0.08764,0,1,0,0,0.005152,0,0.333333,0.056604,0,0,1,0.344539,0.065847,0.262238,0.196066,0.822739,0.333478,1
0.088764,0,0,1,1,0.371701,0,0,0.02435,0,0,1,0.700989,0.519395,0.427233,0.450383,0.203715,0.759286,1
0.089888,0,0,1,0,0.271174,0,0,0.017567,0,0,1,0.908114,0.005913,0.38764,0.433898,0.638686,0.024813,0
0.091011,0,0,1,0,0.359135,0,0,0.018543,0,0,1,0.78941,0.817983,0.817914,0.568063,0.894197,0.078529,1
0.092135,0,0,1,1,?,0,0,0.0152,0,1,0,0.05774,0.464866,0.791296,0.603767,0.917871,0.779971,1
0.093258,1,0,0,0,0.346569,0,0,0.091933,0,0,1,0.755489,0.776514,0.879717,0.074619,0.953412,0.745025,0
0.094382,0,1,0,1,0.208344,0,0,0.020495,0,0,1,0.679149,0.074936,0.157395,0.982472,0.164062,0.649751,1
0.095506,0,0,1,1,0.409399,0.375,0,0.030937,0,0,1,0.771374,0.480275,0.551488,0.133566,0.711561,0.225957,1
0.096629,0,0,1,0,0.195778,0.125,0.5,0.067096,0,0,1,0.98955,0.935838,0.681682,0.862476,0.941741,0.315165,0
0.097753,0,0,1,0,?,0,0,0.015713,0,0,1,0.197502,0.504816,0.57297,0.894678,0.592415,0.028426,0
0.098876,1,0,0,1,0.28374,0.375,0.333333,0.513342,0,0,1,0.485843,0.338278,0.268599,0.905521,0.41758,0.307974,1
0.1,0,0,1,0,0.296306,0,0,0.015713,0,0,1,0.175441,0.350387,0.379037,0.766812,0.326808,0.00805,0
0.101124,0,0,1,0,0.359135,0,0,0.015713,0,0,1,0.876051,0.708083,0.303015,0.349371,0.692112,0.245401,0
0.102247,0,0,1,0,0.246042,0,0,0.01533,0,0,1,0.995798,0.378737,0.182854,0.122705,0.358038,0.938791,0
0.103371,1,0,0,0,0.572757,0.125,0,0.119406,0,0,1,0.274203,0.044621,0.402235,0.197279,0.694989,0.619286,0
0.104494,0,0,1,0,0.321438,0.125,0.333333,0.04016,0,0,1,0.348096,0.036159,0.503797,0.161528,0.711115,0.191401,0
0.105618,0,0,1,0,0.736115,0,0,0.014151,0,0,1,0.271923,0.639848,0.058935,0.329367,0.344013,0.036364,0
0.106742,0,0,1,0,?,0,0,0.015713,0,0,1,0.876915,0.268788,0.135224,0.323954,0.008939,0.833682,0
0.107865,1,0,0,0,0.886906,0,0,0.06764,1,0,0,0.051735,0.845774,0.309244,0.253422,0.813586,0.631565,0
0.108989,1,0,0,0,0.28374,0,0.166667,0.123667,1,0,0,0.504696,0.126911,0.505182,0.792178,0.448348,0.900348,1
0.110112,0,1,0,1,0.421965,0,0.166667,0.044893,0,0,1,0.477601,0.108341,0.502627,0.959658,0.122538,0.670188,1
0.111236,0,1,0,0,0.421965,0.125,0,0.050749,0,0,1,0.736533,0.614692,0.559913,0.213767,0.397653,0.983557,0
0.11236,0,0,1,1,0.346569,0,0,0.015412,0,0,1,0.087459,0.404634,0.911311,0.059856,0.834243,0.117461,0
0.113483,0,0,1,0,?,0,0,0.015412,0,0,1,0.635867,0.86996,0.69551,0.863436,0.844607,0.667299,0
0.114607,1,0,0,0,0.258608,0,0.166667,0.150855,0,0,1,0.120555,0.608071,0.296906,0.075823,0.463744,0.185479,0
0.11573,0,0,1,0,0.409399,0,0,0.016892,0,0,1,0.352414,0.755858,0.877347,0.000758,0.209932,0.66961,0
0.116854,0,0,1,0,0.459663,0.25,0,0.015469,0,0,1,0.139092,0.162622,0.650505,0.395468,0.207071,0.567698,0
0.117978,0,0,1,0,0.346569,0,0,0.015412,0,0,1,0.994767,0.911888,0.919905,0.194542,0.046386,0.86617,0
0.119101,0,0,1,1,0.258608,0,0,0.014932,0,0,1,0.449267,0.772348,0.139919,0.036824,0.847232,0.240097,1
0.120225,0,0,1,0,?,0,0,0.015176,0,0,1,0.270013,0.246536,0.951383,0.866045,0.866991,0.647154,1
0.121348,0,0,1,0,0.472229,0,0,0.015412,0,0,1,0.390977,0.606454,0.833835,0.951209,0.149326,0.345817,0
0.122472,0,0,1,1,?,0.125,0,0.047138,0,1,0,0.661319,0.756916,0.357973,0.253371,0.788428,0.306289,1
0.123596,1,0,0,0,0.585323,0,0,0.101497,0,0,1,0.648522,0.78278,0.027591,0.156249,0.734027,0.786563,0
0.124719,0,0,1,1,0.176929,0.125,0,0.028213,1,0,0,0.981853,0.432992,0.991966,0.418375,0.836744,0.376875,0
0.125843,0,0,1,0,0.271174,0,0,0.015713,0,0,1,0.036372,0.624079,0.968851,0.517835,0.31415,0.71919,0
0.126966,0,0,1,1,0.246042,0.125,0,0.019177,0,0,1,0.929499,0.844722,0.135833,0.80507,0.64237,0.014101,0
0.12809,0,0,1,1,0.208344,0,0,0.028221,1,0,0,0.73458,0.38162,0.473896,0.497141,0.293324,0.199908,0
0.129213,0,0,1,0,0.258608,0,0,0.015469,0,0,1,0.771754,0.820058,0.641196,0.21498,0.850137,0.676324,0
0.130337,0,0,1,0,0.880623,0,0,0.015127,0,1,0,0.687668,0.789638,0.336351,0.644658,0.058732,0.73117,0
0.131461,0,1,0,0,0.359135,0.125,0,0.040989,0,0,1,0.51378,0.400053,0.807119,0.890098,0.887283,0.480023,0
0.132584,1,0,0,0,0.296306,0,0.166667,0.483128,1,0,0,0.838847,0.951791,0.560038,0.05776,0.851718,0.447821,0
0.133708,0,0,1,1,0.019854,0.5,0.333333,0.061045,0,0,1,0.845013,0.004387,0.926396,0.688013,0.768664,0.693978,0
0.134831,0,1,0,0,0.258608,0.25,0,0.143462,0,0,1,0.048151,0.667281,0.29632,0.421653,0.870495,0.129204,0
0.135955,0,0,1,0,?,0,0,0.015713,0,0,1,0.820821,0.456462,0.011519,0.09652,0.373185,0.897796,0
0.137079,0,1,0,0,0.403116,0.125,0,0.058694,1,0,0,0.938623,0.379457,0.933648,0.625613,0.248495,0.142944,0
0.138202,0,1,0,1,0.403116,0,0,0.025374,0,0,1,0.615626,0.201763,0.013782,0.066409,0.099156,0.358209,1
0.139326,1,0,0,0,0.673285,0,0.166667,0.150855,0,0,1,0.528891,0.473687,0.073162,0.287253,0.759893,0.813761,0
0.140449,0,0,1,0,0.145514,0.125,0,0.021942,1,0,0,0.782497,0.706528,0.869467,0.341391,0.998635,0.173665,1
0.141573,0,0,1,0,?,0,0,0.015127,0,1,0,0.343533,0.663956,0.129094,0.827108,0.530583,0.567145,0
0.142697,0,0,1,0,0.296306,0,0,0.01394,0,0,1,0.271649,0.645816,0.946326,0.133005,0.401949,0.70352,1
0.14382,0,0,1,1,?,0.125,0.166667,0.04364,1,0,0,0.744354,0.689129,0.016345,0.014189,0.678419,0.522916,1
0.144944,0,0,1,0,0.560191,0,0,0.013614,0,0,1,0.996364,0.080899,0.921576,0.626084,0.673493,0.732749,0
0.146067,0,0,1,0,0.409399,0,0,0.015412,1,0,0,0.496217,0.489961,0.82998,0.150164,0.670763,0.007622,0
0.147191,0,0,1,0,0.246042,0,0,0.013761,0,0,1,0.989789,0.385474,0.799396,0.906783,0.088509,0.726376,0
0.148315,0,0,1,1,0.585323,0.125,0,0.028302,0,0,1,0.070331,0.456939,0.582541,0.275715,0.270411,0.717439,0
0.149438,0,1,0,1,0.359135,0.125,0,0.050749,0,0,1,0.169648,0.208492,0.671393,0.480391,0.887943,0.399924,1
0.150562,0,1,0,0,0.308872,0,0,0.025374,0,0,1,0.895895,0.226697,0.944943,0.967131,0.24272,0.994681,0
0.151685,0,1,0,0,0.28374,0,0,0.029367,1,0,0,0.420319,0.258504,0.937792,0.590051,0.354624,0.672985,0
0.152809,1,0,0,1,0.233476,0,0.333333,0.051302,0,0,1,0.697777,0.861196,0.535351,0.444555,0.517253,0.881217,1
0.153933,1,0,0,0,0.459663,0.125,0,0.103644,0,0,1,0.112859,0.160207,0.040095,0.06026,0.258865,0.882588,0
0.155056,0,0,1,0,0.195778,0,0,0.01799,0,0,1,0.203381,0.069074,0.617838,0.835356,0.236544,0.28103,0
0.15618,1,0,0,0,0.296306,0,0,0.154588,1,0,0,0.313413,0.068481,0.307732,0.37043,0.245243,0.91137,0
0.157303,0,0,1,1,?,0,0.333333,0.029758,1,0,0,0.866156,0.4225,0.108722,0.526922,0.082567,0.701879,0
0.158427,0,0,1,1,0.271174,0,0,0.015127,0,0,1,0.779123,0.128491,0.291691,0.113992,0.674674,0.632619,1
0.159551,0,0,1,1,0.296306,0.125,0,0.030937,0,0,1,0.836157,0.285561,0.543405,0.602741,0.448263,0.652429,1
0.160674,0,0,1,0,0.233476,0,0,0.013175,0,1,0,0.407991,0.242534,0.947431,0.917486,0.097066,0.790067,0
0.161798,0,1,0,0,0.22091,0,0,0.022447,0,0,1,0.209884,0.401668,0.130135,0.383955,0.416988,0.846441,0
0.162921,0,1,0,0,0.233476,0.125,0.166667,0.071731,0,0,1,0.095314,0.945099,0.237345,0.281756,0.909679,0.114907,0
0.164045,0,0,1,0,0.334004,0,0,0.015216,0,0,1,0.61208,0.787658,0.209508,0.095642,0.127002,0.909548,1
0.165169,0,0,1,1,0.107816,0.25,0.333333,0.067096,0,0,1,0.954172,0.497208,0.149816,0.663833,0.85497,0.135807,0
0.166292,0,1,0,0,0.45338,0,0.333333,0.050749,0,0,1,0.401461,0.751195,0.34967,0.642911,0.931113,0.29683,0
0.167416,0,1,0,0,0.522493,0,0,0.025374,0,0,1,0.581099,0.589395,0.777409,0.44326,0.829101,0.75977,0
0.168539,0,1,0,0,0.635587,0,0,0.024447,0,0,1,0.250341,0.485811,0.937042,0.416441,0.813373,0.61087,0
0.169663,1,0,0,1,0.271174,0.125,0,0.129995,0,0,1,0.490429,0.289786,0.961014,0.210583,0.008374,0.292517,1
0.170787,0,0,1,0,0.692134,0,0,0.015713,0,0,1,0.524891,0.804322,0.471033,0.950457,0.795217,0.460131,0
0.17191,0,0,1,0,0.503644,0,0.333333,0.028302,0,0,1,0.001973,0.089531,0.089747,0.07842,0.555807,0.126623,0
0.173034,0,0,1,0,?,0,0,0.014273,0,0,1,0.788248,0.146598,0.838603,0.128149,0.552675,0.416487,0
0.174157,1,0,0,0,0.635587,0,0.166667,0.119804,1,0,0,0.746528,0.082421,0.948179,0.446951,0.143624,0.853984,0
0.175281,0,0,1,1,0.195778,0,0,0.015094,0,1,0,0.862984,0.041563,0.63064,0.470418,0.174344,0.51839,1
0.176404,0,0,1,0,0.371701,0,0,0.015713,0,0,1,0.552387,0.468862,0.02297,0.855881,0.219877,0.056227,0
0.177528,0,0,1,0,?,0,0,0.016908,0,0,1,0.222435,0.716051,0.06702,0.85337,0.916507,0.122629,0
0.178652,0,0,1,0,?,1,0.333333,0.135753,0,0,1,0.793369,0.696409,0.420261,0.223887,0.35851,0.49253,0
0.179775,0,0,1,0,0.547625,0,0.166667,0.031425,0,0,1,0.032126,0.524526,0.32086,0.778299,0.957341,0.73283,0
0.180899,0,1,0,1,0.497361,0,0,0.030742,0,0,1,0.315059,0.639923,0.50314,0.914212,0.162085,0.83887,1
0.182022,0,0,1,0,0.321438,0,0,0.015176,0,0,1,0.933097,0.32394,0.974824,0.064986,0.516385,0.726772,0
0.183146,0,0,1,0,0.208344,0,0,0.016908,0,0,1,0.810791,0.283961,0.535315,0.671565,0.034993,0.536036,0
0.18427,0,0,1,0,0.007288,0.5,0.166667,0.077465,0,0,1,0.648116,0.836875,0.003502,0.554954,0.288455,0.667316,0
0.185393,0,0,1,0,0.107816,0,0.333333,0.040062,0,0,1,0.992565,0.398329,0.012575,0.550647,0.712395,0.675825,1
0.186517,1,0,0,1,?,0,0.166667,0.107353,0,0,1,0.699835,0.433875,0.055772,0.095884,0.942961,0.113168,1
0.18764,0,0,1,1,0.560191,0.125,0.666667,0.054457,0,0,1,0.094468,0.694814,0.977936,0.500576,0.716235,0.195661,0
0.188764,1,0,0,0,?,0,0,0.050602,0,0,1,0.956671,0.622278,0.909639,0.731725,0.460068,0.545908,0
0.189888,0,0,1,0,0.346569,0,0,0.110272,0,0,1,0.157296,0.918923,0.449318,0.282194,0.914561,0.96142,0
0.191011,1,0,0,0,0.761247,0,0,0.065388,0,0,1,0.367707,0.854061,0.789504,0.645095,0.314426,0.198644,0
0.192135,0,0,1,0,0.044986,0.5,0.166667,0.056848,0,1,0,0.17296,0.265011,0.140417,0.876663,0.084045,0.596608,0
0.193258,0,0,1,1,0.007288,0.125,0.166667,0.021731,0,0,1,0.112177,0.059183,0.771869,0.989402,0.975174,0.209366,1
0.194382,0,0,1,0,0.258608,0,0,0.015469,0,0,1,0.515889,0.406537,0.925883,0.493964,0.817928,0.163073,0
0.195506,1,0,0,0,0.698417,0,0,0.059914,1,0,0,0.472084,0.573555,0.76043,0.307665,0.867707,0.628506,0
0.196629,0,0,1,0,0.22091,0.125,0.166667,0.01533,0,0,1,0.156037,0.305216,0.991228,0.708858,0.282811,0.014265,0
0.197753,0,0,1,0,?,0.375,0.166667,0.049708,0,0,1,0.03829,0.86227,0.485105,0.763352,0.838187,0.385417,0
0.198876,1,0,0,1,0.623021,0,0,0.056043,1,0,0,0.93421,0.803691,0.315858,0.139564,0.207526,0.326636,0
0.2,0,1,0,0,0.371701,0,0,0.025374,0,0,1,0.380895,0.638869,0.671942,0.905621,0.276038,0.362402,0
0.201124,0,0,1,0,0.447097,0,0,0,0,0,1,0.68535,0.815892,0.064397,0.440844,0.086025,0.968076,0
0.202247,0,0,1,1,?,1,0.333333,0.135753,0,0,1,0.053986,0.650409,0.941984,0.157152,0.382678,0.237669,0
0.203371,0,1,0,0,?,0,0,0.029376,1,0,0,0.218992,0.707586,0.606974,0.208397,0.893549,0.484374,0
0.204494,0,0,1,0,0.107816,0.5,0.333333,0.061264,0,0,1,0.762871,0.535754,0.127046,0.647361,0.626504,0.739977,0
0.205618,0,1,0,0,0.007288,0.25,0.166667,0.076123,0,0,1,0.108557,0.20669,0.253407,0.685398,0.651497,0.075482,1
0.206742,0,0,1,1,0.044986,0,0.333333,0.04299,0,0,1,0.698633,0.77099,0.538994,0.417074,0.194628,0.407978,1
0.207865,1,0,0,0,?,0,0,0.097594,0,0,1,0.902218,0.898726,0.369219,0.924712,0.93132,0.492959,0
0.208989,0,0,1,1,?,0.125,0,0.030254,0,1,0,0.440362,0.79103,0.296504,0.392823,0.241158,0.866174,1
0.210112,1,0,0,0,0.560191,0,0,0.051822,0,0,1,0.747994,0.047394,0.343182,0.291763,0.861338,0.818281,1
0.211236,0,0,1,0,0.497361,0.125,0.166667,0.030254,0,1,0,0.439706,0.920451,0.099405,0.869768,0.939795,0.017132,0
0.21236,0,0,1,0,0.447097,0,0,0.015412,0,0,1,0.524351,0.133523,0.896597,0.893246,0.392829,0.078775,0
0.213483,0,1,0,1,0.396833,0,0,0.025374,0,0,1,0.935334,0.759274,0.845586,0.551765,0.775289,0.406014,1
0.214607,0,1,0,0,0.233476,0,0,0.025374,0,0,1,0.384974,0.127768,0.463767,0.685775,0.492822,0.623739,0
0.21573,0,0,1,1,0.233476,0.125,0,0.01533,0,0,1,0.19672,0.150851,0.20911,0.475485,0.153796,0.3387,1
0.216854,0,1,0,0,0.03242,0.125,0.166667,0.050749,0,0,1,0.162489,0.103215,0.831132,0.656311,0.560933,0.117924,1
0.217978,1,0,0,1,0.547625,0,0,0.054107,1,0,0,0.267134,0.809238,0.740516,0.392512,0.276455,0.128714,1
0.219101,1,0,0,1,0.723549,0,0,0.28599,1,0,0,0.33083,0.353636,0.899298,0.572608,0.716209,0.91281,1
0.220225,0,0,1,0,?,0,0,0.015127,0,1,0,0.864974,0.102337,0.211459,0.399181,0.303479,0.110868,0
0.221348,0,0,1,0,0.522493,0,0.166667,0.016404,0,0,1,0.199552,0.711457,0.327694,0.377152,0.667328,0.428247,0
0.222472,0,0,1,1,?,0,0,0.015127,0,1,0,0.810623,0.374831,0.805715,0.788509,0.137854,0.790967,1
0.223596,0,1,0,1,0.296306,0,0,0.025374,0,0,1,0.705774,0.256564,0.935844,0.341971,0.665632,0.017795,0
0.224719,0,0,1,0,0.346569,0,0,0.018543,0,0,1,0.272717,0.551348,0.35718,0.251849,0.678198,0.701132,0
0.225843,0,0,1,0,?,1,0.333333,0.135753,0,0,1,0.580594,0.072915,0.068263,0.61444,0.545371,0.600708,0
