@relation train-weka.filters.unsupervised.attribute.NumericToNominal-R61-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute var_0 numeric
@attribute var_1 numeric
@attribute var_2 numeric
@attribute var_3 numeric
@attribute var_4 numeric
@attribute var_5 numeric
@attribute var_6 numeric
@attribute var_7 numeric
@attribute var_8 numeric
@attribute var_9 numeric
@attribute var_10 numeric
@attribute var_11 numeric
@attribute var_12 numeric
@attribute var_13 numeric
@attribute var_14 numeric
@attribute var_15 numeric
@attribute var_16 numeric
@attribute var_17 numeric
@attribute var_18 numeric
@attribute var_19 numeric
@attribute var_20 numeric
@attribute var_21 numeric
@attribute var_22 numeric
@attribute var_23 numeric
@attribute var_24 numeric
@attribute var_25 numeric
@attribute var_26 numeric
@attribute var_27 numeric
@attribute var_28 numeric
@attribute var_29 numeric
@attribute var_30 numeric
@attribute var_31 numeric
@attribute var_32 numeric
@attribute var_33 numeric
@attribute var_34 numeric
@attribute var_35 numeric
@attribute var_36 numeric
@attribute var_37 numeric
@attribute var_38 numeric
@attribute var_39 numeric
@attribute var_40 numeric
@attribute var_41 numeric
@attribute var_42 numeric
@attribute var_43 numeric
@attribute var_44 numeric
@attribute var_45 numeric
@attribute var_46 numeric
@attribute var_47 numeric
@attribute var_48 numeric
@attribute var_49 numeric
@attribute var_50 numeric
@attribute var_51 numeric
@attribute var_52 numeric
@attribute var_53 numeric
@attribute var_54 numeric
@attribute var_55 numeric
@attribute var_56 numeric
@attribute var_57 numeric
@attribute var_58 numeric
@attribute var_59 numeric
@attribute label {0,1}

@data
0.547548,0.282898,0.153088,0.079886,0.13264,0.143782,0.299806,0.531863,0.53578,0.621479,0.54526,0.544549,0.582061,0.398268,0.451098,0.525544,0.720858,0.604468,0.161793,0.425942,0.383221,0.386962,0.547526,0.528634,0.271206,0.150237,0.684316,1,0.714554,0.425084,0.503706,0.576791,0.252441,0.081505,0.176741,0.413407,0.465012,0.294686,0.263118,0.251961,0.187493,0.291575,0.238847,0.108348,0.098379,0.072408,0.06465,0.025457,0.116103,0.055758,0.155378,0.025862,0.13764,0.27566,0.227064,0.028205,0.196023,0.096774,0.292011,0.391111,1
0.231055,0.123446,0.151445,0.11436,0.184377,0.185595,0.279522,0.258655,0.178133,0.104247,0.004277,0.066383,0.211223,0.307724,0.458521,0.617036,0.723034,0.775896,0.788344,0.813891,1,0.980024,0.959733,0.959123,0.90601,0.899328,0.782645,0.575648,0.319641,0.371799,0.452474,0.342994,0.249081,0.279279,0.155365,0.047278,0.091953,0.080171,0.051831,0.184532,0.10469,0.09072,0.048881,0.16336,0.159937,0.069254,0.171858,0.202755,0.130742,0.206061,0.032869,0.196839,0.297753,0.061584,0.055046,0.423077,0.380682,0.020737,0.187328,0.2,1
0.199108,0.159451,0.079501,0.000951,0.015978,0.133801,0.212559,0.231974,0.137899,0.091234,0.028653,0.142585,0.219654,0.182118,0.270438,0.219723,0.241115,0.26587,0.294656,0.455265,0.515388,0.598002,0.663664,0.746645,0.84058,0.883027,0.992436,0.910869,0.69558,0.59878,0.615217,0.483113,0.243621,0.159936,0.147489,0.250101,0.26066,0.293855,0.251981,0.192048,0.138043,0.301099,0.274279,0.232028,0.209411,0.09339,0.197573,0.275232,0.200404,0.112727,0.075697,0.074713,0.188202,0.284457,0.091743,0.251282,0.107955,0.112903,0.134986,0.36,1
0.1211,0.156022,0.308147,0.182121,0.046158,0.100351,0.359544,0.422712,0.276106,0.242099,0.258304,0.188599,0.250472,0.471383,0.72896,0.778038,0.783028,0.597091,0.389859,0.230201,0.488617,0.738911,0.851224,1,0.835571,0.647208,0.681794,0.572149,0.454962,0.477062,0.409745,0.135555,0.125066,0.039852,0.38294,0.712399,0.761863,0.325049,0.023345,0.280283,0.444702,0.466178,0.315531,0.257666,0.327978,0.25864,0.354944,0.509434,0.689551,0.482424,0.14243,0.114943,0.078652,0.29912,0.043578,0.135897,0.247159,0.117512,0.184573,0.08,1
0.176077,0.246892,0.35611,0.243699,0.230028,0.58376,0.639344,0.819405,0.848127,0.869584,0.856165,1,0.769298,0.52047,0.646805,0.688887,0.66418,0.745558,0.887334,0.852205,0.786467,0.649554,0.395253,0.349247,0.502451,0.164335,0.482088,0.849012,0.586739,0.838073,0.8753,0.529553,0.145437,0.264653,0.410044,0.29869,0.63033,0.662681,0.535875,0.501307,0.496468,0.309035,0.275314,0.286266,0.300114,0.024136,0.244114,0.222821,0.065623,0.128485,0.032869,0.314655,0.452247,0.246334,0.387615,0.615385,0.889205,0.364055,0.258953,0.32,1
0.084695,0.092585,0.02431,0.011888,0.037535,0.005395,0.146985,0.198236,0.109183,0.128986,0.133143,0.086753,0.035034,0.059297,0.148761,0.125585,0.074293,0.160831,0.262676,0.27729,0.346227,0.53367,0.733284,0.872656,0.898551,0.725851,0.669923,0.695657,0.568807,0.321456,0.187922,0.253765,0.230495,0.285639,0.179912,0.222581,0.309972,0.258709,0.273078,0.292919,0.268906,0.251038,0.195655,0.230482,0.263008,0.235464,0.162622,0.196466,0.224634,0.133333,0.023904,0.070402,0.188202,0.29912,0.002294,0.046154,0.0625,0.12212,0.104683,0.186667,1
0,0.129876,0.051248,0.040418,0.093076,0.298894,0.504862,0.354135,0.198557,0.188331,0.095082,0.295135,0.318651,0.305868,0.301735,0.228781,0.001865,0.134753,0.26762,0.365261,0.326834,0.140157,0.42895,0.677185,0.709292,0.686309,0.695556,0.847262,1,0.748284,0.475147,0.378024,0.590045,0.519131,0.24169,0.084274,0.065165,0.197983,0.332941,0.215468,0.17846,0.352259,0.285917,0.196341,0.106056,0.083105,0.125317,0.133573,0.17365,0.099394,0.10757,0.195402,0.202247,0.073314,0.236239,0.207692,0.278409,0.023041,0.07438,0.035556,1
0.130758,0.008573,0.040407,0.000951,0.016739,0.009442,0.114198,0.034179,0.066032,0.140712,0.073272,0.103458,0.138392,0.015159,0,0,0.028494,0.182026,0.309489,0.337864,0.349178,0.437654,0.609304,0.746235,0.858802,0.866505,0.779494,0.830897,0.96153,0.958483,0.954218,0.969763,0.969337,1,0.784392,0.526915,0.258802,0.163253,0.107411,0.32549,0.397221,0.494383,0.433855,0.386241,0.390674,0.277564,0.188881,0.135669,0.170116,0.147879,0.071713,0.136494,0.182584,0.152493,0.043578,0.017949,0.011364,0.041475,0.15427,0.168889,1
0.134473,0.054008,0.170171,0.121493,0.147096,0.355004,0.337316,0.437927,0.22973,0.20878,0.285103,0.226993,0.182439,0.169434,0.203631,0.218298,0.208372,0.096,0.349043,0.556721,0.420004,0.449683,1,0.864256,0.437127,0.486838,0.600483,0.705949,0.541806,0.316552,0.217898,0.173094,0.095453,0.329942,0.272067,0.317339,0.246665,0.172299,0.216856,0.130937,0.037406,0.033944,0.09259,0.125741,0.111885,0.071585,0.090547,0.069182,0.11156,0.174545,0.305777,0.53592,0.398876,0.020528,0.204128,0.235897,0.210227,0.400922,0.297521,0.284444,1
0.284547,0.277325,0.125493,0.129815,0.1088,0.458862,0.291192,0.213671,0.07801,0.295009,0.30392,0.453693,0.412124,0.241312,0.321095,0.36322,0.399337,0.518338,0.690932,0.806935,0.877213,0.817313,0.746636,0.754636,0.82598,0.879392,0.753335,0.577707,0.274083,0,0.251254,0.780123,0.793342,0.830737,0.762299,0.744758,0.645309,0.140064,0.272542,0.532244,0.562826,0.582173,0.517781,0.499485,0.234717,0.060614,0.120065,0.125187,0.239778,0.284848,0.065737,0.070402,0.348315,0.507331,0.133028,0.497436,0.556818,0.221198,0.190083,0.217778,1
0.199108,0.273468,0.123193,0.027342,0.103728,0.188832,0.239789,0.057332,0.101505,0.106821,0.012402,0.034584,0.084751,0.068578,0.143946,0.065846,0.086001,0.187429,0.297917,0.278467,0.168529,0.173236,0.296493,0.411843,0.425512,0.185593,0.041286,0.265336,0.54191,0.819549,0.829954,0.78115,0.795023,0.97753,1,0.895161,0.564728,0.27597,0.210645,0.246732,0.342559,0.459707,0.203673,0.287039,0.224908,0.196517,0.295907,0.339323,0.286219,0.161212,0.169323,0.031609,0.132022,0.211144,0.15367,0.182051,0.289773,0.354839,0.258953,0.022222,1
0.093611,0.134591,0.191853,0.235854,0.277961,0.436472,0.430397,0.23462,0.125,0.156156,0.074127,0.187866,0.298445,0.259874,0.338349,0.44423,0.683971,0.876052,0.911004,0.736943,0.655987,0.693481,0.823567,0.764471,0.679561,0.619231,0.478937,0.477769,0.477898,0.363735,0.125245,0,0.016801,0.291468,0.346323,0.18004,0.013667,0.115837,0.21782,0.202941,0.325999,0.283639,0.221906,0.20085,0.221211,0.057872,0.089279,0.142558,0.11055,0.071515,0.085657,0.068966,0.02809,0.214076,0.268349,0.128205,0.022727,0.029954,0.060606,0.248889,1
0.322437,0.184741,0.109067,0.094627,0,0.208794,0.463462,0.371775,0.233876,0.185185,0.337277,0.442995,0.624073,0.568423,0.445381,0.210564,0.188063,0.29361,0.254681,0.383027,0.416105,0.181613,0.620112,0.894068,0.884697,0.727833,0.667822,0.834294,1,0.82151,0.539023,0.476152,0.797018,0.716587,0.377621,0.148992,0.136344,0.184881,0.514778,0.50817,0.229763,0.432601,0.360145,0.232801,0.050043,0.064866,0.058312,0.122192,0.082282,0.106667,0.120518,0.077586,0.075843,0.28739,0.350917,0.376923,0.190341,0.182028,0.319559,0.222222,1
0.031204,0.038577,0.002957,0,0.03297,0.135419,0.083912,0.197574,0.116861,0.152581,0.092801,0.098623,0.058729,0.033,0.080349,0.11551,0.175008,0.356987,0.416263,0.48887,0.569035,0.631189,0.608774,0.590001,0.462702,0.520542,0.674966,0.846953,1,0.909121,0.784173,0.658717,0.5241,0.562162,0.535952,0.547883,0.460311,0.320578,0.32266,0.298039,0.24806,0.193529,0.207552,0.19209,0.188513,0.094213,0.109018,0.168014,0.154467,0.186667,0.028884,0.050287,0.050562,0.026393,0.066514,0.038462,0.088068,0.064516,0.137741,0.111111,1
0.182021,0.036862,0.042707,0.052306,0.087497,0.172916,0.248958,0.238809,0.110412,0.201201,0.19216,0.166178,0.161215,0.11055,0.211957,0.528394,0.671537,0.542857,0.273406,0.275043,0.412943,0.524541,0.553036,0.60793,0.800938,0.980064,0.981406,0.914162,0.731339,0.753296,0.871049,0.792789,0.650425,0.622258,0.615322,0.593952,0.586486,0.505251,0.273399,0.154575,0.190272,0.241148,0.2854,0.229065,0.192351,0.188289,0.135639,0.14136,0.164059,0.21697,0.044821,0.102011,0.014045,0.020528,0.130734,0.089744,0.332386,0.290323,0.190083,0.364444,1
0.055721,0.115302,0.05749,0.074417,0.088511,0.02293,0.051125,0.131422,0.279638,0.365365,0.43464,0.446366,0.316907,0.102609,0.125088,0.435477,0.66791,0.69361,0.78603,0.935895,0.984928,0.805928,0.553778,0.630571,0.684889,0.655799,0.378191,0.157163,0.172644,0.337147,0.360693,0.186901,0.183766,0.331638,0.384678,0.50373,0.566696,0.308724,0.251874,0.235403,0.19502,0.235653,0.107979,0.11698,0.19619,0.267142,0.219305,0.252471,0.297325,0.299394,0.11753,0.107759,0.27809,0.073314,0.176606,0.110256,0.323864,0.032258,0.247934,0.231111,1
0.193908,0.191599,0.086071,0.02758,0.080396,0.23577,0.297583,0.392062,0.311732,0.418418,0.37933,0.588218,0.885448,0.817263,1,1,0.949021,0.898701,0.709026,0.477954,0.164629,0.35399,0.56448,0.269747,0.152067,0.535411,0.5156,0.356731,0.313073,0.46246,0.555701,0.499087,0.296335,0.210493,0.121101,0.279839,0.37787,0.392534,0.39441,0.346296,0.271801,0.316728,0.093495,0.159495,0.169463,0.149342,0.112821,0.147948,0.133266,0.098182,0.103586,0.045977,0.025281,0.079179,0.004587,0.217949,0.153409,0.048387,0.137741,0.248889,1
0.079495,0.031719,0.056833,0.019734,0.093584,0.148907,0.133093,0.016759,0.126536,0.115687,0.159373,0.181565,0.266754,0.23564,0.258,0.185528,0.211895,0.286649,0.37692,0.414491,0.461741,0.534529,0.600932,0.66612,0.816922,0.87036,0.915537,0.893475,0.744475,0.644328,0.651951,0.525217,0.334558,0.221092,0.116498,0.205948,0.223486,0.23812,0.267081,0.211656,0.150434,0.314652,0.330014,0.2185,0.208558,0.176358,0.167693,0.214435,0.164059,0.312727,0.135458,0.04454,0.064607,0.029326,0.025229,0.112821,0.383523,0.308756,0.07438,0.257778,1
0.122585,0.013716,0.205979,0.093676,0.067461,0.154842,0.214226,0.30849,0.102119,0.033748,0.161368,0.474355,0.428115,0.262968,0.013542,0.041726,0.188063,0.435117,0.349779,0.531999,0.629427,0.703039,0.813712,0.873579,1,0.843815,0.638933,0.494339,0.459654,0.403945,0.440266,0.471018,0.515384,0.540117,0.525008,0.523286,0.4274,0.213476,0.089312,0.4061,0.433932,0.611844,0.545196,0.319376,0.225476,0.154142,0.117892,0.236298,0.164059,0.084848,0.025896,0.114943,0.317416,0.296188,0.190367,0.348718,0.196023,0.036866,0.14876,0.515556,1
0.147103,0.158165,0.154074,0.099144,0.147096,0.128136,0.173104,0.009482,0.09352,0.196482,0.118175,0.207796,0.52057,0.34289,0.168723,0.099125,0,0.355429,0.726594,0.991973,0.979132,0.880786,0.651584,0.414609,0.293905,0.70988,0.959134,0.727563,0.46372,0.084014,0.275234,0.421269,0.282789,0.327822,0.325765,0.212298,0.230921,0.243631,0.14018,0.291394,0.254545,0.205617,0.274279,0.141587,0.140034,0.174301,0.264216,0.348607,0.392226,0.532121,0.060757,0.189655,0.345506,0.392962,0.107798,0.115385,0.176136,0.200461,0.15978,0.071111,1
0.043834,0.063009,0.09067,0.088921,0.224195,0.171567,0.078911,0.044983,0.094748,0.23452,0.234212,0.13643,0.208024,0.05579,0.215468,0.504681,0.713087,0.768935,0.602567,0.304473,0.339481,0.207604,0.340468,0.729638,0.858589,0.804274,0.765942,0.779951,0.546706,0.306418,0.332679,0.394911,0.303791,0.156969,0.245883,0.314012,0.113383,0.069148,0.140287,0.195316,0.094268,0.107082,0.110694,0.12252,0.140176,0.131103,0.077146,0.121893,0.053508,0.21697,0.055777,0.320402,0.30618,0.366569,0.243119,0.14359,0.15625,0.057604,0.195592,0.173333,1
0.112184,0.071153,0.159658,0.053971,0.049455,0.063394,0.064462,0.105843,0.028102,0.051623,0.028368,0.237104,0.114552,0.069609,0.088374,0.155302,0.126308,0,0.086472,0.153039,0.1543,0.027602,0.148564,0.102756,0,0.134376,0.437126,0.636785,0.618432,0.575787,0.7155,0.567321,0.573034,0.87239,0.946916,0.970262,0.810737,0.616616,0.577104,0.656972,0.589461,0.58083,0.44045,0.246844,0.161217,0.087767,0.164976,0.293501,0.2842,0.226667,0.087649,0.041667,0.477528,0.469208,0.155963,0.117949,0.309659,0.398618,0.807163,0.253333,1
0.262259,0.133733,0.134034,0.069425,0.436216,0.409765,0.210336,0.168026,0.261671,0.27742,0.400285,0.422333,0.4992,0.372486,0.583709,0.784246,0.972956,1,0.983484,0.851241,0.835898,0.899152,0.559924,0.38869,0.567988,0.646767,0.620653,0.485591,0.538991,0.436744,0.462939,0.332497,0.366691,0.390249,0.213869,0.096371,0.105073,0.050016,0.235382,0.333551,0.265084,0.324542,0.221518,0.075238,0.174865,0.3017,0.398044,0.321653,0.213529,0.196364,0.092629,0.047414,0.109551,0.196481,0.208716,0.15641,0.164773,0.129032,0.115702,0.208889,1
0.47474,0.243892,0.271682,0.074655,0.099163,0.176693,0.178105,0.237045,0.349816,0.246675,0.362366,0.570487,0.493531,0.176446,0.281773,0.394565,0.568646,0.666701,0.58826,0.4497,0.288153,0.142197,0.160962,0.148243,0.199062,0.199912,0.262948,0.449876,0.686197,0.724747,0.814694,0.86456,0.655046,0.713302,0.738161,0.815423,0.936038,1,0.897623,0.756427,0.746149,0.713309,0.597181,0.468822,0.212113,0.166758,0.236509,0.35879,0.291772,0.284848,0.134462,0.183908,0.519663,0.093842,0.057339,0.05641,0.059659,0.359447,0.297521,0.324444,1
0.061664,0.034291,0.014126,0.095578,0.173726,0.207985,0.245902,0.096803,0.060964,0.04004,0.111048,0.172333,0.283471,0.278746,0.40977,0.467332,0.522329,0.613403,0.690722,0.777183,0.946564,1,0.962382,0.941809,0.856991,0.768146,0.632419,0.4331,0.451522,0.5808,0.484739,0.318462,0.342119,0.331108,0.084791,0.059577,0.003061,0.008111,0.141679,0.223529,0.152519,0.071795,0.020561,0.100232,0.092835,0.028799,0.092177,0.115903,0.132256,0.122424,0.160359,0.022989,0.205056,0.302053,0.165138,0.138462,0,0.039171,0.068871,0.093333,1
0.178306,0.186027,0.040079,0.006182,0.06036,0.086863,0.058627,0.159868,0.11809,0.095238,0,0.267292,0.240733,0.081675,0.143043,0.210666,0.178323,0.075844,0.061435,0.054473,0.180438,0,0.158631,0.219752,0.030691,0.149466,0.566341,0.84119,0.840179,0.747085,0.825485,0.668188,0.637194,0.90461,0.988238,0.934274,0.722611,0.556307,0.589098,0.713072,0.612739,0.633822,0.4764,0.257279,0.214956,0.069665,0.168598,0.2941,0.264513,0.227879,0.099602,0.03592,0.511236,0.42522,0.130734,0.238462,0.198864,0.172811,0.23416,0.395556,1
0.078752,0.026575,0.096255,0.060152,0.004565,0.175614,0.178105,0.128997,0.099969,0.112684,0.060299,0.089097,0.14159,0.138806,0.229311,0.282109,0.329189,0.340987,0.286871,0.260809,0.376476,0.38621,0.43446,0.585698,0.674766,0.822227,0.881815,0.629889,0.302335,0.283535,0.483758,0.477864,0.268508,0.440276,0.506495,0.508266,0.480538,0.469897,0.453202,0.473094,0.444239,0.343956,0.296909,0.122262,0.013506,0.072271,0.069359,0.032046,0.054518,0.093333,0.108566,0.070402,0.064607,0.085044,0.146789,0.089744,0.142045,0.016129,0.140496,0.075556,1
0.135958,0.077154,0.038108,0.036377,0.137712,0.134071,0.133926,0.099449,0.140356,0.14014,0.104918,0.138189,0.151039,0.135918,0.165413,0.17871,0.131178,0.132156,0.094993,0.082406,0.202045,0.228439,0.394935,0.635591,0.899936,1,0.799034,0.600556,0.505838,0.310995,0.246784,0.070288,0.090518,0.145204,0.176844,0.172077,0.008528,0.07414,0.148961,0.257516,0.323104,0.349695,0.245959,0.089668,0.107762,0.124794,0.079862,0.073076,0.133771,0.115152,0.139442,0.087644,0.162921,0.205279,0.174312,0.102564,0.071023,0.029954,0.132231,0.075556,1
0.159733,0.09087,0.101511,0.121493,0.0667,0.107095,0.213115,0.145094,0.07586,0.039468,0.229081,0.322098,0.385812,0.24059,0.379175,0.492062,0.276241,0.340779,0.662424,0.711794,0.478605,0.402964,0.680725,0.808729,0.763534,0.883577,0.887488,0.888123,0.855088,0.788929,0.551341,0.232999,0.313137,0.148702,0.229518,0.552823,0.473431,0.061974,0.129685,0.069063,0.342907,0.450427,0.344756,0.138882,0.201592,0.231349,0.133647,0.189877,0.072691,0.273939,0.060757,0.21408,0.396067,0.240469,0.231651,0.230769,0.144886,0.029954,0.179063,0.075556,1
0.141902,0.050579,0.052234,0.022349,0.137205,0.245482,0.280356,0.181257,0.166615,0.107679,0.176336,0.079719,0.108301,0.066206,0.063296,0.098921,0.14413,0.228364,0.294551,0.348245,0.519182,0.582752,0.684434,0.755148,0.783994,0.901421,0.874672,0.788905,0.79045,0.69271,0.645847,0.674121,0.572509,0.631267,0.641812,0.67379,0.645309,0.492253,0.376847,0.343791,0.248871,0.179976,0.171085,0.213476,0.172732,0.13412,0.081854,0.081761,0.090358,0.111515,0.017928,0.056034,0.123596,0.249267,0.28211,0.302564,0.125,0.02765,0.013774,0.075556,1
0.055721,0.080583,0.045992,0.102473,0.19579,0.240896,0.415949,0.444542,0.402488,0.411411,0.415538,0.487837,0.537724,0.508198,0.694352,0.845308,1,0.924987,0.843257,0.787029,0.804174,0.873805,0.714104,0.601168,0.697251,0.830158,0.6133,0.465624,0.613324,0.689659,0.602027,0.437129,0.381077,0.400636,0.154137,0.191028,0.220752,0.099407,0.129792,0.330501,0.186219,0.243956,0.16449,0.145452,0.276656,0.301015,0.349511,0.448637,0.390207,0.237576,0.121514,0.168103,0.191011,0.193548,0.146789,0.14359,0.21875,0.029954,0.143251,0.057778,1
