@relation planning-weka.filters.unsupervised.attribute.NumericToNominal-R13-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute '  Delta' numeric
@attribute ' Theta' numeric
@attribute ' Alpha' numeric
@attribute ' Beta' numeric
@attribute ' Gamma' numeric
@attribute ' C3' numeric
@attribute ' C4' numeric
@attribute ' P3' numeric
@attribute ' P4' numeric
@attribute ' F3' numeric
@attribute ' F4' numeric
@attribute ' T3' numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute ' T4' {1,2}

@data
0.611362,0.397975,0.434049,0.47933,0.461323,0.43402,0.516877,0.616115,0.796997,0.533053,0.470664,0.262719,0.46452,0.054052,1
0.757754,0.384887,0.428141,0.313367,0.557237,0.366028,0.668484,0.663481,0.769983,0.537254,0.473532,0.186568,0.51215,0.732342,1
0.881919,0.476761,0.479267,0.423764,0.50238,0.451754,0.796024,0.739494,0.48511,0.350863,0.655635,0.510568,0.128717,0.569398,2
0.606192,0.690149,0.505161,0.582832,0.305708,0.712437,0.667695,0.383618,0.886608,1,0.141855,0.757483,0.028233,0.726412,2
0.580208,0.000499,0.224907,0.010202,0.621225,0.063129,0.368069,0.826156,0.390474,0.3608,0.65649,0.665926,0.696237,0.987467,1
0.795403,0.477998,0.487412,0.495132,0.465837,0.495478,0.669483,0.751058,0.426766,0.438386,0.56112,0.718532,0.755486,0.518093,2
0.536585,0.558596,0.608966,0.558729,0.503817,0.590935,0.550577,0.219001,0.615096,0.617428,0.40144,0.549409,0.855326,0.555179,1
0.412117,0.628211,0.130449,0.38352,0.105583,0.619133,0.42284,0.762082,0.544928,0.55697,0.457759,0.8143,0.889514,0.892139,1
0.707342,1,0.410356,0.574741,0,0.989869,0.725922,0.499456,0,0.216849,0.84261,0.92039,0.741766,0.434271,1
0.573904,0.37969,0.622854,0.504012,0.681364,0.396054,0.502576,0.417291,0.714537,0.597699,0.422104,0.449172,0.701364,0.33186,1
0.721509,0.6002,0.471517,0.535207,0.436704,0.537394,0.773682,0.493464,0.884558,0.789625,0.216187,0.38905,0.008143,0.570198,1
0.794922,0.364208,0.475046,0.364217,0.596751,0.351035,0.714485,0.585852,0.914076,0.68561,0.322206,0.264531,0.455249,0.55175,1
0.627813,0.355404,0.524836,0.417206,0.601401,0.38037,0.557748,0.546998,0.364361,0.382003,0.6518,0.621438,0.580792,0.369928,1
0.632703,0.720914,0.478945,0.609927,0.216504,0.76062,0.6085,0.436277,0.729486,0.548688,0.456912,0.350568,0.150387,0.697987,1
0.629269,0.058287,0.588442,0.182281,0.902426,0.101698,0.497009,0.70848,0.56603,0.60448,0.433367,0.580928,0.509362,0.630427,1
0.821565,0.504559,0.876064,0.654973,0.762463,0.546281,0.702591,0.648715,0.442896,0.392821,0.635346,0.552962,0.056822,0.375853,1
0.641995,0.444122,0.464003,0.260681,0.579684,0.423793,0.613868,0.442049,0.577784,0.584925,0.45109,0.54579,0.857884,0.445771,2
0.759692,0.727508,0.380298,0.423636,0.229071,0.699812,0.760324,0.457311,0.846828,0.726533,0.273804,0.385607,0.012183,0.277455,2
0.849746,0.605935,0.764105,0.461213,0.700611,0.556329,0.914542,0.396294,0.732549,0.717378,0.351296,0.519846,0.286413,0.013204,1
0.554604,0.364736,0.348404,0.147471,0.441994,0.42523,0.425077,0.576651,0.798816,0.635552,0.38309,0.339113,0.099657,0.203576,2
0.564246,0.592099,0.609933,0.464667,0.562917,0.577133,0.563248,0.585605,0.727639,0.58075,0.441694,0.374583,0.828777,0.357091,1
0.541669,0.678682,0.451309,0.51226,0.286538,0.704925,0.489106,0.592276,0.883144,0.654344,0.360777,0.256127,0.637006,0.700279,1
0.586295,0.476453,0.609935,0.537834,0.612042,0.47157,0.632641,0.175163,0.522848,0.542454,0.464427,0.629108,0.384648,0.994609,2
0.835039,0.461113,0.75787,0.578333,0.775983,0.424999,0.852169,0.307175,0.629244,0.508262,0.505215,0.430636,0.372283,0.363884,1
0.661787,0.632096,0.925663,0.784801,0.769668,0.620618,0.717488,0.184463,0.744774,0.529009,0.496869,0.221148,0.613101,0.478125,2
0.652112,0.374492,0.56585,0.428485,0.575771,0.435284,0.56215,0.45251,0.825202,0.7275,0.270033,0.42769,0.404004,0.107188,1
0.674631,0.542852,0.932121,1,0.700862,0.587872,0.704677,0.231093,0.837647,0.727654,0.265396,0.369704,0.240012,0.566639,1
0.76592,0.493408,0.102226,0.415417,0.041661,0.527167,0.712169,0.275756,0.73132,0.728006,0.278239,0.522747,0.621798,0.325325,2
0.81704,0.409003,0.237384,0.457028,0.232396,0.447243,0.682818,0.652263,0.674119,0.636496,0.378506,0.53917,0.273115,0.502238,1
0.788569,0.674592,0.590404,0.559123,0.429528,0.666771,0.783195,0.365383,1,0.934141,0.067576,0.374075,0.398165,0.951387,1
0.778923,0.427812,0.324593,0.409913,0.382562,0.415843,0.703776,0.608129,0.734745,0.535342,0.484796,0.302367,0.256206,0.497464,1
0.500768,0.544526,0.323369,0.220442,0.333099,0.561756,0.434892,0.637399,0.541202,0.40297,0.605666,0.486054,0.852801,0.849989,1
0.731243,0.241952,0.654902,0.36536,0.849054,0.218853,0.756058,0.302871,0.309481,0.539726,0.494052,0.846808,0.487945,0.075569,1
0.805925,0.720305,0.778918,0.780953,0.50017,0.718341,0.837627,0.397954,0.550683,0.496058,0.511787,0.543021,0.257973,0.861155,2
0.516628,0.470281,0.340809,0.400826,0.325456,0.519322,0.468427,0.309671,0.554328,0.581443,0.443593,0.582807,0.080893,0.348043,2
0.638766,0.145169,0.740418,0.435503,0.975261,0.169342,0.561237,0.499551,0.588277,0.487039,0.540039,0.44867,0.056797,0.07746,1
0.757365,0.839892,0.543147,0.859329,0.014535,0.987264,0.537488,0.746264,0.764696,0.725886,0.319147,0.440479,0.842881,0.662436,1
0.582877,0.790907,0.721045,0.705338,0.440198,0.785108,0.703504,0.069604,0.397021,0.649168,0.372796,0.843846,0.525818,0.614094,1
0.622197,0.44907,0.73084,0.726307,0.621577,0.491927,0.593144,0.368348,0.735255,0.63429,0.401334,0.391117,0.22547,0.308371,2
0.661948,0.481238,0.415121,0.305447,0.469909,0.471063,0.625003,0.455139,0.642161,0.467984,0.545553,0.39658,0.329108,0.214537,1
0.742272,0.536882,0.584182,0.471999,0.553864,0.536563,0.634958,0.780535,0.601502,0.416519,0.621212,0.35127,0.003259,0.130761,1
0.67368,0.284039,0.540175,0.378742,0.680555,0.31714,0.584987,0.370147,0.416594,0.400891,0.637295,0.587681,0.083183,0.523776,1
0.82112,0.45887,0.730123,0.414036,0.788218,0.405466,0.85226,0.397727,0.827367,0.674534,0.368091,0.338091,0.922935,0.966665,2
0.856077,0.525355,0.61978,0.626322,0.581398,0.485063,0.84132,0.591411,0.850134,0.603011,0.396634,0.267013,0.580343,0.756519,1
0.67147,0.447972,0.360998,0.375724,0.440184,0.42676,0.644253,0.56608,0.342637,0.502518,0.533129,0.802104,0.292451,0.795816,2
0.665637,0.23671,0.539156,0.123883,0.845916,0.199768,0.631108,0.498811,0.626302,0.593721,0.433801,0.485909,0.502637,0.789602,1
0.523957,0.10829,0.569539,0.275434,0.838081,0.158006,0.439913,0.468653,0.490781,0.38311,0.619582,0.542739,0.368387,0.374743,1
0.455866,0.386483,0.695732,1,0.495014,0.515841,0.313591,0.451211,0.394395,0.521944,0.496293,0.916068,0.299428,0.415818,2
0.798738,0.613068,0,0,0.131376,0.497313,0.816352,0.607462,0.85869,0.763843,0.257907,0.381176,0.443503,0.910564,2
0.770652,0.366766,0.502827,0.400081,0.743798,0.221414,1,0,0.666165,0.704476,0.355136,0.55562,0.398669,0.610621,2
0.446675,0.800713,0.971894,0.915156,0.57851,0.88284,0.408461,0.494536,0.801592,0.656429,0.358164,0.379336,0.736686,0.022884,1
0.647818,0.736286,0.386459,0.520106,0.129735,0.78314,0.549163,0.72116,0.80411,0.607477,0.409901,0.304212,0.075249,0.183695,1
0.713537,0.514682,0.710403,0.47644,0.756587,0.466226,0.727412,0.387236,0.924723,0.648458,0.362662,0.168388,0.543947,0.84087,1
0.397805,0.384752,0.468353,0.394064,0.474294,0.485562,0.307431,0.253187,0.756507,0.634693,0.378209,0.401276,0.109399,0.114122,1
0.608383,0.228331,0.519896,0.385409,0.635539,0.310517,0.43937,0.728281,0.599867,0.566296,0.445694,0.548464,0.621802,0.58747,1
0.821808,0.206399,0.719852,0.399568,1,0.150654,0.831433,0.308134,0.352725,0.442509,0.589483,0.702921,0.833932,0.200893,1
0.545864,0.240426,0.696764,0.409894,0.825692,0.280134,0.431562,0.378281,0.535919,0.530236,0.4729,0.710464,0.443327,0.413871,1
0.743439,0.053958,0.544885,0.170494,0.96679,0,0.663919,0.340873,0.769054,0.995515,0.146731,1,0.291178,0.399759,1
0.628264,0.513528,0.60747,0.623432,0.468239,0.60015,0.507812,0.489167,0.732587,0.632292,0.382022,0.445018,0.792389,0.564656,2
0.361405,0.555958,0.947015,0.685261,0.842022,0.594496,0.337227,0.61184,0.845207,0.500145,0.495577,0.20619,0.998788,0.362949,1
0.231299,0.73891,0.72309,0.675885,0.444241,0.823952,0.257793,0.15295,0.867671,0.836062,0.189641,0.381706,0.142953,0.177787,1
0.728442,0.506285,0.482833,0.538112,0.425057,0.515131,0.671316,0.626996,0.669712,0.54128,0.493798,0.368605,0.258143,0.249995,1
0.876313,0.523721,0.404751,0.533758,0.388319,0.479665,0.841516,0.668526,0.678259,0.536507,0.474665,0.415505,0.408117,0.153385,2
0.848306,0.84704,0.646461,0.869061,0.188622,0.917353,0.765273,0.376329,0.729217,0.497156,0.509838,0.311744,0.029963,0.83597,1
0.706469,0.637069,0.334258,0.671477,0.093709,0.704047,0.595258,0.573261,0.690079,0.593861,0.427355,0.451677,0.937434,0.561447,2
0.508621,0.57366,0.401717,0.598534,0.238494,0.658305,0.429261,0.443526,0.685481,0.58862,0.440221,0.430015,0.148717,0.307651,2
0.608383,0.228331,0.519896,0.385409,0.635539,0.310517,0.43937,0.728281,0.599867,0.566296,0.445694,0.548464,0.091284,0.001,1
0.832113,0.325428,0.434871,0.466309,0.561661,0.316277,0.762418,0.348844,0.870842,0.608752,0.417637,0.157032,0.050816,0.908651,1
0.519637,0.3815,0.35535,0.377161,0.363758,0.465729,0.391215,0.539166,0.372434,0.148418,0.862575,0.459154,0.327512,0.17182,2
0.603958,0.569629,0.492275,0.37094,0.517913,0.509575,0.655812,0.500156,0.668129,0.390497,0.616167,0.267212,0.251115,0.771338,1
0.849568,0.698444,0.593451,0.448956,0.380353,0.753244,0.694134,0.803766,0.824692,0.458472,0.528647,0,0.498245,0.674759,1
0.779134,0.445234,0.610304,0.782803,0.529245,0.475806,0.691162,0.646106,0.523299,0.60472,0.421033,0.682227,0.518056,0.856314,1
0.991719,0.897207,0.439413,0.690111,0.083684,0.865367,1,0.347584,0.496875,0.646745,0.389219,0.706569,0.973721,0.717819,1
0.635319,0.958931,0.711571,0.808446,0.306897,0.934406,0.73599,0.313822,0.725163,0.629037,0.401579,0.356089,0.069884,0.909555,2
0.593689,0.437812,0.820879,0.619792,0.815503,0.451522,0.559325,0.558831,0.847072,0.597825,0.415415,0.22111,0.285196,0.972512,2
0.536769,0.339797,0.640602,0.455272,0.704827,0.380158,0.509815,0.396017,0.717617,0.865827,0.156907,0.623648,0.142678,0.742757,1
0.421977,0.083091,0.15277,0.069147,0.557422,0.075517,0.384323,0.612073,0.578542,0.481121,0.527255,0.503644,0.210415,0.298681,1
0.860449,0.157205,0.564487,0.377973,0.850845,0.106228,0.87198,0.299664,0.56184,0.442012,0.58211,0.409,0.965486,0.94423,2
0.453111,0.601337,0.81371,0.66667,0.632685,0.658864,0.465579,0.226216,0.641281,0.518046,0.487157,0.432692,0.612828,0.435836,1
0.575812,0.707123,0.154513,0.142982,0.093064,0.67271,0.598387,0.489086,0.770046,0.706722,0.317495,0.426349,0.518721,0.335684,1
0.752267,0.660212,0.46514,0.590695,0.205323,0.741034,0.677337,0.14029,0.518902,0.547496,0.469786,0.601899,0.889696,0.04518,1
0.624534,0.683131,0.640312,0.891283,0.310935,0.769757,0.505737,0.726003,0.444743,0.168052,0.851102,0.408454,0.448988,0.104486,2
0.121136,0,0.508037,0.266603,0.824219,0.109885,0,0.722514,0.597664,0.584375,0.451743,0.525764,0.584402,0.678909,1
0.707892,0.475708,1,0.877242,0.856269,0.533228,0.624409,0.533692,0.742459,0.770493,0.251226,0.5284,0.166885,0.561509,1
0.601397,0.55008,0.379093,0.524862,0.288381,0.566033,0.580257,0.529513,0.507864,0.206365,0.794935,0.337445,0.574756,0.351971,1
0.489208,0.639029,0.394789,0.579192,0.144737,0.769724,0.301916,0.723285,0.722006,0.541382,0.470075,0.391896,0.46386,0.901424,2
0.670606,0.321672,0.606994,0.704214,0.612471,0.360447,0.609618,0.588619,0.645184,0.537109,0.481523,0.430607,0.261752,0.396389,1
0.689434,0.534375,0.874538,0.678215,0.788444,0.527522,0.706318,0.430604,0.418899,0.523642,0.501906,0.693738,0.950028,0.175304,1
0.653693,0.458148,0.603393,0.458352,0.55998,0.52646,0.512063,0.552275,0.758767,0.479693,0.528827,0.27886,0.352189,0.189338,1
0.571146,0.434451,0.380223,0.277588,0.490712,0.390921,0.638316,0.403252,0.721926,0.644548,0.360979,0.437051,0.236937,0.924684,1
0.529721,0.272348,0.418266,0.581707,0.419396,0.386449,0.354911,0.759295,0.44065,0.497532,0.54816,0.642895,0.153778,0.163604,2
0.858393,0.341708,0.725778,0.447091,0.883631,0.283304,0.826763,0.684493,0.761365,0.54811,0.456455,0.338489,0.067587,0.571679,1
0.989702,0.544237,0.489358,0.649535,0.424301,0.512835,0.922512,0.628978,0.742309,0.756026,0.256255,0.558913,0.782782,0.232635,1
0.42747,0.27358,0.237514,0.298183,0.422443,0.291273,0.435032,0.236069,0.54879,0.380895,0.621489,0.406175,0.530557,0.711589,1
0.802808,0.760921,0.351599,0.586737,0.064658,0.805953,0.693734,0.466407,0.389004,0,1,0.307312,0.321931,0.392312,1
0.635072,0.380438,0.575278,0.603696,0.590855,0.405345,0.57573,0.64364,0.555931,0.564494,0.465702,0.564622,0.085953,0.91237,1
0.689555,0.381884,0.628008,0.516487,0.728763,0.348541,0.724644,0.352753,0.813863,0.851976,0.134281,0.59035,0.760332,0.797689,2
0.913102,0.331837,0.433265,0.548713,0.491406,0.330315,0.846914,0.4768,0.600527,0.450249,0.565656,0.399555,0.377919,0.48963,1
0.696961,0.186623,0.466864,0.441231,0.671902,0.214911,0.563297,0.68223,0.708838,0.454855,0.546827,0.329576,0.497234,0.05532,2
0.44682,0.482875,0.448695,0.591321,0.333864,0.580684,0.369261,0.287937,0.505416,0.445217,0.580549,0.528074,0.711813,0.996329,1
0.424204,0.161883,0.47237,0.52586,0.619858,0.246196,0.355696,0.324036,0.403775,0.502057,0.523505,0.731645,0.298013,0.820457,1
0.728442,0.506285,0.482833,0.538112,0.425057,0.515131,0.671316,0.626996,0.669712,0.54128,0.493798,0.368605,0.633683,0.843091,1
0.67509,0.603796,0.686067,0.525592,0.525053,0.655058,0.600906,0.435807,0.568509,0.673156,0.344514,0.69954,0.853381,0.043248,2
0.595275,0.480197,0.911438,0.663652,0.832497,0.51045,0.592584,0.346778,0.574309,0.329955,0.688204,0.292188,0.265522,0.548076,1
0,0.314584,0.539839,0.624343,0.560787,0.4181,0.061109,0.029487,0.483581,0.261985,0.748902,0.370301,0.511824,0.369221,1
0.674524,0.229059,0.255478,0.598315,0.350691,0.304371,0.448167,0.591495,0.531194,0.53972,0.476513,0.685642,0.921854,0.604586,1
0.862311,0.47877,0.445074,0.51941,0.337031,0.538038,0.733708,0.514237,0.751741,0.772459,0.236322,0.538689,0.330419,0.266719,2
0.859606,0.488262,0.56731,0.448192,0.677432,0.378291,0.919378,0.529913,0.951901,0.725312,0.27697,0.229476,0.061501,0.850116,1
0.592668,0.402708,0.337892,0.329283,0.431208,0.408235,0.54249,0.520887,0.722073,0.667731,0.361526,0.448035,0.320654,0.427581,1
0.767155,0.994952,0.816905,0.918487,0.31699,1,0.779498,0.530342,0.890236,0.728892,0.279126,0.302146,0.812972,0.522294,1
0.46014,0.689411,0.133329,0.284849,0.049646,0.691973,0.529687,0.433999,0.540682,0.481144,0.521706,0.462943,0.653571,0.86724,2
0.752017,0.529487,0.93814,0.740994,0.835198,0.527175,0.706137,0.758391,0.581877,0.477581,0.543072,0.483986,0.152726,0.895185,1
0.901315,0.378927,0.65028,0.517339,0.746638,0.329278,0.887273,0.513194,0.497245,0.330014,0.67354,0.482141,0.632484,0.936557,1
0.739435,0.324121,0.755503,0.61117,0.837474,0.333784,0.615454,0.858623,0.521678,0.1242,0.882014,0.259475,0.312639,0.503667,1
0.50897,0.788962,0.675815,0.620442,0.422717,0.781456,0.629588,0.111929,0.156685,0.53598,0.510067,1,0.441716,0.150081,1
0.7555,0.31014,0.550649,0.443034,0.620802,0.369917,0.579619,0.640042,0.561316,0.341912,0.676663,0.374744,0.146308,0.484119,1
0.819344,0.673575,0.442726,0.618549,0.245088,0.664422,0.794923,0.626893,0.975797,1,0,0.458049,0.036277,0.33406,1
