@relation blood-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R5-weka.filters.unsupervised.attribute.Discretize-B2-M-1.0-R5-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute 'Recency (months)' numeric
@attribute 'Frequency (times)' numeric
@attribute 'Monetary (c.c. blood)' numeric
@attribute 'Time (months)' numeric
@attribute NewNumeric0 numeric
@attribute 'whether he/she donated blood in March 2007' {0,1}

@data
0.054054,0.102041,0.102041,0.34375,0.261742,0
0.310811,0,0,0.21875,0.590381,0
0.283784,0,0,0.197917,0.04864,0
0.148649,0.020408,0.020408,0.197917,0.986237,0
0.189189,0.061224,0.061224,0.375,0.023719,0
0.027027,0.081633,0.081633,0.09375,0.484196,1
0.027027,0.020408,0.020408,0.09375,0.13451,0
0.351351,0.081633,0.081633,0.489583,0.286387,1
0.189189,0.040816,0.040816,0.322917,0.125719,0
0.027027,0.306122,0.306122,0.645833,0.809711,0
0.189189,0,0,0.125,0.11991,0
0.027027,0,0,0,0.338374,0
0.054054,0.020408,0.020408,0.458333,0.16106,0
0.027027,0,0,0,0.460432,0
0.189189,0.040816,0.040816,0.34375,0.649119,0
0.310811,0,0,0.21875,0.245685,0
0.283784,0,0,0.197917,0.419494,0
0.216216,0.102041,0.102041,0.34375,0.863822,1
0.283784,0.122449,0.122449,0.375,0.575307,0
0.027027,0.183673,0.183673,0.645833,0.569001,0
0.310811,0.061224,0.061224,0.447917,0.809422,0
0.310811,0.061224,0.061224,0.53125,0.632299,0
0.283784,0,0,0.197917,0.307772,0
0.027027,0.040816,0.040816,0.78125,0.657356,0
0.310811,0.040816,0.040816,0.479167,0.808782,0
0.283784,0,0,0.197917,0.615525,0
0.027027,0,0,0,0.612122,0
0.027027,0,0,0,0.0618,0
0.148649,0.142857,0.142857,0.40625,0.343196,1
0.027027,0.061224,0.061224,0.145833,0.096587,0
0.027027,0.040816,0.040816,0.197917,0.850363,0
0.027027,0,0,0,0.303977,0
0.148649,0.081633,0.081633,0.375,0.455784,0
0.283784,0.020408,0.020408,0.197917,0.785761,0
0.027027,0.204082,0.204082,0.270833,0.816801,0
0.189189,0,0,0.125,0.511203,0
0.054054,0,0,0.020833,0.255128,0
0.027027,0.387755,0.387755,0.447917,0.082983,1
0.054054,0.367347,0.367347,0.697917,0.650892,1
0.216216,0.122449,0.122449,0.385417,0.07522,0
0.148649,0.204082,0.204082,0.416667,0.906188,0
0.148649,0.081633,0.081633,0.322917,0.803743,0
0.027027,0.204082,0.204082,0.21875,0.789564,0
0.027027,0.122449,0.122449,0.3125,0.543483,1
0.027027,0,0,0,0.363537,0
0.121622,0.040816,0.040816,0.520833,0.193032,0
0.189189,0.081633,0.081633,0.645833,0.559282,0
0.094595,0.081633,0.081633,0.34375,0.409902,0
0.054054,0.306122,0.306122,0.708333,0.137115,1
0.027027,0.020408,0.020408,0.020833,0.588068,1
0.148649,0.020408,0.020408,0.09375,0.802051,0
0.310811,0.22449,0.22449,0.875,0.336197,0
0.081081,0.020408,0.020408,0.09375,0.627751,1
0.027027,0.163265,0.163265,0.354167,0.532965,0
0.040541,0.020408,0.020408,0.21875,0.879728,0
0.27027,0.265306,0.265306,0.697917,0.605516,1
0.054054,0.020408,0.020408,0.072917,0.47305,1
0.027027,0.040816,0.040816,0.125,0.497073,0
0.310811,0,0,0.21875,0.507515,0
0.283784,0.040816,0.040816,0.34375,0.286763,0
0.148649,0.142857,0.142857,0.520833,0.903786,1
0.054054,0.081633,0.081633,0.21875,0.603665,1
0.148649,0.020408,0.020408,0.708333,0.130119,0
0.310811,0.020408,0.020408,0.21875,0.671045,0
0.040541,0.183673,0.183673,0.322917,0.32678,1
0.310811,0.081633,0.081633,0.583333,0.936731,0
0.027027,0.040816,0.040816,0.34375,0.973101,0
0.283784,0.040816,0.040816,0.25,0.03095,1
0.054054,0.183673,0.183673,0.270833,0.222305,1
0.148649,0.102041,0.102041,0.583333,0.061053,0
0.027027,0.040816,0.040816,0.375,0.477053,1
0.081081,0.040816,0.040816,0.25,0.648829,0
0.216216,0.306122,0.306122,0.78125,0.97238,0
0.175676,0.122449,0.122449,0.770833,0.364351,0
0.054054,0.102041,0.102041,0.520833,0.553736,0
0.148649,0.020408,0.020408,0.09375,0.362064,0
0.135135,0.081633,0.081633,0.375,0.420887,0
0.189189,0.040816,0.040816,0.25,0.71018,0
0.040541,0.061224,0.061224,0.28125,0.99099,1
0.027027,0,0,0,0.581263,0
0.040541,0.306122,0.306122,0.75,0.807272,0
0.135135,0.142857,0.142857,0.385417,0.676385,0
0.027027,0.102041,0.102041,0.34375,0.377166,1
0.054054,0.081633,0.081633,0.21875,0.851614,0
0.148649,0.102041,0.102041,0.71875,0.212637,0
0.189189,0.061224,0.061224,0.25,0.346309,0
0.027027,0.061224,0.061224,0.145833,0.116051,0
0.027027,0.122449,0.122449,0.78125,0.548124,0
0.027027,0.306122,0.306122,0.822917,0.810392,0
0.310811,0.020408,0.020408,0.375,0.218594,0
0.148649,0.040816,0.040816,0.135417,0.459663,0
0.013514,0.469388,0.469388,0.78125,0.222231,0
0,0.020408,0.020408,0.020833,0.023162,0
0.040541,0.265306,0.265306,0.34375,0.306252,0
0.054054,0.020408,0.020408,0.125,0.999025,0
0.013514,0.183673,0.183673,0.427083,0.450283,1
0.054054,0.102041,0.102041,0.40625,0.15349,1
0.216216,0.020408,0.020408,0.145833,0.906887,0
0.027027,0.081633,0.081633,0.145833,0.721952,1
0.027027,0.102041,0.102041,0.760417,0.773632,0
0.054054,0.122449,0.122449,0.583333,0.177955,0
0.094595,0.204082,0.204082,0.90625,0.843261,0
0.216216,0.040816,0.040816,0.21875,0.572088,0
0.027027,0.408163,0.408163,0.520833,0.46561,1
0.054054,0,0,0.020833,0.172601,0
0.013514,0.265306,0.265306,0.583333,0.197085,0
0.054054,0.183673,0.183673,0.270833,0.424866,1
0.189189,0,0,0.125,0.412399,0
0.148649,0,0,0.09375,0.272213,0
0.054054,0.040816,0.040816,0.145833,0.688752,0
0.054054,0.306122,0.306122,1,0.533781,1
0.216216,0,0,0.145833,0.352829,0
0.027027,0.020408,0.020408,0.083333,0.156717,1
0.148649,0,0,0.09375,0.891913,0
0.094595,0.020408,0.020408,0.145833,0.794274,0
0.054054,0.040816,0.040816,0.270833,0.086369,0
0.027027,0.163265,0.163265,0.208333,0.80512,1
0.054054,0.081633,0.081633,0.270833,0.414127,0
0.189189,0.040816,0.040816,0.25,0.622771,0
0.148649,0.081633,0.081633,0.166667,0.029127,0
0.283784,0.020408,0.020408,0.239583,0.660686,0
0.054054,0.040816,0.040816,0.145833,0.023489,1
0.148649,0,0,0.09375,0.85481,1
0.189189,0,0,0.125,0.674394,0
0.027027,0.142857,0.142857,0.375,0.410622,1
0.283784,0,0,0.197917,0.456,0
0.027027,0.122449,0.122449,0.125,0.828934,1
0.027027,0.040816,0.040816,0.072917,0.097279,1
0.216216,0.142857,0.142857,0.770833,0.29938,0
0.216216,0,0,0.145833,0.299591,0
0.027027,0.040816,0.040816,0.020833,0.741938,1
0.027027,0.244898,0.244898,0.53125,0.63228,1
0.189189,0.020408,0.020408,0.125,0.266737,1
0.013514,0.163265,0.163265,0.510417,0.918083,0
0.148649,0.040816,0.040816,0.364583,0.436279,0
0.283784,0,0,0.197917,0.248078,0
0.054054,0.020408,0.020408,0.020833,0.230148,0
0.189189,0,0,0.125,0.851998,0
0.189189,0,0,0.125,0.011878,0
0.027027,0.020408,0.020408,0.020833,0.945663,1
0.189189,0,0,0.125,0.515419,0
0.027027,0.020408,0.020408,0,0.513038,0
0.310811,0.020408,0.020408,0.270833,0.04226,0
0.054054,0.020408,0.020408,0.020833,0.713858,1
0.094595,0.081633,0.081633,0.520833,0.780598,0
0.054054,0.020408,0.020408,0.020833,0.27516,0
0.216216,0.020408,0.020408,0.145833,0.718922,0
0.310811,0,0,0.21875,0.19061,0
0.013514,0.22449,0.22449,0.34375,0.775013,0
0.216216,0.102041,0.102041,0.822917,0.257556,0
0.054054,0.020408,0.020408,0.020833,0.947987,0
0.054054,0,0,0.020833,0.198877,0
0.054054,0.020408,0.020408,0.291667,0.92874,0
0.148649,0.22449,0.22449,0.583333,0.19351,0
0.027027,0.061224,0.061224,0.125,0.279688,1
0.148649,0.122449,0.122449,0.625,0.75274,1
0.175676,0.040816,0.040816,0.125,0.077336,1
0.148649,0.020408,0.020408,0.09375,0.78395,0
0.148649,0.102041,0.102041,0.40625,0.563891,0
0.054054,0.163265,0.163265,0.395833,0.962356,0
0.283784,0.040816,0.040816,0.34375,0.592503,0
0.054054,0.387755,0.387755,0.697917,0.845667,1
0.148649,0.040816,0.040816,0.395833,0.393821,1
0.189189,0.122449,0.122449,0.34375,0.50562,0
0.094595,0.183673,0.183673,0.46875,0.811403,0
0.189189,0.346939,0.346939,0.791667,0.381553,0
0.148649,0.102041,0.102041,0.260417,0.725356,0
0.054054,0.081633,0.081633,0.145833,0.979939,1
0.148649,0.020408,0.020408,0.197917,0.935685,0
0.189189,0.081633,0.081633,0.270833,0.423839,0
0.040541,0.408163,0.408163,0.416667,0.540687,1
0.108108,0.142857,0.142857,0.520833,0.499241,1
0.148649,0,0,0.09375,0.505844,0
0.054054,0.081633,0.081633,0.125,0.131192,1
0.189189,0.142857,0.142857,0.458333,0.062854,0
0.121622,0.142857,0.142857,0.375,0.359379,1
0.027027,0.020408,0.020408,0.09375,0.147345,1
0.189189,0.020408,0.020408,0.34375,0.156689,1
0.310811,0,0,0.21875,0.821588,0
0.216216,0.040816,0.040816,0.34375,0.459346,0
0.189189,0.122449,0.122449,0.46875,0.532035,0
0.148649,0.102041,0.102041,0.25,0.746017,0
0.054054,0.102041,0.102041,0.291667,0.821121,0
0.054054,0.020408,0.020408,0.020833,0.436199,0
0.148649,0.061224,0.061224,0.583333,0.401673,0
0.121622,0.020408,0.020408,0.520833,0.373953,0
0.243243,0.142857,0.142857,0.96875,0.167026,0
0.189189,0.142857,0.142857,0.25,0.148385,0
0.027027,0.081633,0.081633,0.145833,0.059971,1
0.054054,0.142857,0.142857,0.458333,0.981978,1
0.189189,0.061224,0.061224,0.572917,0.771893,0
0.027027,0.020408,0.020408,0.09375,0.225139,1
0.027027,0,0,0,0.955383,0
0.162162,0.244898,0.244898,0.59375,0.041091,0
0.054054,0.265306,0.265306,0.395833,0.178548,0
0.148649,0.081633,0.081633,0.34375,0.888893,0
0.189189,0,0,0.125,0.848922,0
0.054054,0,0,0.020833,0.731217,0
0.013514,0.265306,0.265306,0.96875,0.114747,0
0.175676,0.040816,0.040816,0.145833,0.153156,0
0.067568,0.918367,0.918367,1,0.589635,1
0.283784,0.020408,0.020408,0.21875,0.502249,0
0.054054,0.102041,0.102041,0.21875,0.124713,1
0.027027,0.102041,0.102041,0.145833,0.800055,1
0.027027,0.102041,0.102041,0.25,0.704896,1
0.027027,0.163265,0.163265,0.760417,0.161674,0
0.148649,0.040816,0.040816,0.25,0.510569,0
0.054054,0.204082,0.204082,0.614583,0.249759,0
0.189189,0.102041,0.102041,0.510417,0.853548,0
0.310811,0,0,0.21875,0.419815,0
0.054054,0.081633,0.081633,0.322917,0.860692,1
0.054054,0,0,0.020833,0.548256,0
0.054054,0.142857,0.142857,0.333333,0.686944,1
0.027027,0.102041,0.102041,0.208333,0.516165,1
0.283784,0.020408,0.020408,0.197917,0.642176,1
0.054054,0.061224,0.061224,0.458333,0.22046,0
0.216216,0,0,0.145833,0.816303,0
0.054054,0.44898,0.44898,0.583333,0.148854,0
0.283784,0.040816,0.040816,0.395833,0.691056,0
0.310811,0.061224,0.061224,0.520833,0.662385,0
0.216216,0,0,0.145833,0.394332,0
0.189189,0.020408,0.020408,0.125,0.43424,0
0.027027,0.673469,0.673469,0.78125,0.946645,1
0.054054,0,0,0.020833,0.079128,0
0.189189,0.020408,0.020408,0.145833,0.284897,0
0.027027,0.244898,0.244898,0.770833,0.034695,1
0.027027,0.020408,0.020408,0.020833,0.445262,0
0.121622,0.040816,0.040816,0.333333,0.714676,0
0.027027,0.102041,0.102041,0.46875,0.916621,0
0.027027,0.020408,0.020408,0.125,0.910073,0
0.027027,0.122449,0.122449,0.270833,0.413846,1
0.054054,0.061224,0.061224,0.145833,0.26502,0
0.027027,0.183673,0.183673,0.520833,0.694554,0
0.189189,0.061224,0.061224,0.645833,0.371959,0
0.189189,0.020408,0.020408,0.125,0.285381,0
0.054054,0.061224,0.061224,0.125,0.917878,1
0.054054,0.163265,0.163265,0.270833,0.278682,0
0.027027,0.102041,0.102041,0.145833,0.249695,1
0,0.510204,0.510204,0.770833,0.595749,1
0.108108,0.163265,0.163265,0.645833,0.420274,0
0.216216,0,0,0.145833,0.128843,0
0.054054,0.204082,0.204082,0.96875,0.013307,0
0.972973,0,0,0.729167,0.015601,0
0.216216,0.285714,0.285714,0.885417,0.93952,0
0.216216,0,0,0.145833,0.462667,0
0.054054,0,0,0.020833,0.640829,0
0.054054,0.102041,0.102041,0.125,0.220998,0
0.054054,0.163265,0.163265,0.552083,0.253646,0
0.148649,0.020408,0.020408,0.520833,0.176524,0
0.216216,0.061224,0.061224,0.270833,0.866184,0
0.027027,0.061224,0.061224,0.21875,0.913027,0
0.189189,0.040816,0.040816,0.40625,0.98406,0
0.027027,0.122449,0.122449,0.28125,0.338987,0
0.216216,0.183673,0.183673,0.625,0.198616,0
0.216216,0.122449,0.122449,0.947917,0.059319,0
0.027027,0.122449,0.122449,0.34375,0.16627,1
0.054054,0.081633,0.081633,0.34375,0.582162,1
0.310811,0.102041,0.102041,0.447917,0.765853,0
0.027027,0,0,0,0.349306,1
0.054054,0.102041,0.102041,0.375,0.443703,1
0.216216,0,0,0.145833,0.088315,0
0.054054,0.020408,0.020408,0.072917,0.600518,0
0.148649,0.183673,0.183673,0.34375,0.930262,0
0.148649,0.040816,0.040816,0.21875,0.565224,0
0.027027,0.163265,0.163265,0.75,0.897519,0
0.054054,0.122449,0.122449,0.3125,0.462979,1
0.027027,0.020408,0.020408,0.322917,0.722633,0
0.054054,0.163265,0.163265,0.375,0.668659,1
0.054054,0.081633,0.081633,0.25,0.946643,1
0.040541,0.081633,0.081633,0.104167,0.673667,1
0.054054,0.061224,0.061224,0.020833,0.000832,0
0.054054,0.163265,0.163265,0.25,0.040679,1
0.148649,0.142857,0.142857,0.458333,0.590793,0
0.054054,0.081633,0.081633,0.333333,0.714072,0
0.189189,0.040816,0.040816,0.270833,0.469638,0
0.027027,0.040816,0.040816,0.760417,0.657631,1
0.216216,0,0,0.145833,0.355437,0
0.148649,0.061224,0.061224,0.59375,0.54796,0
0.054054,0.102041,0.102041,0.427083,0.766526,0
0.027027,0,0,0,0.832422,0
0.310811,0.040816,0.040816,0.34375,0.320692,0
0.216216,0.122449,0.122449,0.270833,0.713045,0
0.094595,0.163265,0.163265,0.90625,0.176702,1
0.054054,0.081633,0.081633,0.75,0.719316,0
0.283784,0,0,0.197917,0.848907,0
0.310811,0,0,0.21875,0.238159,0
0.148649,0.428571,0.428571,1,0.360312,0
0.189189,0.020408,0.020408,0.125,0.261522,0
0.189189,0,0,0.125,0.33241,0
0.094595,0.265306,0.265306,0.479167,0.352183,0
0.189189,0.020408,0.020408,0.125,0.060235,0
0.216216,0.265306,0.265306,0.84375,0.405684,0
0.148649,0.061224,0.061224,0.333333,0.260436,0
0.027027,0.204082,0.204082,0.458333,0.768294,0
0.283784,0.040816,0.040816,0.708333,0.084082,0
0.283784,0.020408,0.020408,0.21875,0.052928,0
0.027027,0,0,0,0.182512,0
0.027027,0.081633,0.081633,0.46875,0.050799,1
0.027027,0.020408,0.020408,0.09375,0.335438,1
0.027027,0.22449,0.22449,0.96875,0.267838,0
0.189189,0.122449,0.122449,0.739583,0.080185,0
0.054054,0.020408,0.020408,0.020833,0.201643,0
0.027027,0.040816,0.040816,0.520833,0.307113,0
0.054054,0.061224,0.061224,0.020833,0.72478,1
0.189189,0.061224,0.061224,0.25,0.249775,0
0.148649,0.040816,0.040816,0.125,0.13986,0
0.189189,0.040816,0.040816,0.302083,0.24309,0
0.189189,0.020408,0.020408,0.125,0.235221,0
0.216216,0.081633,0.081633,0.604167,0.045923,0
0.027027,0.102041,0.102041,0.447917,0.189577,0
0.189189,0.020408,0.020408,0.125,0.126057,0
0.027027,0,0,0,0.470213,0
0.216216,0.040816,0.040816,0.458333,0.739007,0
0.027027,0.204082,0.204082,0.895833,0.040862,0
0.054054,0.326531,0.326531,0.71875,0.753878,1
0.189189,0.040816,0.040816,0.802083,0.668962,0
0.027027,0.122449,0.122449,0.583333,0.299094,1
0.121622,0.204082,0.204082,0.489583,0.902535,1
0.243243,0.020408,0.020408,0.21875,0.431001,0
0.027027,0.020408,0.020408,0.020833,0.207429,0
0.054054,0.122449,0.122449,0.520833,0.134879,0
0.148649,0.122449,0.122449,0.645833,0.727239,0
0.148649,0.122449,0.122449,0.364583,0.21982,0
0.472973,0.040816,0.040816,0.645833,0.390127,0
0.148649,0.020408,0.020408,0.15625,0.688172,0
0.027027,0.122449,0.122449,0.770833,0.456432,0
0.148649,0.142857,0.142857,0.729167,0.272126,0
0.189189,0.142857,0.142857,0.5,0.723834,0
0.310811,0.040816,0.040816,0.90625,0.312797,0
0.189189,0,0,0.125,0.206582,0
0.189189,0.020408,0.020408,0.197917,0.492293,1
0.216216,0.061224,0.061224,0.395833,0.233672,0
0.027027,0.102041,0.102041,0.25,0.051315,0
0.054054,0.142857,0.142857,0.395833,0.197766,1
0.216216,0.122449,0.122449,0.375,0.671495,0
0.189189,0.122449,0.122449,0.25,0.090003,0
0.054054,0.102041,0.102041,0.270833,0.763856,1
0.054054,0,0,0.020833,0.011955,0
0.216216,0.061224,0.061224,0.322917,0.276213,0
0.054054,0,0,0.020833,0.928878,1
0.054054,0,0,0.020833,0.560363,0
0.027027,0.285714,0.285714,0.645833,0.46071,0
0.121622,0.061224,0.061224,0.65625,0.274501,0
0.189189,0,0,0.125,0.769265,0
0.148649,0.163265,0.163265,0.375,0.640896,0
0.054054,0.122449,0.122449,0.239583,0.940585,0
0.027027,0.040816,0.040816,0.177083,0.739883,0
0.054054,0.061224,0.061224,0.427083,0.357032,1
0.310811,0.102041,0.102041,0.708333,0.458216,0
0.054054,0.061224,0.061224,0.333333,0.659472,1
0.148649,0.081633,0.081633,0.40625,0.485506,0
0.310811,0.265306,0.265306,0.947917,0.098691,0
0.189189,0.102041,0.102041,0.333333,0.582689,0
0.189189,0.061224,0.061224,0.291667,0.528209,0
0.027027,0.040816,0.040816,0.229167,0.650057,0
1,0,0,0.75,0.487155,0
0.189189,0.244898,0.244898,0.572917,0.771597,0
0.189189,0.306122,0.306122,0.708333,0.829198,0
0.283784,0,0,0.197917,0.982207,0
0.283784,0,0,0.197917,0.067255,0
0.027027,0.22449,0.22449,0.833333,0.523307,0
0.054054,0.102041,0.102041,0.46875,0.997361,0
0.148649,0,0,0.09375,0.551738,0
0.027027,0.061224,0.061224,0.34375,0.540554,0
0.189189,0,0,0.125,0.831269,0
0.027027,0.020408,0.020408,0.09375,0.978709,0
0.027027,0.020408,0.020408,0.208333,0.75325,0
0.054054,0.081633,0.081633,0.583333,0.566964,0
0.054054,0.122449,0.122449,0.520833,0.943682,0
0.067568,0.204082,0.204082,0.760417,0.667871,0
0.527027,0,0,0.385417,0.762247,0
0.202703,0.081633,0.081633,0.322917,0.184968,0
0.189189,0.081633,0.081633,0.75,0.6817,0
0.027027,0.142857,0.142857,0.34375,0.868347,1
0.216216,0.102041,0.102041,0.395833,0.053637,0
0.148649,0.040816,0.040816,0.770833,0.542723,0
0.054054,0.142857,0.142857,0.270833,0.272394,0
0.148649,0.469388,0.469388,0.645833,0.067878,0
0.22973,0.122449,0.122449,0.583333,0.199093,1
0.027027,0.020408,0.020408,0.125,0.809103,0
0.148649,0.306122,0.306122,0.90625,0.712238,0
0.121622,0.163265,0.163265,0.541667,0.076204,0
0.027027,0.061224,0.061224,0.145833,0.922443,0
0.054054,0.102041,0.102041,0.458333,0.716733,0
0.054054,0.020408,0.020408,0.020833,0.392729,1
0.027027,0,0,0,0.233608,0
0.121622,0.020408,0.020408,0.145833,0.311178,1
0.202703,0.306122,0.306122,0.833333,0.17833,0
0.027027,0.183673,0.183673,0.489583,0.091803,0
0.216216,0.081633,0.081633,0.71875,0.466038,0
0.027027,0.265306,0.265306,0.479167,0.157387,1
0.148649,0,0,0.09375,0.813183,0
0.162162,0.204082,0.204082,0.385417,0.463029,0
0.027027,0.142857,0.142857,0.270833,0.93623,1
0.148649,0.142857,0.142857,0.479167,0.632859,0
0.310811,0.040816,0.040816,0.322917,0.022328,0
0.121622,0,0,0.072917,0.83915,0
0.027027,0,0,0,0.420129,1
0.148649,0.326531,0.326531,0.802083,0.890778,1
0.054054,0.122449,0.122449,0.270833,0.459039,0
0.054054,0.142857,0.142857,0.25,0.507356,1
0.216216,0.040816,0.040816,0.395833,0.824048,0
0.148649,0,0,0.09375,0.730415,0
0.310811,0.020408,0.020408,0.885417,0.355453,0
0.189189,0,0,0.125,0.610709,0
0.175676,0.061224,0.061224,0.197917,0.450378,0
0.121622,0,0,0.072917,0.161375,0
0.148649,0.061224,0.061224,0.614583,0.186696,0
0.054054,0,0,0.020833,0.483531,0
0.216216,0.081633,0.081633,0.395833,0.718316,1
0.027027,0.102041,0.102041,0.270833,0.560433,0
0.054054,0,0,0.020833,0.580621,0
0.054054,0.081633,0.081633,0.09375,0.538056,1
0.148649,0.081633,0.081633,0.5,0.050918,0
0.148649,0,0,0.09375,0.126684,0
0.027027,0.040816,0.040816,0.145833,0.214275,1
0.027027,0.816327,0.816327,1,0.785541,1
0.027027,0,0,0,0.550972,1
0.054054,0,0,0.020833,0.509651,0
0.027027,0,0,0,0.677473,0
0.027027,0.040816,0.040816,0.208333,0.697034,0
0.054054,0,0,0.020833,0.905525,1
0.054054,0,0,0.020833,0.810236,1
0.310811,0,0,0.21875,0.92936,0
0.216216,0.204082,0.204082,0.395833,0.387379,0
0.216216,0,0,0.145833,0.682546,0
0.121622,0.163265,0.163265,0.375,0.635797,0
0.054054,0.081633,0.081633,0.583333,0.025616,0
0.054054,0.122449,0.122449,0.583333,0.040558,0
0.054054,0,0,0.020833,0.813105,0
0.027027,0.081633,0.081633,0.322917,0.528363,1
0.027027,0.081633,0.081633,0.25,0.251937,0
0.162162,0.204082,0.204082,0.21875,0.085325,0
0.216216,0,0,0.145833,0.588544,0
0.054054,0,0,0.020833,0.878937,0
0.216216,0.22449,0.22449,0.5,0.663715,0
0.054054,0.081633,0.081633,0.145833,0.877135,1
0.054054,0.22449,0.22449,0.333333,0.944544,1
0.148649,0.102041,0.102041,0.270833,0.391009,0
0.027027,0.22449,0.22449,1,0.302328,0
0.067568,0.102041,0.102041,0.270833,0.54571,0
0.054054,0.204082,0.204082,0.645833,0.152583,1
0.216216,0,0,0.145833,0.262888,0
0.283784,0,0,0.197917,0.035214,0
0.310811,0.142857,0.142857,0.458333,0.227132,0
0.027027,0.061224,0.061224,0.145833,0.294197,0
0.283784,0.020408,0.020408,0.34375,0.521114,0
0.027027,0.020408,0.020408,0.020833,0.049906,1
0.148649,0,0,0.09375,0.115196,0
0.027027,0.122449,0.122449,0.458333,0.054559,1
0.054054,0.102041,0.102041,0.385417,0.356199,0
0.189189,0.122449,0.122449,0.447917,0.521481,0
0.310811,0.142857,0.142857,0.697917,0.638818,0
0.189189,0,0,0.125,0.4393,0
0.027027,0.102041,0.102041,0.270833,0.88709,1
0.054054,0.122449,0.122449,0.208333,0.868353,1
0.054054,0.081633,0.081633,0.583333,0.600594,0
0.310811,0.081633,0.081633,0.322917,0.992117,0
0.108108,0.163265,0.163265,0.583333,0.512257,0
0.027027,0,0,0,0.313137,1
0.283784,0.020408,0.020408,0.25,0.296222,0
0.027027,0,0,0,0.970584,0
0.310811,0.040816,0.040816,0.40625,0.892932,0
0.081081,0.326531,0.326531,0.708333,0.173267,0
0.027027,1,1,1,0.47526,1
0.189189,0.040816,0.040816,0.84375,0.723736,0
0.027027,0.22449,0.22449,0.708333,0.658035,1
0.283784,0,0,0.197917,0.420373,0
0.283784,0,0,0.197917,0.500824,0
0.054054,0,0,0.020833,0.207376,1
0.027027,0.061224,0.061224,0.25,0.120481,0
0.054054,0.020408,0.020408,0.59375,0.567873,0
0.108108,0.020408,0.020408,0.145833,0.219095,0
0.121622,0.020408,0.020408,0.25,0.171665,0
