@relation iris-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute NewNumeric0 numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.555556,0.291667,0.661017,0.708333,0.577642,Iris-virginica
0.138889,0.416667,0.067797,0,0.730426,Iris-setosa
0.083333,0.5,0.067797,0.041667,0.625815,Iris-setosa
0.361111,0.291667,0.542373,0.5,0.853376,Iris-versicolor
0.5,0.375,0.627119,0.541667,0.105355,Iris-versicolor
0.166667,0.458333,0.084746,0,0.184418,Iris-setosa
0.388889,0.375,0.542373,0.5,0.258682,Iris-versicolor
0.638889,0.416667,0.576271,0.541667,0.597348,Iris-versicolor
0.222222,0.625,0.067797,0.041667,0.454071,Iris-setosa
0.805556,0.416667,0.813559,0.625,0.81618,Iris-virginica
0.472222,0.375,0.59322,0.583333,0.328587,Iris-versicolor
0.611111,0.333333,0.610169,0.583333,0.491573,Iris-versicolor
0.361111,0.333333,0.661017,0.791667,0.656002,Iris-virginica
0.083333,0.458333,0.084746,0.041667,0.316938,Iris-setosa
0.416667,0.25,0.508475,0.458333,0.698338,Iris-versicolor
0.694444,0.333333,0.644068,0.541667,0.494278,Iris-versicolor
1,0.75,0.915254,0.791667,0.814802,Iris-virginica
0.722222,0.458333,0.661017,0.583333,0.087344,Iris-versicolor
0.388889,0.333333,0.59322,0.5,0.462936,Iris-versicolor
0.805556,0.666667,0.864407,1,0.13931,Iris-virginica
0.194444,0.125,0.389831,0.375,0.891987,Iris-versicolor
0.583333,0.458333,0.762712,0.708333,0.474798,Iris-virginica
0.666667,0.208333,0.813559,0.708333,0.333695,Iris-virginica
0.222222,0.708333,0.084746,0.125,0.645542,Iris-setosa
0.555556,0.375,0.779661,0.708333,0.205452,Iris-virginica
0.527778,0.083333,0.59322,0.583333,0.762415,Iris-versicolor
0.222222,0.541667,0.118644,0.166667,0.197178,Iris-setosa
0.694444,0.416667,0.762712,0.833333,0.934141,Iris-virginica
0.194444,0.583333,0.101695,0.125,0.38707,Iris-setosa
0.222222,0.75,0.084746,0.083333,0.608064,Iris-setosa
0.5,0.416667,0.661017,0.708333,0.071048,Iris-virginica
0.638889,0.375,0.610169,0.5,0.387348,Iris-versicolor
0.666667,0.541667,0.79661,0.833333,0.47311,Iris-virginica
0.166667,0.458333,0.084746,0,0.441415,Iris-setosa
0.083333,0.666667,0,0.041667,0.183762,Iris-setosa
0.666667,0.541667,0.79661,1,0.695121,Iris-virginica
0.361111,0.208333,0.491525,0.416667,0.134209,Iris-versicolor
0.805556,0.5,0.847458,0.708333,0.792797,Iris-virginica
0.666667,0.416667,0.711864,0.916667,0.316235,Iris-virginica
0.305556,0.708333,0.084746,0.041667,0.804914,Iris-setosa
0.944444,0.75,0.966102,0.875,0.790924,Iris-virginica
0.194444,0.583333,0.084746,0.041667,0.649719,Iris-setosa
0.333333,0.208333,0.508475,0.5,0.860917,Iris-versicolor
0.166667,0.208333,0.59322,0.666667,0.815099,Iris-virginica
0.361111,0.416667,0.525424,0.5,0.506338,Iris-versicolor
0.194444,0.541667,0.067797,0.041667,0.715222,Iris-setosa
0.527778,0.333333,0.644068,0.708333,0.277415,Iris-virginica
0.472222,0.083333,0.508475,0.375,0.633943,Iris-versicolor
0.166667,0.166667,0.389831,0.375,0.099023,Iris-versicolor
0.527778,0.583333,0.745763,0.916667,0.87682,Iris-virginica
0.305556,0.416667,0.59322,0.583333,0.753631,Iris-versicolor
0.527778,0.375,0.559322,0.5,0.363767,Iris-versicolor
0.333333,0.25,0.576271,0.458333,0.877612,Iris-versicolor
0.027778,0.375,0.067797,0.041667,0.28559,Iris-setosa
0.611111,0.416667,0.711864,0.791667,0.91756,Iris-virginica
0.416667,0.291667,0.491525,0.458333,0.663875,Iris-versicolor
0.166667,0.458333,0.084746,0,0.762527,Iris-setosa
0.416667,0.291667,0.694915,0.75,0.19205,Iris-virginica
0.361111,0.375,0.440678,0.5,0.387233,Iris-versicolor
0.194444,0,0.423729,0.375,0.79599,Iris-versicolor
0.25,0.875,0.084746,0,0.330895,Iris-setosa
0.111111,0.5,0.050847,0.041667,0.088779,Iris-setosa
0.861111,0.333333,0.864407,0.75,0.794959,Iris-virginica
0.305556,0.791667,0.050847,0.125,0.662437,Iris-setosa
0.222222,0.625,0.067797,0.083333,0.497456,Iris-setosa
