@relation titanic-train-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute passengerId numeric
@attribute pclass=1 numeric
@attribute pclass=2 numeric
@attribute pclass=3 numeric
@attribute sex=female numeric
@attribute age numeric
@attribute sibsp numeric
@attribute parch numeric
@attribute fare numeric
@attribute embarked=C numeric
@attribute embarked=Q numeric
@attribute embarked=S numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute survival {0,1}

@data
0.031461,0,0,1,1,?,0,0,0.015379,0,1,0,0.413461,0.6862,1
0.032584,0,0,1,0,?,0,0,0.015412,0,0,1,0.654109,0.439968,0
0.033708,1,0,0,0,0.497361,0,0,0.054107,1,0,0,0.56775,0.796088,0
0.034831,1,0,0,1,?,0.125,0,0.28599,1,0,0,0.303539,0.104791,1
0.035955,0,0,1,1,?,0,0,0.015127,0,1,0,0.974785,0.622683,1
0.037079,0,1,0,0,0.824076,0,0,0.020495,0,0,1,0.902961,0.379468,0
0.038202,1,0,0,0,0.346569,0.125,0,0.160387,1,0,0,0.994296,0.58048,0
0.039326,1,0,0,0,0.522493,0.125,0,0.101497,0,0,1,0.932665,0.269657,0
0.040449,0,0,1,0,?,0,0,0.01411,1,0,0,0.804254,0.919807,1
0.041573,0,0,1,0,0.258608,0,0,0.015713,0,0,1,0.05694,0.65274,0
0.042697,0,0,1,1,0.22091,0.25,0,0.035134,0,0,1,0.454885,0.965141,0
0.04382,0,0,1,1,0.170646,0.125,0,0.021942,1,0,0,0.608745,0.643878,1
0.044944,0,0,1,1,0.497361,0.125,0,0.018494,0,0,1,0.26481,0.197083,0
0.046067,0,1,0,1,0.334004,0.125,0,0.040989,0,0,1,0.420741,0.758076,0
0.047191,0,0,1,0,?,0,0,0.015412,1,0,0,0.428379,0.394445,0
0.048315,0,1,0,1,0.03242,0.125,0.333333,0.081157,1,0,0,0.049959,0.88402,1
0.049438,0,0,1,1,0.233476,0,0,0.015379,0,1,0,0.286242,0.815617,1
0.050562,0,0,1,0,?,0,0,0.015713,0,0,1,0.104513,0.801303,0
0.051685,0,0,1,0,?,0.125,0,0.030254,0,1,0,0.700481,0.3173,0
0.052809,0,0,1,1,?,0,0,0.015127,0,1,0,0.948134,0.344683,1
0.053933,0,0,1,0,?,0.25,0,0.042315,1,0,0,0.371128,0.383924,0
0.055056,0,0,1,1,0.22091,0.125,0,0.034743,0,0,1,0.531958,0.347386,0
0.05618,0,0,1,0,0.082684,0.5,0.166667,0.077465,0,0,1,0.732629,0.272467,0
0.057303,0,0,1,0,0.258608,0,0,0.015225,0,0,1,0.48286,0.180001,0
0.058427,1,0,0,1,0.610455,0.125,0,0.149765,1,0,0,0.276875,0.865134,1
0.059551,0,1,0,1,0.359135,0.125,0,0.050749,0,0,1,0.863777,0.042344,1
0.060674,1,0,0,0,0.81151,0,0.166667,0.120975,1,0,0,0.763613,0.366271,0
0.061798,1,0,0,0,?,0,0,0.069291,0,0,1,0.213837,0.162747,1
0.062921,0,1,0,1,0.258608,0,0,0.020495,0,0,1,0.799616,0.680091,1
0.064045,0,0,1,0,0.352852,0,0,0.01411,1,0,0,0.574738,0.712536,0
0.065169,0,1,0,1,0.057552,0.125,0.333333,0.054164,0,0,1,0.694708,0.162239,1
0.066292,0,0,1,0,0.132948,0.625,0.333333,0.091543,0,0,1,0.214733,0.553045,0
0.067416,0,0,1,0,0.271174,0,0,0.01411,1,0,0,0.335766,0.45091,0
0.068539,1,0,0,1,0.472229,0,0,0.15615,?,?,?,0.672652,0.898319,1
0.069663,1,0,0,0,0.560191,0.125,0,0.162932,0,0,1,0.05909,0.252195,0
0.070787,0,0,1,0,0.044986,0.375,0.333333,0.054457,0,0,1,0.56185,0.598742,0
0.07191,1,0,0,0,?,0,0,0.054107,1,0,0,0.147,0.279499,0
0.073034,0,0,1,0,?,0.125,0.166667,0.029758,1,0,0,0.297535,0.029137,1
0.074157,0,1,0,1,0.359135,0,0,0.020495,0,0,1,0.626329,0.028348,1
0.075281,0,0,1,0,0.233476,0,0,0.015924,0,0,1,0.540856,0.499464,0
0.076404,0,0,1,1,0.208344,0.5,0.333333,0.015469,0,0,1,0.504446,0.705585,1
0.077528,0,0,1,0,0.321438,0.25,0,0.016908,0,0,1,0.689245,0.697054,0
0.078652,0,1,0,0,0.396833,0,0,0.020495,0,0,1,0.442725,0.42589,0
0.079775,0,0,1,1,0.195778,0.625,0.333333,0.091543,0,0,1,0.18489,0.916389,0
0.080899,0,1,0,0,0.258608,0,0,0.143462,0,0,1,0.137871,0.738778,0
0.082022,0,0,1,0,0.321438,0.125,0,0.028213,1,0,0,0.761865,0.735768,0
0.083146,0,0,1,0,0.396833,0,0,0.110272,0,0,1,0.358286,0.655654,1
0.08427,0,0,1,0,0.308872,0,0,0.014932,0,0,1,0.007296,0.359757,0
0.085393,0,0,1,0,?,0,0,0.015412,0,0,1,0.665642,0.609204,0
0.086517,0,0,1,0,?,0,0,0.015713,0,0,1,0.773114,0.062139,0
0.08764,0,1,0,0,0.005152,0,0.333333,0.056604,0,0,1,0.341118,0.196357,1
0.088764,0,0,1,1,0.371701,0,0,0.02435,0,0,1,0.042287,0.036172,1
0.089888,0,0,1,0,0.271174,0,0,0.017567,0,0,1,0.931236,0.131231,0
0.091011,0,0,1,0,0.359135,0,0,0.018543,0,0,1,0.827083,0.487257,1
0.092135,0,0,1,1,?,0,0,0.0152,0,1,0,0.130007,0.565942,1
0.093258,1,0,0,0,0.346569,0,0,0.091933,0,0,1,0.556809,0.987703,0
0.094382,0,1,0,1,0.208344,0,0,0.020495,0,0,1,0.422097,0.824825,1
0.095506,0,0,1,1,0.409399,0.375,0,0.030937,0,0,1,0.198551,0.954091,1
0.096629,0,0,1,0,0.195778,0.125,0.5,0.067096,0,0,1,0.025985,0.641584,0
0.097753,0,0,1,0,?,0,0,0.015713,0,0,1,0.046896,0.604825,0
0.098876,1,0,0,1,0.28374,0.375,0.333333,0.513342,0,0,1,0.196597,0.189074,1
0.1,0,0,1,0,0.296306,0,0,0.015713,0,0,1,0.717187,0.908736,0
0.101124,0,0,1,0,0.359135,0,0,0.015713,0,0,1,0.873644,0.547859,0
0.102247,0,0,1,0,0.246042,0,0,0.01533,0,0,1,0.381781,0.845241,0
0.103371,1,0,0,0,0.572757,0.125,0,0.119406,0,0,1,0.994912,0.772394,0
0.104494,0,0,1,0,0.321438,0.125,0.333333,0.04016,0,0,1,0.699902,0.762305,0
0.105618,0,0,1,0,0.736115,0,0,0.014151,0,0,1,0.533006,0.382623,0
0.106742,0,0,1,0,?,0,0,0.015713,0,0,1,0.20906,0.740597,0
0.107865,1,0,0,0,0.886906,0,0,0.06764,1,0,0,0.459563,0.933966,0
0.108989,1,0,0,0,0.28374,0,0.166667,0.123667,1,0,0,0.169646,0.650483,1
0.110112,0,1,0,1,0.421965,0,0.166667,0.044893,0,0,1,0.392692,0.300137,1
0.111236,0,1,0,0,0.421965,0.125,0,0.050749,0,0,1,0.98419,0.023134,0
0.11236,0,0,1,1,0.346569,0,0,0.015412,0,0,1,0.641427,0.440918,0
0.113483,0,0,1,0,?,0,0,0.015412,0,0,1,0.348915,0.947785,0
0.114607,1,0,0,0,0.258608,0,0.166667,0.150855,0,0,1,0.725215,0.720949,0
0.11573,0,0,1,0,0.409399,0,0,0.016892,0,0,1,0.237583,0.954309,0
0.116854,0,0,1,0,0.459663,0.25,0,0.015469,0,0,1,0.216992,0.295808,0
0.117978,0,0,1,0,0.346569,0,0,0.015412,0,0,1,0.66627,0.243543,0
0.119101,0,0,1,1,0.258608,0,0,0.014932,0,0,1,0.935139,0.688092,1
0.120225,0,0,1,0,?,0,0,0.015176,0,0,1,0.942608,0.687408,1
0.121348,0,0,1,0,0.472229,0,0,0.015412,0,0,1,0.092627,0.438904,0
0.122472,0,0,1,1,?,0.125,0,0.047138,0,1,0,0.764125,0.736656,1
0.123596,1,0,0,0,0.585323,0,0,0.101497,0,0,1,0.000913,0.6391,0
0.124719,0,0,1,1,0.176929,0.125,0,0.028213,1,0,0,0.097748,0.746186,0
0.125843,0,0,1,0,0.271174,0,0,0.015713,0,0,1,0.321667,0.219833,0
0.126966,0,0,1,1,0.246042,0.125,0,0.019177,0,0,1,0.246108,0.256132,0
0.12809,0,0,1,1,0.208344,0,0,0.028221,1,0,0,0.661148,0.113402,0
0.129213,0,0,1,0,0.258608,0,0,0.015469,0,0,1,0.886228,0.451573,0
0.130337,0,0,1,0,0.880623,0,0,0.015127,0,1,0,0.51008,0.783089,0
0.131461,0,1,0,0,0.359135,0.125,0,0.040989,0,0,1,0.152263,0.364457,0
0.132584,1,0,0,0,0.296306,0,0.166667,0.483128,1,0,0,0.146118,0.1646,0
0.133708,0,0,1,1,0.019854,0.5,0.333333,0.061045,0,0,1,0.026363,0.378464,0
0.134831,0,1,0,0,0.258608,0.25,0,0.143462,0,0,1,0.136501,0.76197,0
0.135955,0,0,1,0,?,0,0,0.015713,0,0,1,0.400372,0.250817,0
0.137079,0,1,0,0,0.403116,0.125,0,0.058694,1,0,0,0.505272,0.497176,0
0.138202,0,1,0,1,0.403116,0,0,0.025374,0,0,1,0.175929,0.174632,1
0.139326,1,0,0,0,0.673285,0,0.166667,0.150855,0,0,1,0.462414,0.925445,0
0.140449,0,0,1,0,0.145514,0.125,0,0.021942,1,0,0,0.681699,0.371214,1
0.141573,0,0,1,0,?,0,0,0.015127,0,1,0,0.831539,0.597163,0
0.142697,0,0,1,0,0.296306,0,0,0.01394,0,0,1,0.503834,0.323793,1
0.14382,0,0,1,1,?,0.125,0.166667,0.04364,1,0,0,0.95827,0.672498,1
0.144944,0,0,1,0,0.560191,0,0,0.013614,0,0,1,0.549399,0.042487,0
0.146067,0,0,1,0,0.409399,0,0,0.015412,1,0,0,0.933196,0.376293,0
0.147191,0,0,1,0,0.246042,0,0,0.013761,0,0,1,0.792362,0.684862,0
0.148315,0,0,1,1,0.585323,0.125,0,0.028302,0,0,1,0.421311,0.518474,0
0.149438,0,1,0,1,0.359135,0.125,0,0.050749,0,0,1,0.68792,0.447299,1
0.150562,0,1,0,0,0.308872,0,0,0.025374,0,0,1,0.254093,0.099176,0
0.151685,0,1,0,0,0.28374,0,0,0.029367,1,0,0,0.683278,0.889409,0
0.152809,1,0,0,1,0.233476,0,0.333333,0.051302,0,0,1,0.210887,0.967969,1
0.153933,1,0,0,0,0.459663,0.125,0,0.103644,0,0,1,0.60164,0.757092,0
0.155056,0,0,1,0,0.195778,0,0,0.01799,0,0,1,0.093013,0.613027,0
0.15618,1,0,0,0,0.296306,0,0,0.154588,1,0,0,0.931077,0.929382,0
0.157303,0,0,1,1,?,0,0.333333,0.029758,1,0,0,0.277048,0.418773,0
0.158427,0,0,1,1,0.271174,0,0,0.015127,0,0,1,0.211036,0.330064,1
0.159551,0,0,1,1,0.296306,0.125,0,0.030937,0,0,1,0.422941,0.149468,1
0.160674,0,0,1,0,0.233476,0,0,0.013175,0,1,0,0.776655,0.51709,0
0.161798,0,1,0,0,0.22091,0,0,0.022447,0,0,1,0.908194,0.991425,0
0.162921,0,1,0,0,0.233476,0.125,0.166667,0.071731,0,0,1,0.094681,0.191178,0
0.164045,0,0,1,0,0.334004,0,0,0.015216,0,0,1,0.861034,0.217958,1
0.165169,0,0,1,1,0.107816,0.25,0.333333,0.067096,0,0,1,0.804678,0.049504,0
0.166292,0,1,0,0,0.45338,0,0.333333,0.050749,0,0,1,0.373557,0.428887,0
0.167416,0,1,0,0,0.522493,0,0,0.025374,0,0,1,0.365314,0.251261,0
0.168539,0,1,0,0,0.635587,0,0,0.024447,0,0,1,0.590062,0.360353,0
0.169663,1,0,0,1,0.271174,0.125,0,0.129995,0,0,1,0.897944,0.258898,1
0.170787,0,0,1,0,0.692134,0,0,0.015713,0,0,1,0.8863,0.460887,0
0.17191,0,0,1,0,0.503644,0,0.333333,0.028302,0,0,1,0.418301,0.972191,0
0.173034,0,0,1,0,?,0,0,0.014273,0,0,1,0.282119,0.786155,0
0.174157,1,0,0,0,0.635587,0,0.166667,0.119804,1,0,0,0.152006,0.881857,0
0.175281,0,0,1,1,0.195778,0,0,0.015094,0,1,0,0.563022,0.277446,1
0.176404,0,0,1,0,0.371701,0,0,0.015713,0,0,1,0.040748,0.43524,0
0.177528,0,0,1,0,?,0,0,0.016908,0,0,1,0.325358,0.15796,0
0.178652,0,0,1,0,?,1,0.333333,0.135753,0,0,1,0.863343,0.928695,0
0.179775,0,0,1,0,0.547625,0,0.166667,0.031425,0,0,1,0.305435,0.006132,0
0.180899,0,1,0,1,0.497361,0,0,0.030742,0,0,1,0.619549,0.019569,1
0.182022,0,0,1,0,0.321438,0,0,0.015176,0,0,1,0.904557,0.046649,0
0.183146,0,0,1,0,0.208344,0,0,0.016908,0,0,1,0.95436,0.385299,0
0.18427,0,0,1,0,0.007288,0.5,0.166667,0.077465,0,0,1,0.780008,0.337572,0
0.185393,0,0,1,0,0.107816,0,0.333333,0.040062,0,0,1,0.43666,0.147932,1
0.186517,1,0,0,1,?,0,0.166667,0.107353,0,0,1,0.736286,0.825846,1
0.18764,0,0,1,1,0.560191,0.125,0.666667,0.054457,0,0,1,0.448499,0.429447,0
0.188764,1,0,0,0,?,0,0,0.050602,0,0,1,0.921349,0.693742,0
0.189888,0,0,1,0,0.346569,0,0,0.110272,0,0,1,0.289865,0.80661,0
0.191011,1,0,0,0,0.761247,0,0,0.065388,0,0,1,0.509455,0.02518,0
0.192135,0,0,1,0,0.044986,0.5,0.166667,0.056848,0,1,0,0.85874,0.493613,0
0.193258,0,0,1,1,0.007288,0.125,0.166667,0.021731,0,0,1,0.635117,0.583582,1
0.194382,0,0,1,0,0.258608,0,0,0.015469,0,0,1,0.927332,0.796607,0
0.195506,1,0,0,0,0.698417,0,0,0.059914,1,0,0,0.332027,0.411879,0
0.196629,0,0,1,0,0.22091,0.125,0.166667,0.01533,0,0,1,0.602775,0.756306,0
0.197753,0,0,1,0,?,0.375,0.166667,0.049708,0,0,1,0.626232,0.040449,0
0.198876,1,0,0,1,0.623021,0,0,0.056043,1,0,0,0.034224,0.923133,0
0.2,0,1,0,0,0.371701,0,0,0.025374,0,0,1,0.734678,0.320229,0
0.201124,0,0,1,0,0.447097,0,0,0,0,0,1,0.808133,0.893972,0
0.202247,0,0,1,1,?,1,0.333333,0.135753,0,0,1,0.528179,0.28596,0
0.203371,0,1,0,0,?,0,0,0.029376,1,0,0,0.759664,0.580422,0
0.204494,0,0,1,0,0.107816,0.5,0.333333,0.061264,0,0,1,0.032183,0.99842,0
0.205618,0,1,0,0,0.007288,0.25,0.166667,0.076123,0,0,1,0.120544,0.175473,1
0.206742,0,0,1,1,0.044986,0,0.333333,0.04299,0,0,1,0.759172,0.014742,1
0.207865,1,0,0,0,?,0,0,0.097594,0,0,1,0.022315,0.4389,0
0.208989,0,0,1,1,?,0.125,0,0.030254,0,1,0,0.09331,0.992333,1
0.210112,1,0,0,0,0.560191,0,0,0.051822,0,0,1,0.378817,0.231201,1
0.211236,0,0,1,0,0.497361,0.125,0.166667,0.030254,0,1,0,0.780972,0.944618,0
0.21236,0,0,1,0,0.447097,0,0,0.015412,0,0,1,0.082873,0.191741,0
0.213483,0,1,0,1,0.396833,0,0,0.025374,0,0,1,0.820006,0.835769,1
0.214607,0,1,0,0,0.233476,0,0,0.025374,0,0,1,0.269516,0.07884,0
0.21573,0,0,1,1,0.233476,0.125,0,0.01533,0,0,1,0.686138,0.526776,1
0.216854,0,1,0,0,0.03242,0.125,0.166667,0.050749,0,0,1,0.121749,0.567842,1
0.217978,1,0,0,1,0.547625,0,0,0.054107,1,0,0,0.886648,0.566677,1
0.219101,1,0,0,1,0.723549,0,0,0.28599,1,0,0,0.324709,0.237807,1
0.220225,0,0,1,0,?,0,0,0.015127,0,1,0,0.289477,0.960433,0
0.221348,0,0,1,0,0.522493,0,0.166667,0.016404,0,0,1,0.810214,0.068246,0
0.222472,0,0,1,1,?,0,0,0.015127,0,1,0,0.540156,0.8389,1
0.223596,0,1,0,1,0.296306,0,0,0.025374,0,0,1,0.876092,0.01442,0
0.224719,0,0,1,0,0.346569,0,0,0.018543,0,0,1,0.149502,0.906543,0
0.225843,0,0,1,0,?,1,0.333333,0.135753,0,0,1,0.113302,0.133048,0
0.226966,0,0,1,0,0.421965,0,0,0.012679,0,0,1,0.511727,0.648969,0
0.22809,0,0,1,0,0.566474,0,0,0.014102,1,0,0,0.828735,0.289799,0
0.229213,0,0,1,0,0.22091,0,0,0.015713,0,0,1,0.195656,0.545068,1
0.230337,0,0,1,1,0.019854,0,0.166667,0.020421,0,0,1,0.812738,0.695817,0
0.231461,0,0,1,0,0.396833,0.125,0,0.030937,0,0,1,0.340995,0.947483,0
0.232584,0,0,1,0,0.321438,0,0,0.036671,1,0,0,0.367762,0.392555,1
0.233708,0,0,1,1,0.195778,0,0,0.015127,0,1,0,0.887088,0.870341,1
0.234831,1,0,0,0,0.497361,0,0,0.060508,1,0,0,0.488184,0.332548,1
0.235955,0,0,1,0,0.296306,0,0,0.013761,0,0,1,0.663377,0.654599,0
0.237079,0,1,0,1,0.434531,0,0,0.040989,0,0,1,0.961233,0.888283,1
0.238202,0,0,1,0,0.271174,0,0,0.014151,0,0,1,0.078773,0.369074,0
0.239326,0,1,0,0,0.371701,0,0,0.025374,0,0,1,0.945077,0.462206,0
0.240449,0,0,1,0,?,0.125,0,0.015127,0,1,0,0.261406,0.849173,0
0.241573,1,0,0,1,0.384267,0.125,0,0.221098,1,0,0,0.272513,0.367899,1
0.242697,0,0,1,1,0.334004,0,0,0.015469,0,0,1,0.020746,0.47551,1
0.24382,0,1,0,0,0.522493,0.125,0,0.0527,0,0,1,0.327343,0.305865,0
0.244944,1,0,0,1,0.396833,0,0,0.148911,1,0,0,0.930813,0.151073,1
0.246067,0,1,0,0,0.371701,0,0,0.020495,0,0,1,0.845395,0.566844,0
0.247191,0,0,1,0,0.195778,0,0,0.015713,0,0,1,0.166235,0.448276,1
0.248315,0,1,0,0,0.334004,0,0,0.025374,0,0,1,0.403267,0.561485,0
0.249438,0,0,1,0,0.635587,0,0,0.015713,0,0,1,0.462152,0.566196,0
0.250562,0,0,1,0,?,0,0,0.015412,0,0,1,0.67529,0.397194,0
0.251685,1,0,0,0,0.472229,0.125,0,0.175668,0,0,1,0.714472,0.563459,1
0.252809,0,0,1,0,0.271174,0,0,0.01825,0,0,1,0.762801,0.001362,0
0.253933,0,1,0,0,0.233476,0,0,0.020495,0,0,1,0.288751,0.313734,1
0.255056,0,0,1,0,0.252325,0,0,0.014151,0,0,1,0.029727,0.724703,0
0.25618,0,1,0,0,0.22091,0,0,0.025374,0,0,1,0.063972,0.768433,0
0.257303,0,0,1,1,?,0.375,0.166667,0.049708,0,0,1,0.914593,0.449275,0
0.258427,1,0,0,1,0.434531,0.125,0,0.162932,0,0,1,0.601756,0.405202,1
0.259551,0,0,1,0,0.359135,0,0,0.015176,0,0,1,0.131474,0.972815,0
0.260674,0,1,0,0,0.736115,0,0,0.02635,0,0,1,0.602047,0.190971,0
0.261798,0,0,1,1,0.057552,0.5,0.333333,0.061264,0,0,1,0.521015,0.844361,1
0.262921,0,1,0,0,0.296306,0,0,0.020495,0,0,1,0.983064,0.994765,0
0.264045,0,0,1,1,?,0,0,0.014737,0,0,1,0.56755,0.885663,0
0.265169,0,1,0,0,0.547625,0.125,0,0.050749,0,0,1,0.506346,0.148183,0
0.266292,0,1,0,1,0.09525,0,0.333333,0.051237,0,0,1,0.259474,0.348759,1
0.267416,0,1,0,0,0.233476,0,0,0.020495,0,0,1,0.85692,0.770409,0
0.268539,0,1,0,0,0.409399,0,0,0.023959,0,0,1,0.5374,0.032109,0
0.269663,0,0,1,1,?,0.125,0,0.028213,1,0,0,0.484207,0.549787,0
0.270787,0,0,1,1,?,0.125,0,0.030254,0,1,0,0.04828,0.706043,1
0.27191,0,1,0,0,0.359135,0,0,0.020495,0,0,1,0.310958,0.905464,0
0.273034,0,0,1,0,0.271174,0,0,0.013907,0,0,1,0.303533,0.882829,0
0.274157,0,0,1,0,0.371701,0,0,0.014102,1,0,0,0.625586,0.840275,0
0.275281,1,0,0,0,0.547625,0.25,0,0.175668,0,1,0,0.625372,0.307478,0
0.276404,0,0,1,1,0.308872,0,0,0.015176,0,0,1,0.087471,0.340027,0
0.277528,0,1,0,1,0.296306,0,0.333333,0.028302,0,0,1,0.457895,0.542502,1
0.278652,1,0,0,0,0.459663,0.125,0.166667,0.102579,0,0,1,0.795357,0.874477,1
0.279775,0,1,0,0,0.673285,0.125,0,0.050749,0,0,1,0.718151,0.673136,0
0.280899,0,0,1,0,?,0,0,0.014151,0,0,1,0.795688,0.411812,0
0.282022,0,0,1,1,0.359135,0.125,0.166667,0.020421,0,0,1,0.867249,0.469111,0
0.283146,1,0,0,0,0.773813,0,0,0.051822,0,0,1,0.240765,0.371074,0
0.28427,0,0,1,0,0.371701,0.125,0,0.031425,0,0,1,0.292738,0.304898,0
0.285393,0,0,1,1,0.509927,0,0.333333,0.039452,0,0,1,0.645841,0.105957,0
0.286517,0,0,1,1,0.359135,0,0.333333,0.029758,1,0,0,0.410862,0.762399,1
0.28764,1,0,0,1,?,0,0,0.154588,1,0,0,0.339801,0.838584,1
0.288764,1,0,0,1,0.371701,0,0,0.168837,0,0,1,0.620905,0.118376,1
0.289888,1,0,0,1,0.434531,0,0,1,1,0,0,0.255803,0.443317,1
0.291011,0,1,0,1,0.623021,0,0.166667,0.050749,0,0,1,0.873766,0.853512,1
0.292135,0,0,1,0,?,0,0,0.015127,0,1,0,0.666298,0.118349,0
0.293258,0,0,1,0,0.03242,0.5,0.333333,0.061264,0,0,1,0.152987,0.910776,1
0.294382,1,0,0,0,0.648153,0.125,0.166667,0.155466,0,0,1,0.331077,0.77678,0
0.295506,1,0,0,0,0.497361,0,0,0,0,0,1,0.608882,0.677856,0
0.296629,0,0,1,1,?,0,0,0.015127,0,1,0,0.797511,0.939059,0
0.297753,0,1,0,0,0.447097,0,0,0.020495,0,0,1,0.435033,0.571757,0
0.298876,0,0,1,0,0.195778,0.5,0.166667,0.077465,0,0,1,0.26892,0.015135,0
0.3,0,0,1,0,0.308872,0.125,0,0.015176,0,0,1,0.831278,0.663196,1
0.301124,1,0,0,1,0.723549,0,0.166667,0.299539,0,0,1,0.539978,0.127345,1
0.302247,1,0,0,1,0.434531,0,0,0.264739,0,0,1,0.558501,0.994287,1
0.303371,1,0,0,0,?,0,0,0.060508,0,0,1,0.98738,0.044018,0
0.304494,0,0,1,0,0.308872,0,0,0,0,0,1,0.657859,0.115041,1
0.305618,0,1,0,1,0.509927,0,0.166667,0.038061,0,0,1,0.499429,0.368967,1
0.306742,1,0,0,0,0.459663,0,0.166667,0.057971,1,0,0,0.880758,0.892556,0
0.307865,0,0,1,1,?,0,0,0.015127,0,1,0,0.530031,0.86348,1
0.308989,1,0,0,1,0.786378,0.125,0,0.152164,0,0,1,0.255752,0.831331,1
0.310112,0,0,1,1,0.560191,0,0,0.015127,0,0,1,0.170539,0.665135,0
0.311236,0,1,0,0,?,0,0,0,0,0,1,0.004672,0.98395,0
0.31236,0,0,1,0,0.082684,0.5,0.166667,0.056848,0,1,0,0.247181,0.211688,0
0.313483,0,0,1,1,0.434531,0.125,0.166667,0.039525,0,0,1,0.712682,0.028468,1
0.314607,0,0,1,0,0.81151,0,0,0.015127,0,1,0,0.972293,0.878486,0
0.31573,0,0,1,0,0.346569,0,0,0.01533,0,0,1,0.25559,0.242143,0
0.316854,0,0,1,0,0.195778,0,0,0.018543,0,0,1,0.604343,0.694313,0
0.317978,0,0,1,0,0.233476,0,0,0.015713,0,0,1,0.492614,0.910721,1
0.319101,1,0,0,0,?,0,0,0.050749,0,0,1,0.904752,0.013255,0
0.320225,0,0,1,0,0.409399,0,0,0.016908,1,0,0,0.143963,0.178321,0
0.321348,0,0,1,0,0.371701,0,0,0.018543,0,0,1,0.918743,0.689122,1
0.322472,0,0,1,0,0.271174,0,0,0.015412,0,0,1,0.589935,0.465023,0
0.323596,0,1,0,0,0.522493,0,0,0.025374,0,0,1,0.753001,0.124172,1
0.324719,0,0,1,1,0.271174,0,0,0.015127,0,1,0,0.551912,0.357572,1
0.325843,1,0,0,1,0.321438,0,0,0.153905,0,0,1,0.574647,0.545306,1
0.326966,1,0,0,1,0.233476,0.125,0,0.177775,1,0,0,0.745474,0.313217,1
0.32809,0,1,0,0,0.447097,0,0,0.02513,1,0,0,0.014054,0.998612,0
0.329213,0,0,1,1,0.296306,0,0,0.017274,0,0,1,0.632015,0.60748,0
