@relation Glass-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute RI numeric
@attribute Na numeric
@attribute Mg numeric
@attribute Al numeric
@attribute Si numeric
@attribute K numeric
@attribute Ca numeric
@attribute Ba numeric
@attribute Fe numeric
@attribute Type {'build wind float','build wind non-float','vehic wind float','vehic wind non-float',containers,tableware,headlamps}

@data
0.19842,0.384962,0.768374,0.286604,0.523214,0.207407,0.291822,0,0,'build wind float'
0.417032,0.545865,0,0.538941,0.644643,0,0.27974,0.520635,0,headlamps
0.341089,0.410526,0.853007,0.302181,0.489286,0.211111,0.258364,0,0.378378,'build wind non-float'
0.275241,0.381955,0.806236,0.29595,0.583929,0.203704,0.245353,0,0,'build wind float'
1,0.23609,0,0.221184,0.0625,0.044444,1,0,0.648649,'build wind non-float'
0.269974,0.243609,0.605791,0.417445,0.546429,0.259259,0.35316,0,0,'build wind non-float'
0.481124,0.520301,0.841871,0.193146,0.276786,0.085185,0.344796,0,1,'vehic wind float'
0,1,0,0.015576,1,0,0.113383,0,0,tableware
0.293679,0.293233,0.817372,0.271028,0.589286,0.225926,0.303903,0,0,'build wind float'
0.265145,0.604511,0,0.53271,0.573214,0,0.288104,0.504762,0.216216,headlamps
0.327041,0.395489,0.76392,0.35514,0.4375,0.188889,0.29461,0,0,'build wind float'
0.485953,0.556391,0,0.221184,0.510714,0.037037,0.565985,0,0.216216,'build wind non-float'
0.378402,0.463158,0.797327,0.320872,0.341071,0.044444,0.301115,0.219048,0,headlamps
0.349429,0.476692,0.830735,0.277259,0.4125,0.022222,0.321561,0,0,'build wind float'
0.289728,0.318797,0.775056,0.292835,0.564286,0.225926,0.290892,0.028571,0.594595,'build wind float'
0.230465,0.547368,0,0.76324,0.542857,0,0.373606,0.171429,0,headlamps
0.007024,0.445113,0.712695,0.47352,0.535714,0.651852,0,0.377778,0,headlamps
0.24144,0.362406,0.768374,0.457944,0.476786,0.222222,0.274164,0,0.459459,'vehic wind float'
0.304214,0.406015,0.639198,0.280374,0.541071,0.203704,0.334572,0,0,'build wind float'
0.129061,0.529323,0.688196,0.557632,0.441071,0.407407,0.153346,0,0,'build wind non-float'
0.339333,0.640602,0.173719,0.451713,0.480357,0,0.420074,0,0,tableware
0.218613,0.479699,0.783964,0.299065,0.548214,0.137037,0.233271,0,0.378378,'build wind float'
0.250219,0.630075,0,0.529595,0.580357,0,0.276022,0.504762,0,headlamps
0.455224,0.348872,0.812918,0.180685,0.430357,0.07037,0.410781,0,0.459459,'build wind float'
0.528973,0.449624,0.828508,0.068536,0.346429,0.033333,0.430297,0,0.432432,'build wind float'
0.321773,0.437594,0.861915,0.305296,0.383929,0.2,0.268587,0,0.864865,'build wind non-float'
0.286655,0.275188,0.783964,0.35514,0.596429,0.211111,0.289033,0,0,'build wind float'
0.356014,0.371429,0.741648,0.308411,0.455357,0.222222,0.344796,0,0.297297,'build wind float'
0.223003,0.512782,0,0.806854,0.5,0.02963,0.348513,0.336508,0,headlamps
0.306409,0.406015,0.886414,0.277259,0.478571,0.214815,0.252788,0,0,'build wind non-float'
0.466198,0.371429,0.819599,0.267913,0.525,0.2,0.287175,0,0,'build wind non-float'
0.231782,0.215038,0.783964,0.330218,0.55,0.211111,0.288104,0,0,'vehic wind float'
0.230465,0.273684,0.775056,0.492212,0.610714,0.233333,0.246283,0,0.243243,'build wind non-float'
0.281387,0.36391,0.804009,0.23676,0.6125,0.211111,0.261152,0,0,'build wind float'
0.309482,0.284211,0.614699,0.168224,0.714286,0.12963,0.370818,0,0.540541,'build wind non-float'
0.223003,0.521805,0,0.778816,0.651786,0.014815,0.335502,0.126984,0.243243,headlamps
0.226514,0.392481,0.7951,0.398754,0.546429,0.225926,0.228625,0,0,'build wind non-float'
0.317384,0.53985,0.726058,0.601246,0.257143,0.540741,0.033457,0.51746,0,headlamps
0.243635,0.377444,0.7951,0.339564,0.516071,0.207407,0.27974,0,0.27027,'vehic wind float'
0.272608,0.308271,0.806236,0.311526,0.532143,0.218519,0.303903,0,0,'build wind float'
0.280948,0.341353,0.801782,0.333333,0.567857,0.211111,0.276022,0,0.297297,'build wind float'
0.313433,0.377444,0.868597,0.34891,0.45,0.203704,0.267658,0,0.27027,'build wind non-float'
0.188762,0.512782,0,0.744548,0.639286,0.02963,0.33829,0.193651,0.135135,headlamps
0.658033,0.446617,0,0.333333,0.255357,0.07037,0.744424,0,0.27027,'build wind non-float'
0.259877,0.413534,0.775056,0.442368,0.483929,0.22963,0.237918,0,0,'build wind non-float'
0.252414,0.390977,0.788419,0.411215,0.4875,0.251852,0.249071,0,0,'build wind non-float'
0.285777,0.372932,0.821826,0.311526,0.5,0.211111,0.259294,0,0,'build wind float'
0.455224,0.359398,0.797327,0.190031,0.426786,0.085185,0.407993,0,0.432432,'build wind float'
0.311238,0.321805,0.775056,0.311526,0.560714,0.222222,0.27881,0,0,'build wind float'
0.454785,0.045113,0.380846,0.395639,0.648214,0.214815,0.575279,0,0,containers
0.314311,0.550376,0,0.476636,0.544643,0.522222,0.096654,0.914286,0,headlamps
0.210272,0.354887,0.783964,0.392523,0.546429,0.251852,0.243494,0,0.243243,'build wind non-float'
0.360843,0.46015,0.536748,0.280374,0.526786,0,0.403346,0,0,tableware
0.463565,0.124812,0.418708,0.395639,0.544643,0.174074,0.555762,0,0,containers
0.712906,0.043609,0,0.143302,0.583929,0,0.885688,0,0,'build wind non-float'
0.224759,0.341353,0.797327,0.389408,0.539286,0.225926,0.242565,0,0,'build wind non-float'
0.440737,0.336842,0.073497,0.380062,0.639286,0.048148,0.542751,0,0.756757,containers
0.208516,0.377444,0.743875,0.367601,0.5875,0.144444,0.259294,0,0,'build wind non-float'
0.308604,0.449624,0,0.084112,0.828571,0,0.516729,0,0,'build wind non-float'
0.199298,0.377444,0.777283,0.367601,0.614286,0.140741,0.241636,0,0,'build wind non-float'
0.278753,0.314286,0.790646,0.373832,0.525,0.2,0.287175,0,0.513514,'build wind float'
0.418349,0.42406,0.465479,0.429907,0.423214,0.196296,0.384758,0.085714,0.459459,containers
0.277436,0.317293,0.77951,0.264798,0.617857,0.207407,0.289963,0,0,'build wind float'
0.397278,0.488722,0.300668,0.417445,0.348214,0.144444,0.476766,0,0.486486,'build wind non-float'
0.318701,0.330827,0.832962,0.255452,0.441071,0.237037,0.328067,0,0.594595,'build wind non-float'
0.236172,0.183459,0,0.280374,0.958929,1,0.325279,0,0,headlamps
0.235733,0.425564,0.7951,0.367601,0.471429,0.237037,0.23513,0,0,'build wind non-float'
0.220808,0.421053,0.790646,0.389408,0.567857,0.144444,0.218401,0,0,'build wind float'
0.28446,0.282707,0.799555,0.317757,0.621429,0.214815,0.285316,0,0,'build wind float'
0.303336,0.341353,0.846325,0.246106,0.582143,0.207407,0.274164,0,0.324324,'build wind non-float'
0.346795,0.431579,0.806236,0.255452,0.505357,0.051852,0.30948,0,0,'build wind float'
0.223881,0.395489,0.797327,0.373832,0.519643,0.166667,0.258364,0,0,'build wind non-float'
0.240562,0.330827,0.788419,0.41433,0.5625,0.237037,0.241636,0,0.567568,'build wind non-float'
0.291484,0.372932,0.755011,0.323988,0.526786,0.218519,0.29368,0,0,'build wind float'
0.268657,0.596992,0,0.638629,0.619643,0,0.327138,0.209524,0,headlamps
0.277875,0.320301,0.792873,0.305296,0.607143,0.2,0.274164,0,0.459459,'build wind float'
0.298946,0.416541,0.74833,0.417445,0.380357,0.211111,0.314126,0,0.243243,'vehic wind float'
0.280509,0.4,0.815145,0.280374,0.532143,0.211111,0.263941,0,0.297297,'build wind float'
0.220808,0.342857,0.77951,0.370717,0.55,0.222222,0.25,0,0,'build wind non-float'
0.208516,0.314286,0.783964,0.501558,0.544643,0.255556,0.236059,0,0,'build wind non-float'
0.482002,0.523308,0.85078,0.056075,0.35,0.040741,0.384758,0,0,'build wind float'
0.432836,0.437594,1,0.252336,0.351786,0.022222,0.30855,0,0,'build wind float'
0.287094,0.439098,0.815145,0.255452,0.528571,0.040741,0.29461,0,0,'vehic wind float'
0.474539,0.545865,0.857461,0.186916,0.276786,0.055556,0.345725,0,0,'build wind float'
0.279192,0.312782,0.7951,0.330218,0.573214,0.22963,0.29368,0,0,'build wind float'
0.455224,0.348872,0.812918,0.180685,0.448214,0.07037,0.410781,0,0.459459,'build wind float'
0.261633,0.526316,0,0.557632,0.633929,0,0.296468,0.530159,0,headlamps
0.286655,0.288722,0.792873,0.314642,0.583929,0.225926,0.302974,0,0.378378,'build wind float'
0.290167,0.421053,0.759465,0.383178,0.398214,0.214815,0.312268,0,0,'vehic wind float'
0.260755,0.341353,0.772829,0.46729,0.519643,0.244444,0.255576,0,0,'build wind non-float'
0.294557,0.300752,0.76392,0.280374,0.560714,0.22963,0.30948,0,0.810811,'build wind float'
0.486392,0.372932,0.839644,0.155763,0.389286,0.048148,0.42658,0,0,'build wind float'
0.482002,0.523308,0.85078,0.056075,0.35,0.040741,0.384758,0,0,'build wind float'
0.080773,0.55188,0.387528,0.389408,0.846429,0,0.200743,0,0,tableware
0.480685,0.451128,0.855234,0.133956,0.348214,0.062963,0.400558,0,0,'build wind float'
0.284899,0.338346,0.788419,0.286604,0.569643,0.240741,0.288104,0,0,'build wind float'
0.251975,0.291729,0.641425,0.442368,0.607143,0.27037,0.289033,0,0,'build wind non-float'
0.23705,0.303759,0.634744,0.358255,0.617857,0.211111,0.312268,0.034921,0.594595,'build wind non-float'
0.729587,0.287218,0,0.11838,0.394643,0.022222,0.833643,0,0,'build wind non-float'
0.280948,0.297744,0.761693,0.283489,0.605357,0.218519,0.298327,0,0,'build wind float'
0.272169,0.344361,0.788419,0.436137,0.521429,0.2,0.27974,0,0.189189,'build wind float'
0.249342,0.57594,0,0.52648,0.621429,0,0.287175,0.498413,0.189189,headlamps
0.218613,0.473684,0.396437,0.46729,0.5875,0,0.301115,0.24127,0,headlamps
0.220369,0.634586,0,0.616822,0.623214,0,0.304833,0.212698,0,headlamps
0.444249,0.53985,0.868597,0.168224,0.301786,0,0.377323,0,0,'build wind float'
0.23705,0.403008,0.755011,0.308411,0.505357,0.192593,0.299257,0,0,'vehic wind float'
0.373573,0.607519,0.835189,0,0.394643,0.011111,0.331784,0,0,'build wind float'
0.287094,0.258647,0.603563,0.311526,0.694643,0.207407,0.337361,0,0.648649,'build wind float'
0.23266,0.401504,0.777283,0.383178,0.507143,0.248148,0.246283,0,0.27027,'build wind non-float'
0.320018,0.378947,0.837416,0.320872,0.4625,0.214815,0.277881,0,0,'build wind non-float'
0.260316,0.449624,0.819599,0.47352,0.401786,0.237037,0.227695,0,0,'build wind non-float'
0.300702,0.44812,0.875278,0.389408,0.357143,0.2,0.258364,0,0.405405,'build wind non-float'
0.297629,0.372932,0.775056,0.34891,0.505357,0.218519,0.27881,0,0,'build wind float'
0.882353,0,0,0.563863,0,0.214815,0.731413,1,0.756757,'build wind non-float'
0.351185,0.300752,0.412027,0.489097,0.514286,0.222222,0.433086,0,0,containers
0.550483,0.407519,0,0.401869,0.430357,0.118519,0.6329,0,0,containers
0.568481,0.466165,0.64588,0.274143,0.239286,0.02963,0.498141,0,0,'build wind non-float'
0.70676,0.461654,0.701559,0.115265,0.135714,0.02963,0.577138,0,0,'build wind non-float'
0.32309,0.371429,0.808463,0.242991,0.539286,0.211111,0.276952,0.028571,0.459459,'build wind non-float'
0.182616,0.548872,0,0.738318,0.5875,0.014815,0.339219,0.203175,0,headlamps
0.295874,0.369925,0.868597,0.314642,0.45,0.203704,0.27974,0,0.756757,'build wind non-float'
0.209833,0.354887,0.799555,0.383178,0.5875,0.248148,0.223048,0,0,'build wind non-float'
0.343723,0.428571,0.746102,0.292835,0.405357,0.218519,0.32342,0,0,'build wind float'
0.209833,0.378947,0.768374,0.35514,0.6,0.225926,0.225836,0,0,'build wind non-float'
0.31475,0.390977,0.743875,0.389408,0.416071,0.207407,0.330855,0,0,'vehic wind float'
0.283582,0.475188,0.801782,0.333333,0.521429,0.177778,0.223048,0,0,'build wind float'
0.213784,0.619549,0,0.65109,0.619643,0,0.30948,0.203175,0.243243,headlamps
0.21115,0.344361,0.792873,0.389408,0.589286,0.266667,0.229554,0,0,'build wind non-float'
0.359526,0.437594,0.788419,0.143302,0.507143,0.059259,0.321561,0.047619,0.648649,'vehic wind float'
0.175154,0.493233,0.596882,1,0.014286,0.622222,0.040892,0.698413,0,containers
0.464004,0.418045,0.859688,0.183801,0.353571,0.085185,0.38197,0,0.297297,'build wind float'
0.28007,0.276692,0.772829,0.339564,0.639286,0.222222,0.289963,0,0.162162,'build wind float'
0.441615,0.496241,0.837416,0.090343,0.353571,0.040741,0.392193,0,0,'build wind float'
0.25417,0.320301,0.797327,0.317757,0.5,0.225926,0.312268,0,0,'vehic wind float'
0.175154,0.619549,0,0.663551,0.698214,0,0.275093,0.177778,0,headlamps
0.385865,0.381955,0,0.457944,0.575,0.174074,0.547398,0,0,containers
0.217296,0.404511,0.757238,0.28972,0.514286,0.218519,0.268587,0,0,'vehic wind float'
0.344601,0.415038,0.775056,0.330218,0.382143,0.203704,0.331784,0,0,'build wind float'
0.321335,0.356391,0.884187,0.280374,0.469643,0.222222,0.27881,0,0,'build wind non-float'
0.208077,0.323308,0.76392,0.345794,0.619643,0.255556,0.243494,0,0.648649,'build wind float'
0.043898,0.33985,0.772829,0.258567,0.566071,0.22963,0.271375,0,0.837838,'build wind float'
0.37489,0.287218,0,0.423676,0.703571,0.140741,0.566914,0,0,containers
0.225637,0.297744,0.741648,0.373832,0.619643,0.248148,0.261152,0,0,'build wind non-float'
0.239245,0.33985,0.708241,0.292835,0.564286,0.214815,0.314126,0,0.648649,'build wind non-float'
0.320896,0.403008,0.86637,0.323988,0.458929,0.188889,0.26487,0,0,'build wind non-float'
0.23266,0.633083,0,0.492212,0.589286,0,0.301115,0.438095,0,headlamps
0.464004,0.413534,0.832962,0.190031,0.392857,0.066667,0.388476,0,0.189189,'build wind float'
0.209394,0.320301,0.783964,0.570093,0.508929,0.255556,0.236059,0,0,'build wind non-float'
0.193591,0.47218,0,0.700935,0.610714,0.051852,0.369888,0.257143,0.027027,headlamps
0.316945,0.362406,0.632517,0.308411,0.542857,0.203704,0.33829,0,0,'build wind float'
0.297629,0.309774,0.77951,0.258567,0.575,0.237037,0.310409,0,0,'build wind float'
