@relation vote-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute handicapped-infants=y numeric
@attribute water-project-cost-sharing=y numeric
@attribute adoption-of-the-budget-resolution=y numeric
@attribute physician-fee-freeze=y numeric
@attribute el-salvador-aid=y numeric
@attribute religious-groups-in-schools=y numeric
@attribute anti-satellite-test-ban=y numeric
@attribute aid-to-nicaraguan-contras=y numeric
@attribute mx-missile=y numeric
@attribute immigration=y numeric
@attribute synfuels-corporation-cutback=y numeric
@attribute education-spending=y numeric
@attribute superfund-right-to-sue=y numeric
@attribute crime=y numeric
@attribute duty-free-exports=y numeric
@attribute export-administration-act-south-africa=y numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute Class {democrat,republican}

@data
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.123594,0.626895,0.977909,0.052415,0.425766,republican
0,0,0,1,1,1,0,0,0,1,?,1,1,1,0,1,0.237077,0.134113,0.673095,0.541608,0.092244,republican
1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0.825398,0.47661,0.951201,0.166636,0.34021,democrat
1,0,0,0,1,1,?,0,?,0,0,0,0,1,?,0,0.701112,0.556511,0.231133,0.084608,0.966333,democrat
?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.403535,0.31588,0.178264,0.35812,0.419828,republican
0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.940323,0.074748,0.777943,0.769628,0.272644,democrat
0,?,0,1,1,1,0,0,0,0,0,1,1,1,0,?,0.655278,0.803262,0.693344,0.365255,0.492739,republican
0,1,0,1,1,1,?,0,0,0,0,?,1,1,0,0,0.578619,0.140566,0.407443,0.605233,0.837687,republican
0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0.636629,0.486554,0.656701,0.614282,0.027451,democrat
0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0.369952,0.200723,0.995083,0.409385,0.799596,democrat
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0.717543,0.259398,0.006622,0.104393,0.612653,republican
0,1,1,0,0,0,1,1,?,1,0,0,1,0,1,1,0.90122,0.360807,0.808831,0.505153,0.718688,democrat
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.550294,0.882309,0.81409,0.575756,0.420225,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.200614,0.628022,0.785579,0.148584,0.173958,democrat
0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,?,0.933452,0.672625,0.897947,0.073788,0.420956,democrat
0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0.462562,0.024374,0.164455,0.522193,0.658012,republican
1,0,1,0,0,0,?,1,1,?,0,0,0,0,1,?,0.794864,0.992918,0.904718,0.016541,0.530658,democrat
0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0.343151,0.423546,0.115075,0.772558,0.566313,democrat
1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0.686674,0.564098,0.053297,0.822088,0.808855,democrat
0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0.48319,0.910375,0.068904,0.738995,0.237252,republican
0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,?,0.413741,0.332319,0.642141,0.041004,0.536464,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.373791,0.827531,0.746488,0.670311,0.475252,democrat
0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0.4743,0.078151,0.157881,0.512247,0.82728,republican
1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0.451103,0.636357,0.978705,0.20678,0.183086,democrat
1,1,1,0,0,1,1,1,?,1,1,?,0,0,1,?,0.539512,0.887958,0.992337,0.081855,0.135352,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.467781,0.84538,0.718588,0.204045,0.560836,republican
1,1,1,0,1,1,0,0,0,0,1,?,1,1,1,1,0.038327,0.24269,0.843448,0.92106,0.002199,democrat
1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0.079809,0.758596,0.519227,0.974467,0.482046,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.238418,0.815222,0.45889,0.997743,0.930166,democrat
1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0.06478,0.765109,0.866193,0.240057,0.832717,republican
1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0.855604,0.116772,0.483955,0.102055,0.798025,democrat
0,1,1,1,1,1,0,0,0,0,1,1,?,1,0,0,0.273778,0.571073,0.268781,0.440684,0.761808,democrat
1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0.907003,0.174102,0.443232,0.328861,0.569444,democrat
0,?,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.951349,0.794264,0.867619,0.073446,0.42415,republican
1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0.111252,0.246057,0.854768,0.667096,0.642223,democrat
0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0.339877,0.971341,0.457182,0.896361,0.145371,democrat
1,1,?,1,1,1,0,0,1,0,1,?,1,1,0,0,0.887499,0.760124,0.822559,0.445681,0.394861,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0.935132,0.429151,0.466137,0.194925,0.26613,democrat
0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0.808914,0.742336,0.245754,0.709433,0.796326,democrat
0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0.563203,0.946035,0.317834,0.85706,0.758043,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0,0,?,?,0.012406,0.867707,0.728845,0.033979,0.234781,democrat
1,1,1,?,0,0,0,1,0,0,1,?,0,0,1,1,0.805814,0.36938,0.204579,0.845054,0.090156,democrat
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.48076,0.230059,0.975075,0.989563,0.511838,democrat
0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0.676902,0.694616,0.165376,0.29689,0.572115,democrat
1,1,1,0,0,1,?,1,1,0,1,0,1,0,1,1,0.613957,0.141506,0.634458,0.098552,0.65203,democrat
1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0.829735,0.772205,0.235868,0.079581,0.33363,democrat
1,?,1,0,0,1,1,1,1,1,0,0,0,0,1,?,0.050979,0.860856,0.388185,0.135164,0.344125,democrat
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.697921,0.157007,0.635211,0.189811,0.310187,democrat
0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,?,0.140578,0.519912,0.253193,0.438528,0.404224,democrat
0,0,1,0,0,1,1,?,1,1,1,0,0,0,1,1,0.607996,0.403808,0.527136,0.129106,0.69864,democrat
0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0.778584,0.586236,0.345478,0.267469,0.213179,republican
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,?,0.074271,0.739096,0.916729,0.839285,0.695495,republican
1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,?,0.910169,0.654776,0.450117,0.348957,0.106444,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.742207,0.788631,0.061207,0.177142,0.322918,democrat
1,?,0,1,1,1,0,0,0,1,0,1,?,1,0,1,0.858646,0.899205,0.902235,0.658862,0.79723,republican
0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0.094294,0.339644,0.2388,0.333742,0.43626,democrat
1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,?,0.69895,0.102553,0.31943,0.136335,0.098711,democrat
1,?,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.397491,0.783066,0.456631,0.302671,0.760981,democrat
1,1,1,0,0,1,?,1,0,0,1,1,0,1,0,?,0.19567,0.307287,0.365953,0.750094,0.123485,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.044516,0.372983,0.324121,0.102959,0.960905,republican
0,1,0,1,1,1,0,0,0,0,0,0,1,1,?,1,0.814854,0.024449,0.836629,0.900021,0.314689,republican
1,1,1,0,?,1,1,1,0,1,?,?,0,0,1,1,0.52913,0.106238,0.776068,0.236666,0.244015,democrat
0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,?,0.078635,0.882418,0.178846,0.110392,0.779867,democrat
0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0.670077,0.353912,0.018258,0.969452,0.082169,democrat
1,?,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.035843,0.106778,0.019568,0.926974,0.523229,democrat
1,1,1,0,0,?,1,1,0,0,1,0,0,0,1,1,0.247265,0.248325,0.172712,0.766582,0.988766,democrat
1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0.984285,0.347486,0.117244,0.70988,0.012416,democrat
1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0.090366,0.764583,0.819732,0.289126,0.46051,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.306257,0.917622,0.342596,0.974011,0.670801,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0.533281,0.845807,0.435575,0.088638,0.65877,democrat
0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0.513592,0.304753,0.124814,0.191122,0.095119,republican
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.452346,0.357671,0.589256,0.75691,0.960803,democrat
0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0.378242,0.952034,0.238754,0.669805,0.190586,republican
0,0,0,1,1,1,?,?,?,?,0,1,1,1,0,1,0.292062,0.063211,0.436846,0.154831,0.445462,republican
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,?,0.525869,0.388182,0.702984,0.675197,0.762219,democrat
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0.265216,0.766002,0.299236,0.215789,0.751263,democrat
1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0.660478,0.185378,0.897096,0.258076,0.062903,republican
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.526016,0.7524,0.958137,0.089863,0.632242,democrat
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,?,0.875838,0.329681,0.169616,0.017637,0.177662,democrat
1,0,1,0,?,1,?,1,1,1,0,0,1,1,0,1,0.552426,0.285841,0.298912,0.351581,0.27962,democrat
0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0.392913,0.053065,0.215522,0.923957,0.111892,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0.249803,0.1731,0.377373,0.062818,0.931311,democrat
0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.781028,0.168554,0.265961,0.34067,0.882134,democrat
1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0.680681,0.979381,0.216011,0.481006,0.078973,democrat
0,0,0,1,1,1,0,0,0,1,?,1,1,1,0,0,0.903858,0.404798,0.704066,0.997265,0.504763,republican
1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.628962,0.852366,0.234137,0.589174,0.341131,republican
0,1,0,1,?,1,0,0,0,1,0,1,1,1,0,0,0.750201,0.103936,0.542081,0.110586,0.405207,republican
0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0.980487,0.801553,0.292564,0.747051,0.704378,republican
0,0,0,0,1,1,1,0,0,0,0,?,0,1,1,1,0.124783,0.142593,0.34942,0.409417,0.682667,republican
0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0.72111,0.735813,0.758747,0.110861,0.76158,democrat
0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0.188065,0.79176,0.682412,0.002711,0.758471,republican
1,0,1,0,?,0,1,1,1,1,0,1,0,?,1,1,0.058888,0.297064,0.660516,0.923325,0.98111,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.738326,0.944221,0.948525,0.894982,0.996165,republican
0,0,0,1,1,0,1,1,0,1,0,1,1,1,?,1,0.125178,0.139952,0.048894,0.855356,0.124409,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0.25736,0.220807,0.445793,0.301312,0.835047,democrat
1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0.022449,0.535688,0.802044,0.698018,0.156668,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.31648,0.697329,0.197415,0.574388,0.143458,republican
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.802136,0.152613,0.707627,0.409392,0.348359,republican
0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.326479,0.66665,0.188269,0.617919,0.831739,republican
?,?,0,0,?,1,?,0,0,0,1,1,0,1,0,?,0.677167,0.35711,0.209994,0.758322,0.490982,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,?,1,0.568616,0.02442,0.881018,0.731028,0.116016,democrat
?,0,1,0,0,0,1,1,1,1,1,?,0,0,1,?,0.31993,0.047414,0.417544,0.1587,0.011301,democrat
0,?,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.359088,0.617812,0.01215,0.278932,0.182128,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0.151866,0.681219,0.065597,0.227579,0.292902,republican
0,1,1,?,1,1,0,1,0,1,?,0,1,1,?,1,0.362949,0.564969,0.850492,0.804056,0.743904,democrat
1,1,1,0,1,1,0,1,?,1,0,0,1,1,0,?,0.795839,0.978417,0.118469,0.742218,0.246024,democrat
1,?,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.911809,0.9952,0.441255,0.831991,0.142247,democrat
0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0.302786,0.605563,0.583653,0.020117,0.415948,republican
0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0.510252,0.498343,0.09671,0.857387,0.10208,democrat
0,0,1,0,0,1,?,1,?,1,1,1,0,1,1,?,0.861254,0.702556,0.179512,0.947587,0.01179,democrat
0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0.996809,0.44392,0.159979,0.750504,0.105034,republican
0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0.699432,0.258748,0.539612,0.472716,0.762416,republican
0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.405044,0.139847,0.131838,0.05594,0.989119,republican
1,1,1,0,0,0,1,1,?,1,0,0,0,0,1,?,0.056857,0.340127,0.211287,0.034274,0.57056,democrat
1,0,1,0,0,1,1,1,1,1,0,?,0,1,0,1,0.938256,0.965799,0.772742,0.576819,0.935584,democrat
0,?,?,?,?,?,?,?,?,?,?,?,?,1,?,?,0.965401,0.906868,0.388489,0.186794,0.412329,republican
0,0,?,0,1,1,0,0,0,0,1,1,1,1,0,1,0.507222,0.322073,0.075526,0.981925,0.421253,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.180443,0.227574,0.950219,0.311506,0.704776,democrat
1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0.504879,0.681465,0.740606,0.436958,0.116305,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,?,0.752783,0.619662,0.312325,0.37188,0.592348,democrat
0,?,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.315998,0.684873,0.30804,0.956967,0.597337,republican
0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0.255156,0.741978,0.96422,0.920267,0.952858,republican
0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0.035472,0.062591,0.633263,0.083412,0.269375,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,?,0,1,0.664864,0.893858,0.490894,0.11863,0.829655,republican
1,1,0,0,0,0,1,1,?,0,1,0,0,0,1,?,0.938231,0.939672,0.299746,0.900136,0.084283,democrat
0,1,0,1,1,1,0,?,0,0,?,?,?,1,0,?,0.962632,0.583141,0.77768,0.171921,0.909071,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0.989987,0.557925,0.597301,0.377429,0.683494,republican
0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0.009234,0.003299,0.879629,0.948582,0.296928,democrat
0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0.58469,0.64744,0.254675,0.647438,0.047686,republican
0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0.593589,0.38682,0.393578,0.480613,0.436188,democrat
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.355926,0.150972,0.485612,0.408312,0.812732,republican
1,1,1,0,0,0,1,1,1,0,?,0,0,0,0,?,0.362056,0.498705,0.799226,0.688033,0.546932,democrat
0,1,1,0,0,?,1,1,1,1,1,0,?,1,1,1,0.340448,0.054561,0.515452,0.085111,0.208845,democrat
0,1,0,1,1,0,0,0,0,0,?,?,1,1,0,0,0.807625,0.711616,0.101661,0.892388,0.472371,republican
0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0.618089,0.032705,0.41799,0.264667,0.337352,republican
1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0.554112,0.21454,0.69318,0.194903,0.558873,republican
