@relation labor-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute duration numeric
@attribute wage-increase-first-year numeric
@attribute wage-increase-second-year numeric
@attribute wage-increase-third-year numeric
@attribute cost-of-living-adjustment=none numeric
@attribute cost-of-living-adjustment=tcf numeric
@attribute cost-of-living-adjustment=tc numeric
@attribute working-hours numeric
@attribute pension=none numeric
@attribute pension=ret_allw numeric
@attribute pension=empl_contr numeric
@attribute standby-pay numeric
@attribute shift-differential numeric
@attribute education-allowance=no numeric
@attribute statutory-holidays numeric
@attribute vacation=below_average numeric
@attribute vacation=average numeric
@attribute vacation=generous numeric
@attribute longterm-disability-assistance=no numeric
@attribute contribution-to-dental-plan=none numeric
@attribute contribution-to-dental-plan=half numeric
@attribute contribution-to-dental-plan=full numeric
@attribute bereavement-assistance=no numeric
@attribute contribution-to-health-plan=none numeric
@attribute contribution-to-health-plan=half numeric
@attribute contribution-to-health-plan=full numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute NewNumeric7 numeric
@attribute class {bad,good}

@data
1,0.3,0.4,0.83871,1,0,0,0.692308,?,?,?,?,0.083333,?,0.666667,0,0,1,?,?,?,?,0,0,0,1,0.748655,0.218793,0.783456,0.263629,0.899753,0.358711,0.006862,0.900909,good
0.5,0.5,0.4,?,1,0,0,1,?,?,?,?,0.166667,?,0.333333,0,1,0,?,0,0,1,0,0,0,1,0.105673,0.866562,0.559505,0.964188,0.212659,0.749128,0.78051,0.465819,good
1,0.34,0.4,0.967742,0,0,1,?,?,?,?,?,?,0,?,?,?,?,?,?,?,?,0,?,?,?,0.096064,0.528378,0.729202,0.023133,0.531759,0.826636,0.346261,0.150421,good
1,0.6,0.6,0.967742,?,?,?,1,?,?,?,?,?,?,0.5,0,1,0,?,0,1,0,0,0,1,0,0.704107,0.825012,0.16374,0.471415,0.577762,0.260544,0.433575,0.740532,good
0.5,0.52,0.52,?,0,1,0,0.846154,?,?,?,?,?,?,?,?,?,?,0,0,1,0,?,0,1,0,0.798551,0.626081,0.472126,0.695154,0.763268,0.62634,0.52611,0.662324,good
0,0.02,?,?,0,0,1,1,0,1,0,0,0.083333,1,0,1,0,0,0,0,1,0,?,1,0,0,0.028501,0.168578,0.362206,0.234271,0.037719,0.026274,0.533622,0.922156,bad
0,0.2,?,?,1,0,0,0.692308,?,?,?,?,0.375,1,0.333333,0,0,1,?,?,?,?,?,?,?,?,0.99988,0.701592,0.199251,0.84461,0.675039,0.413857,0.729804,0.643891,good
1,0,0.1,0,?,?,?,0.769231,0,0,1,?,?,?,0.166667,0,1,0,?,?,?,?,0,1,0,0,0.34576,0.739246,0.562902,0.593084,0.992248,0.079304,0.131825,0.348211,bad
1,0.8,0.8,0.645161,?,?,?,0.615385,?,?,?,?,0.541667,?,0,0,0,1,0,0,0,1,0,0,0,1,0.553824,0.253873,0.853247,0.005368,0.237315,0.002967,0.747368,0.368471,good
0.5,0.88,0.88,?,?,?,?,0.846154,?,?,?,?,0.125,?,1,?,?,?,?,0,0,1,?,?,?,?,0.664257,0.391478,0.246812,0.535677,0.134557,0.033777,0.364943,0.047619,good
?,?,?,?,?,?,?,0.846154,0,0,1,?,0.166667,?,0.333333,0,0,1,0,0,1,0,0,0,1,0,0.201333,0.541505,0.553245,0.878155,0.82584,0.099724,0.813249,0.61071,good
0,0.74,?,?,1,0,0,1,0,0,1,?,0.125,?,0.333333,0,0,1,0,0,0,1,?,?,?,?,0.951997,0.842945,0.773483,0.889414,0.195879,0.907419,0.865382,0.857556,good
1,0.98,0.56,0.096774,?,?,?,1,?,?,?,?,0.083333,?,0.5,1,0,0,?,?,?,?,?,?,?,?,0.454706,0.458818,0.410171,0.141743,0.819915,0.83776,0.21365,0.070035,good
1,0,0.1,?,?,?,?,0.615385,1,0,0,?,?,?,0.166667,0,1,0,?,?,?,?,0,0,0,1,0.31182,0.201052,0.831125,0.37653,0.022043,0.994732,0.190795,0.778585,bad
0.5,0.4,0.6,?,0,1,0,0.615385,?,?,?,1,0.166667,?,1,0,0,1,?,?,?,?,?,?,?,?,0.68882,0.337803,0.236615,0.377419,0.782484,0.61438,0.163391,0.282434,good
0.5,0.4,0.4,?,1,0,0,1,1,0,0,?,0.083333,?,0.166667,1,0,0,1,1,0,0,?,1,0,0,0.613637,0.665236,0.031248,0.032739,0.482072,0.290978,0.773205,0.068069,bad
1,0.4,0.6,0.967742,0,0,1,?,0,0,1,?,?,?,0.5,0,0,1,0,1,0,0,0,0,1,0,0.939372,0.175802,0.651235,0.606734,0.722245,0.727431,0.452302,0.520508,good
