@relation iris-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute sepallength numeric
@attribute sepalwidth numeric
@attribute petallength numeric
@attribute petalwidth numeric
@attribute NewNumeric0 numeric
@attribute class {Iris-setosa,Iris-versicolor,Iris-virginica}

@data
0.388889,0.208333,0.677966,0.791667,0.784567,Iris-virginica
0.444444,0.416667,0.694915,0.708333,0.759939,Iris-virginica
0.666667,0.416667,0.677966,0.666667,0.081335,Iris-versicolor
0.166667,0.416667,0.067797,0.041667,0.94786,Iris-setosa
0.472222,0.291667,0.694915,0.625,0.850635,Iris-versicolor
0.138889,0.583333,0.101695,0.041667,0.683374,Iris-setosa
0.722222,0.458333,0.694915,0.916667,0.484723,Iris-virginica
0.305556,0.583333,0.118644,0.041667,0.25009,Iris-setosa
0.194444,0.625,0.101695,0.208333,0.248308,Iris-setosa
0.611111,0.5,0.694915,0.791667,0.491961,Iris-virginica
0.722222,0.458333,0.745763,0.833333,0.600374,Iris-virginica
0.722222,0.5,0.79661,0.916667,0.147287,Iris-virginica
0.666667,0.458333,0.576271,0.541667,0.945117,Iris-versicolor
0.611111,0.416667,0.813559,0.875,0.540639,Iris-virginica
0.944444,0.25,1,0.916667,0.686225,Iris-virginica
0.222222,0.75,0.152542,0.125,0.860716,Iris-setosa
0.361111,0.416667,0.59322,0.583333,0.79069,Iris-versicolor
0.583333,0.291667,0.728814,0.75,0.08497,Iris-virginica
0.555556,0.583333,0.779661,0.958333,0.434398,Iris-virginica
0.222222,0.75,0.101695,0.041667,0.045475,Iris-setosa
0.5,0.333333,0.508475,0.5,0.042548,Iris-versicolor
0.5,0.416667,0.610169,0.541667,0.451228,Iris-versicolor
0.75,0.5,0.627119,0.541667,0.697572,Iris-versicolor
0.444444,0.416667,0.542373,0.583333,0.50406,Iris-versicolor
0.555556,0.333333,0.694915,0.583333,0.46264,Iris-virginica
0.583333,0.333333,0.779661,0.833333,0.260948,Iris-virginica
0.916667,0.416667,0.949153,0.833333,0.36028,Iris-virginica
0.555556,0.291667,0.661017,0.708333,0.125373,Iris-virginica
0.138889,0.416667,0.067797,0,0.20648,Iris-setosa
0.083333,0.5,0.067797,0.041667,0.892961,Iris-setosa
0.361111,0.291667,0.542373,0.5,0.087209,Iris-versicolor
0.5,0.375,0.627119,0.541667,0.058841,Iris-versicolor
0.166667,0.458333,0.084746,0,0.286253,Iris-setosa
0.388889,0.375,0.542373,0.5,0.620794,Iris-versicolor
0.638889,0.416667,0.576271,0.541667,0.943308,Iris-versicolor
0.222222,0.625,0.067797,0.041667,0.216324,Iris-setosa
0.805556,0.416667,0.813559,0.625,0.605144,Iris-virginica
0.472222,0.375,0.59322,0.583333,0.024483,Iris-versicolor
0.611111,0.333333,0.610169,0.583333,0.299399,Iris-versicolor
0.361111,0.333333,0.661017,0.791667,0.683769,Iris-virginica
0.083333,0.458333,0.084746,0.041667,0.432163,Iris-setosa
0.416667,0.25,0.508475,0.458333,0.343192,Iris-versicolor
0.694444,0.333333,0.644068,0.541667,0.012243,Iris-versicolor
1,0.75,0.915254,0.791667,0.52003,Iris-virginica
0.722222,0.458333,0.661017,0.583333,0.715093,Iris-versicolor
0.388889,0.333333,0.59322,0.5,0.408701,Iris-versicolor
0.805556,0.666667,0.864407,1,0.599406,Iris-virginica
0.194444,0.125,0.389831,0.375,0.722087,Iris-versicolor
0.583333,0.458333,0.762712,0.708333,0.813728,Iris-virginica
0.666667,0.208333,0.813559,0.708333,0.679678,Iris-virginica
0.222222,0.708333,0.084746,0.125,0.017004,Iris-setosa
0.555556,0.375,0.779661,0.708333,0.843857,Iris-virginica
0.527778,0.083333,0.59322,0.583333,0.076429,Iris-versicolor
0.222222,0.541667,0.118644,0.166667,0.682806,Iris-setosa
0.694444,0.416667,0.762712,0.833333,0.69232,Iris-virginica
0.194444,0.583333,0.101695,0.125,0.87008,Iris-setosa
0.222222,0.75,0.084746,0.083333,0.180048,Iris-setosa
0.5,0.416667,0.661017,0.708333,0.859196,Iris-virginica
0.638889,0.375,0.610169,0.5,0.663515,Iris-versicolor
0.666667,0.541667,0.79661,0.833333,0.467255,Iris-virginica
0.166667,0.458333,0.084746,0,0.306632,Iris-setosa
0.083333,0.666667,0,0.041667,0.413177,Iris-setosa
0.666667,0.541667,0.79661,1,0.035058,Iris-virginica
0.361111,0.208333,0.491525,0.416667,0.660356,Iris-versicolor
0.805556,0.5,0.847458,0.708333,0.039863,Iris-virginica
0.666667,0.416667,0.711864,0.916667,0.265413,Iris-virginica
0.305556,0.708333,0.084746,0.041667,0.470245,Iris-setosa
0.944444,0.75,0.966102,0.875,0.317085,Iris-virginica
0.194444,0.583333,0.084746,0.041667,0.330024,Iris-setosa
0.333333,0.208333,0.508475,0.5,0.623438,Iris-versicolor
0.166667,0.208333,0.59322,0.666667,0.111071,Iris-virginica
0.361111,0.416667,0.525424,0.5,0.560653,Iris-versicolor
0.194444,0.541667,0.067797,0.041667,0.998347,Iris-setosa
0.527778,0.333333,0.644068,0.708333,0.00009,Iris-virginica
0.472222,0.083333,0.508475,0.375,0.140965,Iris-versicolor
0.166667,0.166667,0.389831,0.375,0.37761,Iris-versicolor
0.527778,0.583333,0.745763,0.916667,0.029908,Iris-virginica
0.305556,0.416667,0.59322,0.583333,0.733952,Iris-versicolor
0.527778,0.375,0.559322,0.5,0.187292,Iris-versicolor
0.333333,0.25,0.576271,0.458333,0.238976,Iris-versicolor
0.027778,0.375,0.067797,0.041667,0.33884,Iris-setosa
0.611111,0.416667,0.711864,0.791667,0.195777,Iris-virginica
0.416667,0.291667,0.491525,0.458333,0.898271,Iris-versicolor
0.166667,0.458333,0.084746,0,0.510967,Iris-setosa
0.416667,0.291667,0.694915,0.75,0.780399,Iris-virginica
0.361111,0.375,0.440678,0.5,0.901041,Iris-versicolor
0.194444,0,0.423729,0.375,0.322857,Iris-versicolor
0.25,0.875,0.084746,0,0.795832,Iris-setosa
0.111111,0.5,0.050847,0.041667,0.931545,Iris-setosa
0.861111,0.333333,0.864407,0.75,0.691115,Iris-virginica
0.305556,0.791667,0.050847,0.125,0.17238,Iris-setosa
0.222222,0.625,0.067797,0.083333,0.113863,Iris-setosa
