@relation train-weka.filters.unsupervised.attribute.NumericToNominal-R24-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute var_0=a numeric
@attribute var_0=b numeric
@attribute var_0=c numeric
@attribute var_0=d numeric
@attribute var_1 numeric
@attribute var_2=b numeric
@attribute var_2=c numeric
@attribute var_2=d numeric
@attribute var_2=e numeric
@attribute var_2=f numeric
@attribute var_2=g numeric
@attribute var_2=h numeric
@attribute var_2=a numeric
@attribute var_3 numeric
@attribute var_4=c numeric
@attribute var_4=d numeric
@attribute var_4=e numeric
@attribute var_4=f numeric
@attribute var_4=g numeric
@attribute var_4=h numeric
@attribute var_4=a numeric
@attribute var_4=b numeric
@attribute var_5 numeric
@attribute NewNumeric0 numeric
@attribute NewNumeric1 numeric
@attribute NewNumeric2 numeric
@attribute NewNumeric3 numeric
@attribute NewNumeric4 numeric
@attribute NewNumeric5 numeric
@attribute NewNumeric6 numeric
@attribute label {0,1}

@data
0,0,0,1,0.333333,1,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,1,0.428571,0.492073,0.321144,0.983045,0.550931,0.828208,0.845573,0.701868,1
0,0,0,1,0.333333,1,0,0,0,0,0,0,0,0.714286,0,0,0,0,0,0,1,0,0,0.599823,0.406116,0.8419,0.156965,0.970521,0.739783,0.954031,1
0,0,0,1,1,1,0,0,0,0,0,0,0,0.571429,0,0,0,0,1,0,0,0,0.571429,0.843902,0.66436,0.584888,0.358875,0.649718,0.073477,0.357529,1
0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.571429,0.598366,0.883426,0.831857,0.635079,0.616691,0.114175,0.047358,1
0,1,0,0,0,0,1,0,0,0,0,0,0,0.428571,0,0,0,0,0,0,1,0,0.428571,0.950901,0.468251,0.513269,0.916554,0.804103,0.902291,0.979616,1
1,0,0,0,0,0,0,0,1,0,0,0,0,0.142857,0,0,0,0,0,1,0,0,0.571429,0.99644,0.004006,0.781621,0.052151,0.024127,0.011914,0.805699,1
0,1,0,0,0.333333,0,0,0,0,0,0,1,0,0.857143,0,0,0,1,0,0,0,0,0.142857,0.344134,0.209682,0.541586,0.727656,0.303238,0.701026,0.581987,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0.571429,0,0,0,1,0,0,0,0,0,0.356981,0.737173,0.438387,0.723775,0.462725,0.709182,0.247777,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.428571,0.343895,0.126114,0.366815,0.027902,0.979537,0.003334,0.279682,1
0,0,1,0,0.333333,0,0,0,0,0,0,1,0,0.142857,0,0,0,1,0,0,0,0,0.714286,0.723655,0.561296,0.466124,0.779942,0.816045,0.735968,0.032659,1
0,0,1,0,0.333333,0,0,1,0,0,0,0,0,0.714286,0,0,0,0,0,0,1,0,0.714286,0.357302,0.876416,0.074232,0.640296,0.71652,0.23792,0.239616,1
0,0,0,1,0.666667,0,0,0,0,0,0,0,1,0.714286,0,0,0,0,0,1,0,0,0.857143,0.202039,0.665405,0.350966,0.231604,0.519484,0.869959,0.987785,1
0,1,0,0,0.333333,1,0,0,0,0,0,0,0,0.428571,0,0,0,0,0,1,0,0,0,0.746238,0.483973,0.307128,0.156824,0.343683,0.509403,0.910305,1
0,0,1,0,0.333333,0,0,1,0,0,0,0,0,0.571429,0,0,0,0,1,0,0,0,0.142857,0.780349,0.37472,0.45275,0.716848,0.829965,0.439938,0.607584,1
0,0,0,1,0.333333,0,0,1,0,0,0,0,0,0.285714,0,0,0,0,1,0,0,0,0,0.593741,0.646848,0.20404,0.871204,0.689065,0.312915,0.851565,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.285714,0.221316,0.304937,0.135179,0.058939,0.028492,0.575516,0.365868,1
0,0,1,0,0.333333,1,0,0,0,0,0,0,0,0.857143,0,0,1,0,0,0,0,0,0.714286,0.084505,0.381675,0.846232,0.386607,0.666986,0.648269,0.906035,1
0,0,0,1,0.333333,0,0,0,0,1,0,0,0,0.285714,0,0,0,0,0,1,0,0,0.714286,0.739999,0.257712,0.013056,0.366627,0.2641,0.874182,0.618729,1
0,0,0,1,0,0,0,1,0,0,0,0,0,0.714286,0,0,1,0,0,0,0,0,0.428571,0.128344,0.133788,0.098628,0.65721,0.604039,0.641258,0.095099,1
0,0,0,1,1,0,0,1,0,0,0,0,0,0.571429,0,0,0,0,0,1,0,0,0.571429,0.86106,0.880581,0.120934,0.302359,0.05088,0.678751,0.462183,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0.571429,0,0,0,0,0,0,1,0,0.428571,0.064702,0.385986,0.270252,0.140107,0.63793,0.774651,0.518613,1
0,0,0,1,0.666667,0,0,0,1,0,0,0,0,0.142857,0,0,0,0,0,0,1,0,0.857143,0.086102,0.38329,0.292765,0.513048,0.535348,0.616833,0.553621,1
0,0,1,0,0.333333,0,0,0,1,0,0,0,0,0.285714,0,0,0,0,0,0,1,0,0,0.359016,0.804361,0.955004,0.653403,0.622229,0.895475,0.273701,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0.142857,0,0,0,0,1,0,0,0,0.857143,0.481556,0.931035,0.478317,0.53458,0.587726,0.644561,0.683458,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.857143,0.752163,0.615736,0.026191,0.798066,0.743537,0.6859,0.362659,1
0,1,0,0,0.333333,0,0,0,0,0,0,0,1,0.571429,0,0,1,0,0,0,0,0,0,0.876825,0.82199,0.762418,0.765621,0.238014,0.751817,0.790288,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0.285714,0,0,1,0,0,0,0,0,0,0.26352,0.183269,0.881795,0.418065,0.010906,0.572069,0.160522,1
0,0,0,1,0.333333,0,0,0,1,0,0,0,0,0.714286,0,0,0,0,0,0,0,1,0.285714,0.319233,0.84731,0.822842,0.17614,0.597995,0.964832,0.318285,1
1,0,0,0,0,0,1,0,0,0,0,0,0,0.857143,0,0,0,0,0,1,0,0,0.714286,0.23431,0.272437,0.301843,0.479986,0.962325,0.580031,0.982609,1
0,0,0,1,0.333333,0,0,0,0,1,0,0,0,0.142857,0,0,0,0,0,0,1,0,0.428571,0.716984,0.768852,0.708799,0.135373,0.977578,0.860508,0.91036,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0.714286,1,0,0,0,0,0,0,0,0.428571,0.48581,0.838351,0.361133,0.056147,0.698263,0.333735,0.902053,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0.285714,0,1,0,0,0,0,0,0,0.285714,0.08586,0.122461,0.563546,0.274121,0.633896,0.568036,0.677401,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0.714286,0,0,0,0,0,0,1,0,0.857143,0.958401,0.048833,0.713732,0.322596,0.593283,0.802161,0.284121,1
0,0,1,0,0,0,0,0,0,0,0,1,0,0.285714,0,0,0,1,0,0,0,0,0.571429,0.543813,0.348943,0.092446,0.345086,0.372111,0.057351,0.867358,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0.714286,0,0,0,0,0,1,0,0,1,0.490958,0.838971,0.750489,0.835394,0.445858,0.038103,0.642503,1
0,0,1,0,0.666667,0,0,0,0,0,0,0,1,0.857143,0,0,0,0,0,1,0,0,0.714286,0.635599,0.903782,0.704489,0.117429,0.857406,0.327282,0.034384,1
0,0,1,0,0.333333,1,0,0,0,0,0,0,0,0.857143,0,0,0,1,0,0,0,0,0.714286,0.841292,0.397395,0.944704,0.947426,0.143074,0.678774,0.793645,1
0,0,0,1,0.666667,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.714286,0.855016,0.630175,0.765449,0.989583,0.979695,0.132779,0.556139,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.571429,0.579534,0.359183,0.508398,0.367448,0.176988,0.489248,0.846757,1
0,0,1,0,0.333333,0,0,0,1,0,0,0,0,0.714286,0,0,0,0,0,0,1,0,0.571429,0.424617,0.474758,0.901007,0.076199,0.339441,0.900552,0.016743,1
0,0,1,0,0.666667,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.096851,0.044118,0.943355,0.259168,0.136069,0.486298,0.074156,1
0,0,1,0,0.333333,0,0,1,0,0,0,0,0,0.714286,0,0,0,0,1,0,0,0,0,0.723437,0.055186,0.806485,0.416506,0.969842,0.043498,0.935947,1
0,0,1,0,0.333333,0,0,0,0,0,0,1,0,0.857143,0,0,0,1,0,0,0,0,1,0.947817,0.172861,0.395365,0.318409,0.988189,0.867128,0.960927,1
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0.285714,0.875639,0.673938,0.25666,0.854599,0.774561,0.6105,0.125747,1
0,0,1,0,0.666667,0,0,0,1,0,0,0,0,0.857143,0,0,0,1,0,0,0,0,0.428571,0.919057,0.130027,0.911672,0.260468,0.997933,0.941281,0.833,1
0,0,0,1,0.666667,0,1,0,0,0,0,0,0,0.285714,0,0,0,0,0,0,1,0,0.857143,0.252248,0.93079,0.586463,0.29667,0.010177,0.010729,0.559694,1
0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.428571,0.219461,0.956868,0.81242,0.57911,0.204058,0.802809,0.054386,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0.714286,0,0,0,0,0,1,0,0,0,0.241298,0.981545,0.625113,0.991857,0.069311,0.888549,0.68534,1
0,0,0,1,0,0,0,0,0,0,1,0,0,0.857143,0,0,0,0,0,1,0,0,0.428571,0.694957,0.953639,0.765328,0.206489,0.793365,0.534039,0.309613,1
0,0,1,0,0.333333,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.428571,0.02788,0.884035,0.128329,0.295475,0.086737,0.351264,0.156048,1
1,0,0,0,0,0,0,0,0,1,0,0,0,0.857143,0,0,0,0,1,0,0,0,0.428571,0.957247,0.5811,0.69464,0.384938,0.512365,0.173809,0.435798,1
0,0,0,1,0.666667,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0.571429,0.135314,0.071989,0.053285,0.935578,0.681252,0.969176,0.736379,1
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.714286,0.301514,0.472174,0.052795,0.154006,0.572255,0.555971,0.426358,1
0,0,1,0,0.666667,0,1,0,0,0,0,0,0,0.571429,0,0,0,0,0,1,0,0,0.285714,0.62498,0.308149,0.36856,0.042957,0.817072,0.874183,0.798606,1
0,0,1,0,0,0,0,0,0,0,0,1,0,0.714286,1,0,0,0,0,0,0,0,1,0.590331,0.920624,0.975586,0.028368,0.736898,0.894042,0.928066,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0.857143,0,1,0,0,0,0,0,0,0.142857,0.569481,0.041631,0.467906,0.344416,0.098415,0.025161,0.201954,1
0,0,1,0,0.666667,0,0,0,1,0,0,0,0,0.285714,0,0,0,0,1,0,0,0,0.285714,0.264035,0.49765,0.464963,0.785035,0.395853,0.792783,0.924966,1
0,0,0,1,0,0,1,0,0,0,0,0,0,0.571429,0,0,1,0,0,0,0,0,0.285714,0.308509,0.779661,0.065557,0.729978,0.249885,0.227844,0.177854,1
0,0,1,0,0.333333,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.428571,0.962873,0.175381,0.581033,0.554436,0.169789,0.266829,0.523226,1
0,0,0,1,1,0,0,0,0,0,1,0,0,0.857143,0,0,0,0,1,0,0,0,0.285714,0.097143,0.275977,0.767183,0.453936,0.455359,0.783169,0.052879,1
0,0,1,0,0.333333,0,0,0,0,0,1,0,0,0.285714,0,0,0,0,1,0,0,0,0.857143,0.121239,0.896063,0.056206,0.30388,0.775736,0.57173,0.294112,1
0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0.857143,0.76266,0.229762,0.331575,0.13167,0.173267,0.97728,0.56684,1
0,0,1,0,0.333333,0,0,0,0,0,1,0,0,0.571429,0,0,0,0,0,0,0,1,0.571429,0.324217,0.22681,0.196424,0.170196,0.593028,0.857113,0.518206,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0.571429,1,0,0,0,0,0,0,0,0.714286,0.520284,0.019154,0.132629,0.360013,0.982224,0.851483,0.199544,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0.142857,0,0,0,0,0,0,0,1,0.428571,0.253157,0.063653,0.130838,0.219254,0.263196,0.160495,0.720387,1
0,0,0,1,0.333333,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.285714,0.954609,0.298452,0.090061,0.676625,0.575679,0.43136,0.240411,1
0,0,0,1,0.333333,0,0,0,0,0,0,0,1,0.285714,0,0,0,1,0,0,0,0,0.428571,0.038789,0.198511,0.682448,0.033782,0.17067,0.320477,0.956019,1
0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0.428571,0.567542,0.150873,0.623132,0.938355,0.777095,0.527771,0.427087,1
0,1,0,0,0.333333,0,0,0,0,0,0,0,1,0.571429,0,0,0,0,0,1,0,0,0.714286,0.682946,0.513867,0.425677,0.929494,0.275324,0.418696,0.56544,1
0,0,0,1,0.333333,0,0,0,0,1,0,0,0,0.142857,0,0,0,0,0,0,1,0,0.142857,0.113147,0.789289,0.179173,0.341467,0.119624,0.322119,0.370565,1
0,0,1,0,0.333333,0,0,0,1,0,0,0,0,0.285714,0,0,0,0,1,0,0,0,0.285714,0.595632,0.119447,0.986707,0.617015,0.288724,0.201748,0.26431,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0.428571,0,0,1,0,0,0,0,0,0.428571,0.994421,0.46224,0.954218,0.82676,0.27971,0.734701,0.875461,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0.571429,0,0,0,0,0,0,1,0,1,0.962324,0.561903,0.739918,0.229157,0.936456,0.100057,0.986331,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0.571429,0,0,0,1,0,0,0,0,0.142857,0.268115,0.475577,0.334992,0.655327,0.297528,0.365395,0.776922,1
0,1,0,0,0.333333,0,0,0,0,0,0,1,0,0.428571,0,0,1,0,0,0,0,0,0.571429,0.643017,0.413432,0.716861,0.95757,0.158972,0.384918,0.39434,1
0,0,0,1,0.333333,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.857143,0.694649,0.851652,0.79997,0.448471,0.805963,0.954827,0.344263,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.142857,0.192727,0.840831,0.527805,0.149179,0.749759,0.294097,0.274134,1
0,0,1,0,0.333333,0,0,1,0,0,0,0,0,0.428571,0,0,0,0,0,1,0,0,0,0.856079,0.685555,0.89434,0.947365,0.3427,0.502419,0.361495,1
0,0,1,0,0.333333,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.714286,0.762828,0.857554,0.201753,0.832513,0.585997,0.638812,0.518354,1
0,0,0,1,0.666667,0,1,0,0,0,0,0,0,0.857143,0,0,0,1,0,0,0,0,0.714286,0.643096,0.335629,0.983444,0.450499,0.577877,0.603561,0.074277,1
0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.285714,0.520398,0.724083,0.177557,0.930506,0.29363,0.180778,0.287597,1
0,1,0,0,0.333333,0,0,0,0,0,0,0,1,0.285714,0,0,0,0,1,0,0,0,0.571429,0.551046,0.114696,0.757351,0.162864,0.965257,0.236286,0.600921,1
0,0,1,0,0.666667,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.5324,0.664918,0.8719,0.194637,0.723413,0.559374,0.441913,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0.714286,0,0,0,0,0,0,0,1,0.285714,0.815845,0.586847,0.543452,0.170036,0.852652,0.190172,0.623495,1
0,0,1,0,0.666667,1,0,0,0,0,0,0,0,0.428571,0,0,1,0,0,0,0,0,0.285714,0.07354,0.663679,0.751817,0.412526,0.86122,0.549857,0.00415,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0.714286,0,0,0,0,1,0,0,0,0.428571,0.72606,0.177453,0.943866,0.10957,0.57377,0.935194,0.106955,1
0,0,1,0,0.333333,0,0,0,0,0,0,0,1,0.142857,0,0,0,1,0,0,0,0,0.285714,0.098287,0.453505,0.139388,0.116294,0.915852,0.159639,0.330179,1
0,0,0,1,0.333333,0,0,0,1,0,0,0,0,0.428571,0,0,0,0,0,1,0,0,0.285714,0.651958,0.872754,0.881417,0.825115,0.017078,0.871645,0.014959,1
0,0,0,1,0.333333,1,0,0,0,0,0,0,0,0.571429,0,0,0,0,1,0,0,0,0,0.283257,0.98188,0.860339,0.692845,0.028765,0.408772,0.699855,1
0,0,1,0,0.333333,0,0,0,0,0,0,0,1,0.142857,0,0,0,0,0,0,0,1,1,0.792367,0.918802,0.965422,0.875821,0.827929,0.276164,0.99754,1
0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.428571,0.006911,0.063157,0.64956,0.982523,0.837474,0.402412,0.133225,1
0,0,0,1,0,1,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,1,0,0,0.857143,0.134192,0.773018,0.001582,0.052378,0.870083,0.602857,0.487072,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.285714,0.847408,0.776032,0.074944,0.583897,0.54954,0.46869,0.602843,1
0,1,0,0,0,1,0,0,0,0,0,0,0,0.714286,0,0,0,1,0,0,0,0,0.857143,0.097377,0.057712,0.216048,0.38564,0.145862,0.148389,0.645898,1
0,0,1,0,0.666667,1,0,0,0,0,0,0,0,0.571429,0,0,0,0,0,1,0,0,0.571429,0.401329,0.47664,0.813045,0.766088,0.095797,0.108345,0.225381,1
0,0,0,1,0.333333,0,0,0,0,1,0,0,0,0.428571,0,0,0,0,0,0,1,0,0.285714,0.172328,0.902731,0.261167,0.18539,0.766338,0.028917,0.924116,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0.857143,0,0,1,0,0,0,0,0,0.857143,0.257651,0.312171,0.879735,0.154551,0.725144,0.357949,0.041591,1
0,0,0,1,0.666667,1,0,0,0,0,0,0,0,0.714286,0,0,0,0,0,1,0,0,0.571429,0.090998,0.13015,0.660294,0.623363,0.161786,0.324683,0.294083,1
0,0,1,0,0,0,0,0,0,0,1,0,0,0.857143,0,0,0,0,0,0,0,1,0.571429,0.901328,0.488433,0.906548,0.901596,0.271402,0.903588,0.247215,1
0,1,0,0,0,0,0,0,0,0,0,0,1,0.285714,0,0,0,1,0,0,0,0,0.857143,0.673014,0.060626,0.044131,0.28113,0.837822,0.551638,0.385524,1
0,1,0,0,0,0,0,1,0,0,0,0,0,0.142857,0,0,1,0,0,0,0,0,0.857143,0.814792,0.592549,0.576352,0.501346,0.504458,0.065407,0.129864,1
0,0,0,1,0.333333,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.857143,0.091974,0.938493,0.265826,0.971484,0.095539,0.042456,0.030095,1
0,0,1,0,0,0,1,0,0,0,0,0,0,0.857143,0,0,0,0,0,0,1,0,0.428571,0.535853,0.246332,0.754459,0.554219,0.009569,0.196344,0.956158,1
1,0,0,0,0,0,0,0,0,0,0,0,1,0.285714,0,0,0,0,0,1,0,0,0,0.473933,0.757735,0.363038,0.360347,0.147921,0.632015,0.087021,1
0,0,0,1,0.666667,0,0,0,1,0,0,0,0,0.714286,1,0,0,0,0,0,0,0,0.571429,0.406223,0.685543,0.834544,0.84417,0.002978,0.363315,0.894437,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0.714286,0,1,0,0,0,0,0,0,0.285714,0.20168,0.597259,0.890668,0.360312,0.555042,0.312434,0.734129,1
0,0,0,1,0.666667,0,0,0,0,0,0,1,0,0.857143,0,0,0,0,0,0,1,0,0.857143,0.992259,0.366147,0.070706,0.950556,0.269156,0.590639,0.052903,1
0,0,1,0,0.666667,0,0,0,0,1,0,0,0,0.285714,0,0,1,0,0,0,0,0,0,0.207828,0.961781,0.578074,0.629193,0.364095,0.364184,0.715069,1
0,0,1,0,0.666667,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.01162,0.903501,0.692584,0.085153,0.921387,0.800138,0.459676,1
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.7224,0.391772,0.691567,0.526638,0.446136,0.29384,0.799704,1
0,0,1,0,0.666667,0,0,0,0,1,0,0,0,0.142857,0,0,0,1,0,0,0,0,0.428571,0.186137,0.988748,0.95144,0.905071,0.167054,0.65828,0.455592,1
0,0,1,0,0.333333,1,0,0,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,1,0.571429,0.143345,0.116227,0.200593,0.595073,0.360338,0.673751,0.078147,1
0,0,0,1,0.666667,0,0,1,0,0,0,0,0,0.714286,0,0,0,0,0,0,0,1,0.142857,0.939155,0.004865,0.770081,0.107218,0.472102,0.288305,0.454871,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0.428571,0,0,0,0,0,0,0,1,0.857143,0.840434,0.436937,0.570181,0.621003,0.411244,0.438995,0.72938,1
0,1,0,0,0.333333,0,1,0,0,0,0,0,0,0.571429,0,1,0,0,0,0,0,0,0.285714,0.73848,0.911362,0.763991,0.735033,0.033286,0.596457,0.342439,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0.142857,0,0,0,0,0,0,0,1,0.428571,0.124854,0.060312,0.120648,0.978903,0.079598,0.154488,0.814162,1
0,0,0,1,0,0,0,0,0,0,0,0,1,0.571429,0,1,0,0,0,0,0,0,0.714286,0.174433,0.281521,0.257483,0.320208,0.896149,0.340216,0.205668,1
0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.714286,0.331449,0.737509,0.717732,0.689311,0.559172,0.318338,0.092453,1
